day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,2.0,0.0,0.5,1.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,1.0,4.0,0.0,0.0,0.0,0.8333333333333334,1.602081978759722
14,,4.0,2.0,,,0.0,0.0,16.0,4.4,6.693280212272605
15,4.0,2.0,0.0,0.0,5.0,6.0,2.0,5.0,3.0,2.32992949004287
16,,,,,,,,,,
17,7.0,3.0,6.0,4.0,5.0,1.0,2.0,2.0,3.75,2.1213203435596424
18,,,,,,,,,,
19,,,,,,,,,,
20,0.0,2.0,1.0,2.0,6.0,4.0,2.0,6.0,2.875,2.2320714274285347
21,2.0,4.0,2.0,2.0,1.0,5.0,4.0,0.0,2.5,1.6903085094570331
22,2.0,3.0,12.0,4.0,1.0,4.0,5.0,3.0,4.25,3.370036032024414
23,3.0,3.0,23.0,10.0,5.0,0.0,4.0,1.0,6.125,7.453426824526517
24,5.0,1.0,2.0,6.0,4.0,0.0,8.0,3.0,3.625,2.669269563007828
25,,,,,,,,,,
26,,,,,,,,,,
27,17.0,1.0,6.0,2.0,2.0,1.0,10.0,3.0,5.25,5.650537269018887
28,5.0,1.0,3.0,10.0,9.0,2.0,2.0,2.0,4.25,3.453776401067595
29,5.0,2.0,6.0,18.0,9.0,0.0,5.0,2.0,5.875,5.642631098546644
30,9.0,1.0,1.0,4.0,7.0,3.0,1.0,9.0,4.375,3.50255009141299
31,5.0,0.0,1.0,10.0,6.0,2.0,2.0,4.0,3.75,3.24037034920393
32,,,,,,,,,,
33,,,,,,,,,,
34,12.0,11.0,20.0,23.0,21.0,3.0,20.0,10.0,15.0,7.010196655077313
35,5.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,1.3093073414159542
36,3.0,6.0,3.0,3.0,4.0,1.0,10.0,5.0,4.375,2.7222627143085005
37,,,,,,,,,,
38,1.0,0.0,4.0,1.0,3.0,2.0,4.0,6.0,2.625,1.9955307206712847
39,,,,,,,,,,
40,,,,,,,,,,
41,14.0,1.0,4.0,8.0,3.0,3.0,4.0,3.0,5.0,4.140393356054125
42,2.0,3.0,2.0,5.0,2.0,0.0,11.0,8.0,4.125,3.6815175442433286
43,5.0,14.0,1.0,2.0,1.0,3.0,7.0,6.0,4.875,4.323936698360485
44,16.0,1.0,3.0,9.0,3.0,1.0,3.0,2.0,4.75,5.203021100421233
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,6.0,4.0,2.0,1.0,2.0,3.0,5.0,10.0,4.125,2.9001231500945415
50,,,,,,,,,,
51,13.0,2.0,3.0,5.0,6.0,0.0,3.0,2.0,4.25,3.9910614413425693
52,3.0,1.0,6.0,4.0,5.0,1.0,2.0,7.0,3.625,2.2638462845343543
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,14.0,0.0,6.0,4.0,6.0,6.0,10.0,8.0,6.75,4.131758532565592
57,12.0,2.0,6.0,14.0,4.0,4.0,6.0,12.0,7.5,4.503966505838413
58,40.0,8.0,8.0,16.0,9.0,2.0,7.0,13.0,12.875,11.716136613357543
59,22.0,3.0,3.0,8.0,19.0,5.0,16.0,8.0,10.5,7.464200272921789
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,15.0,1.0,5.0,10.0,4.0,5.0,1.0,16.0,7.125,5.89036743942418
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,20.0,9.0,7.0,10.0,5.0,18.0,11.0,6.0,10.75,5.496752287877426
70,20.0,1.0,8.0,12.0,3.0,4.0,11.0,12.0,8.875,6.197637798848388
71,,,,,,,,,,
72,17.0,6.0,9.0,6.0,9.0,6.0,5.0,6.0,8.0,3.927922024247863
73,5.0,12.0,9.0,13.0,4.0,9.0,7.0,6.0,8.125,3.226563851175781
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,1.0,22.0,10.0,6.0,15.0,5.0,11.0,10.0,10.0,6.458659745975609
78,,,,,,,,,,
79,0.0,9.0,8.0,14.0,7.0,6.0,19.0,10.0,9.125,5.617256574927962
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,0.0,8.0,26.0,3.0,4.0,2.0,0.0,6.0,6.125,8.492643875731515
84,,,,,,,,,,
85,,,,,,,,,,
86,6.0,5.0,18.0,11.0,1.0,5.0,12.0,10.0,8.5,5.31843156256751
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,2.0,4.0,8.0,11.0,4.0,7.0,14.0,10.0,7.5,4.0708019567928595
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,15.0,1.0,5.0,7.0,3.0,2.0,7.0,13.0,6.625,5.0691644845505435
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,2.0,5.0,10.0,4.0,3.0,0.0,6.0,7.0,4.625,3.113908889391045
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,4.0,0.0,1.0,8.0,3.0,1.0,3.0,7.0,3.375,2.8753881725529062
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
