day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,3.0,0.5,1.224744871391589
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
9,0.0,0.0,21.0,0.0,0.0,45.0,0.0,0.0,8.25,16.56804152578089
10,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.8284271247461903
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,12.0,0.0,0.0,16.0,4.666666666666667,7.339391437078872
14,,1.0,4.0,,,1.0,8.0,39.0,10.6,16.133815419794537
15,41.0,9.0,0.0,57.0,4.0,54.0,177.0,5.0,43.375,58.8531768774756
16,,,,,,,,,,
17,120.0,169.0,50.0,138.0,106.0,17.0,212.0,103.0,114.375,62.025196493038216
18,,,,,,,,,,
19,,,,,,,,,,
20,30.0,51.0,28.0,60.0,55.0,82.0,157.0,194.0,82.125,60.90141330755094
21,42.0,36.0,23.0,35.0,65.0,97.0,259.0,96.0,81.625,76.94513351361847
22,20.0,48.0,57.0,82.0,79.0,7.0,230.0,32.0,69.375,70.08961100925423
23,34.0,27.0,162.0,126.0,137.0,12.0,84.0,42.0,78.0,57.40333489565617
24,84.0,54.0,36.0,135.0,25.0,69.0,81.0,135.0,77.375,41.005008404897495
25,,,,,,,,,,
26,,,,,,,,,,
27,215.0,80.0,136.0,77.0,21.0,34.0,87.0,66.0,89.5,61.51654829625695
28,120.0,62.0,81.0,91.0,21.0,9.0,66.0,64.0,64.25,35.927506374444
29,50.0,87.0,65.0,18.0,31.0,43.0,135.0,28.0,57.125,38.41665375477523
30,84.0,11.0,34.0,91.0,11.0,44.0,12.0,103.0,48.75,38.56626949624688
31,77.0,32.0,13.0,163.0,22.0,30.0,7.0,80.0,53.0,52.170051616940974
32,,,,,,,,,,
33,,,,,,,,,,
34,37.0,32.0,1.0,2.0,4.0,251.0,11.0,16.0,44.25,84.62311403258231
35,77.0,13.0,90.0,14.0,16.0,117.0,26.0,50.0,50.375,40.02476911684992
36,63.0,19.0,59.0,19.0,27.0,82.0,27.0,18.0,39.25,24.938495773173077
37,,,,,,,,,,
38,49.0,57.0,100.0,28.0,194.0,24.0,45.0,43.0,67.5,56.15030848407819
39,,,,,,,,,,
40,,,,,,,,,,
41,98.0,38.0,65.0,18.0,39.0,16.0,27.0,9.0,38.75,29.692471388263677
42,16.0,21.0,30.0,64.0,71.0,74.0,45.0,35.0,44.5,22.73449235978545
43,23.0,72.0,76.0,21.0,54.0,32.0,62.0,45.0,48.125,21.4171993633955
44,94.0,7.0,19.0,3.0,39.0,8.0,40.0,25.0,29.375,29.669308336104788
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,32.0,62.0,33.0,39.0,77.0,24.0,55.0,12.0,41.75,21.405940430504
50,,,,,,,,,,
51,39.0,34.0,7.0,12.0,66.0,25.0,33.0,5.0,27.625,20.212708166610714
52,27.0,39.0,12.0,21.0,65.0,26.0,97.0,6.0,36.625,30.35474780467982
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,32.0,6.0,16.0,75.0,17.0,15.0,13.0,11.0,23.125,22.254614288790926
57,24.0,27.0,30.0,45.0,80.0,42.0,62.0,23.0,41.625,20.374616560809187
58,26.0,63.0,10.0,43.0,18.0,6.0,4.0,6.0,22.0,21.159260046473406
59,20.0,20.0,11.0,16.0,17.0,17.0,43.0,13.0,19.625,9.94179489399604
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,92.0,26.0,50.0,27.0,156.0,44.0,34.0,39.0,58.5,44.62542516804262
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,41.0,3.0,115.0,68.0,60.0,51.0,44.0,23.0,50.625,33.17028575612301
70,46.0,92.0,134.0,97.0,26.0,18.0,34.0,37.0,60.5,41.72700393202054
71,,,,,,,,,,
72,33.0,17.0,45.0,27.0,94.0,44.0,10.0,45.0,39.375,25.706794543744376
73,16.0,19.0,30.0,80.0,72.0,5.0,19.0,34.0,34.375,27.228858115714555
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,17.0,22.0,57.0,23.0,71.0,11.0,122.0,21.0,43.0,38.2585191259971
78,,,,,,,,,,
79,16.0,19.0,47.0,60.0,57.0,24.0,49.0,117.0,48.625,32.570527869751906
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,79.0,72.0,30.0,42.0,35.0,10.0,4.0,63.0,41.875,27.699600306554192
84,,,,,,,,,,
85,,,,,,,,,,
