day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.25,3.5355339059327378
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,
12,,,,,,,,,,
13,,,1.0,0.0,1.0,5.0,0.0,19.0,4.333333333333333,7.420691791650336
14,,3.0,2.0,,,2.0,1.0,2.0,2.0,0.7071067811865476
15,8.0,4.0,0.0,7.0,24.0,24.0,4.0,26.0,12.125,10.669549461635468
16,,,,,,,,,,
17,9.0,3.0,2.0,3.0,1.0,17.0,0.0,0.0,4.375,5.853875395228117
18,,,,,,,,,,
19,,,,,,,,,,
20,34.0,27.0,19.0,188.0,235.0,87.0,60.0,39.0,86.125,81.20949539836548
21,5.0,29.0,0.0,13.0,95.0,227.0,149.0,0.0,64.75,84.72602905837142
22,1.0,1.0,6.0,22.0,43.0,14.0,41.0,0.0,16.0,17.728105208558365
23,3.0,0.0,46.0,31.0,168.0,36.0,10.0,0.0,36.75,55.93554964676502
24,6.0,0.0,0.0,39.0,62.0,119.0,7.0,1.0,29.25,42.70747676260647
25,,,,,,,,,,
26,,,,,,,,,,
27,11.0,37.0,6.0,0.0,2.0,104.0,5.0,1.0,20.75,35.712142792853285
28,8.0,91.0,2.0,0.0,9.0,0.0,3.0,21.0,16.75,30.788448668755162
29,0.0,74.0,0.0,0.0,5.0,7.0,1.0,1.0,11.0,25.590176686712088
30,0.0,4.0,0.0,2.0,7.0,10.0,1.0,5.0,3.625,3.583194903195431
31,0.0,2.0,0.0,0.0,14.0,10.0,5.0,0.0,3.875,5.409977554746151
32,,,,,,,,,,
33,,,,,,,,,,
34,11.0,0.0,0.0,1.0,0.0,119.0,4.0,9.0,18.0,41.036569057366385
35,11.0,8.0,3.0,0.0,2.0,71.0,8.0,3.0,13.25,23.626558905483584
36,4.0,10.0,1.0,0.0,2.0,84.0,7.0,0.0,13.5,28.705400188814647
37,,,,,,,,,,
38,1.0,17.0,0.0,0.0,21.0,40.0,15.0,0.0,11.75,14.399900793309058
39,,,,,,,,,,
40,,,,,,,,,,
41,1.0,41.0,2.0,0.0,0.0,82.0,1.0,0.0,15.875,30.2250487415417
42,0.0,9.0,1.0,0.0,0.0,27.0,15.0,12.0,8.0,9.768754855587861
43,0.0,12.0,16.0,0.0,0.0,98.0,18.0,11.0,19.375,32.61435923901355
44,1.0,23.0,2.0,0.0,0.0,138.0,5.0,9.0,22.25,47.39424317060339
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,1.0,4.0,8.0,1.0,0.0,17.0,4.0,4.0,4.875,5.514591035218685
50,,,,,,,,,,
51,1.0,1.0,0.0,5.0,0.0,54.0,12.0,0.0,9.125,18.596754709203584
52,0.0,0.0,1.0,4.0,1.0,18.0,16.0,2.0,5.25,7.3824115301167
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,1.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,1.5,1.6903085094570331
57,5.0,0.0,5.0,1.0,0.0,18.0,4.0,3.0,4.5,5.830951894845301
58,17.0,14.0,1.0,8.0,0.0,11.0,3.0,9.0,7.875,6.151364540838538
59,3.0,0.0,1.0,0.0,1.0,39.0,11.0,1.0,7.0,13.427051585724778
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,8.125,22.980970388562795
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,0.0,0.0,47.0,0.0,3.0,12.0,2.0,0.0,8.0,16.27443218232645
70,0.0,10.0,31.0,0.0,2.0,11.0,0.0,1.0,6.875,10.749584709586292
71,,,,,,,,,,
72,0.0,4.0,6.0,2.0,12.0,90.0,5.0,0.0,14.875,30.60082865357921
73,0.0,38.0,2.0,2.0,3.0,107.0,1.0,4.0,19.625,37.50404740062826
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,0.0,0.0,2.0,0.0,35.0,8.0,8.0,0.0,6.625,11.987344517090872
78,,,,,,,,,,
79,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,1.25,2.815771906346718
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.875,1.4577379737113252
84,,,,,,,,,,
85,,,,,,,,,,
86,0.0,3.0,17.0,4.0,1.0,0.0,1.0,0.0,3.25,5.7507763451058125
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,0.0,0.0,6.0,1.0,1.0,4.0,8.0,6.0,3.25,3.1509635714446826
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,2.0,1.0,46.0,5.0,12.0,0.0,3.0,0.0,8.625,15.601625373201161
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,6.0,1.0,5.0,0.0,14.0,12.0,6.0,14.0,7.25,5.522680508593631
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,3.0,0.0,31.0,0.0,0.0,1.0,1.0,17.0,6.625,11.400971136580553
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
