day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.625,4.596194077712559
10,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,13.0,36.76955262170047
11,,,,,,,,,,
12,,,,,,,,,,
13,,,11.0,39.0,4.0,4.0,1.0,10.0,11.5,14.010710188994704
14,,19.0,4.0,,,4.0,1.0,1.0,5.8,7.52994023880668
15,4.0,2.0,0.0,4.0,34.0,6.0,0.0,20.0,8.75,12.044560123617158
16,,,,,,,,,,
17,2.0,2.0,1.0,2.0,0.0,3.0,3.0,5.0,2.25,1.4880476182856899
18,,,,,,,,,,
19,,,,,,,,,,
20,4.0,9.0,3.0,0.0,2.0,3.0,0.0,2.0,2.875,2.850438562747845
21,2.0,10.0,5.0,0.0,0.0,7.0,4.0,0.0,3.5,3.7032803990902057
22,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,1.5,3.5050983275386565
23,1.0,2.0,23.0,0.0,16.0,1.0,0.0,0.0,5.375,8.943273609654513
24,1.0,1.0,0.0,2.0,1.0,7.0,0.0,1.0,1.625,2.2638462845343543
25,,,,,,,,,,
26,,,,,,,,,,
27,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.875,1.246423454758225
28,2.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.125,1.1259916264596033
29,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.875,1.7268882005337975
30,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.625,1.0606601717798212
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
32,,,,,,,,,,
33,,,,,,,,,,
34,1.0,1.0,1.0,0.0,3.0,12.0,1.0,0.0,2.375,3.9977672339873487
35,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,1.25,1.7525491637693282
36,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,1.125,1.4577379737113252
37,,,,,,,,,,
38,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.125,1.7268882005337975
39,,,,,,,,,,
40,,,,,,,,,,
41,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4142135623730951
42,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.625,1.0606601717798212
43,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.5,0.7559289460184544
44,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.375,0.5175491695067657
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,0.0,34.0,7.0,2.0,10.0,4.0,1.0,4.0,7.75,11.093756287724576
50,,,,,,,,,,
51,0.0,28.0,0.0,2.0,5.0,2.0,1.0,0.0,4.75,9.543135154205277
52,2.0,5.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,1.5118578920369088
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.375,0.5175491695067657
57,0.0,5.0,0.0,1.0,1.0,3.0,0.0,0.0,1.25,1.8322507626258087
58,0.0,2.0,0.0,0.0,7.0,1.0,0.0,1.0,1.375,2.38671920665766
59,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5345224838248488
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,9.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.875,3.090885217631258
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,0.0,0.0,9.0,5.0,1.0,3.0,0.0,0.0,2.25,3.2841611235921855
70,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.625,0.7440238091428449
71,,,,,,,,,,
72,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0690449676496976
73,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.875,1.7268882005337975
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.875,1.807721533549109
78,,,,,,,,,,
79,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.1952286093343936
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.375,3.113908889391045
84,,,,,,,,,,
85,,,,,,,,,,
86,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.5175491695067657
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.125,1.7268882005337975
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,12.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2.375,4.138236339311712
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,3.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,1.5,1.3093073414159542
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,8.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,2.375,3.814914340921881
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
