day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,2.0,1.0,,,0.0,,2.0,1.25,0.9574271077563381
1,1.0,,0.0,,0.0,4.0,3.0,43.0,8.5,16.97939928266015
2,,0.0,0.0,,0.0,,0.0,1.0,0.2,0.44721359549995804
3,,4.0,2.0,,4.0,0.0,,,2.5,1.9148542155126762
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,,,,,,,,,,
8,0.0,0.0,2.0,0.0,7.0,1.0,0.0,9.0,2.375,3.583194903195431
9,1.0,0.0,151.0,1.0,1.0,75.0,1.0,0.0,28.75,55.82818028814582
10,3.0,0.0,0.0,10.0,1.0,75.0,0.0,0.0,11.125,26.035346852198565
11,,,,,,,,,,
12,,,,,,,,,,
13,,,43.0,1.0,7.0,23.0,2.0,63.0,23.166666666666668,25.222344590990478
14,,507.0,665.0,,,12.0,11.0,803.0,399.6,369.4411996515819
15,803.0,153.0,7.0,976.0,240.0,676.0,671.0,128.0,456.75,365.0987146356057
16,,,,,,,,,,
17,1168.0,1204.0,1181.0,1197.0,1052.0,202.0,1298.0,1211.0,1064.125,354.83333612919097
18,,,,,,,,,,
19,,,,,,,,,,
20,383.0,308.0,113.0,257.0,560.0,713.0,189.0,560.0,385.375,208.24088901352408
21,514.0,310.0,107.0,63.0,290.0,410.0,190.0,419.0,287.875,158.83453879520573
22,199.0,204.0,144.0,183.0,161.0,182.0,129.0,402.0,200.5,85.46511401902951
23,156.0,95.0,80.0,54.0,249.0,178.0,135.0,278.0,153.125,79.54592114890977
24,81.0,437.0,33.0,44.0,108.0,141.0,85.0,95.0,128.0,129.43724348115578
25,,,,,,,,,,
26,,,,,,,,,,
27,217.0,77.0,60.0,199.0,137.0,191.0,62.0,111.0,131.75,64.10872461240024
28,301.0,104.0,67.0,167.0,171.0,152.0,78.0,151.0,148.875,73.40190246658655
29,92.0,90.0,31.0,20.0,267.0,208.0,158.0,28.0,111.75,91.27783332848593
30,120.0,139.0,92.0,58.0,65.0,195.0,95.0,88.0,106.5,44.44900770224557
31,236.0,413.0,71.0,62.0,107.0,154.0,10.0,194.0,155.875,127.4333859596568
32,,,,,,,,,,
33,,,,,,,,,,
34,222.0,135.0,13.0,34.0,75.0,243.0,42.0,234.0,124.75,96.75263008606758
35,232.0,317.0,113.0,68.0,83.0,434.0,70.0,424.0,217.625,157.09045392475545
36,167.0,131.0,55.0,22.0,103.0,250.0,219.0,193.0,142.5,79.66716477230217
37,,,,,,,,,,
38,140.0,179.0,90.0,115.0,218.0,207.0,199.0,208.0,169.5,48.346960312191
39,,,,,,,,,,
40,,,,,,,,,,
41,66.0,49.0,77.0,131.0,173.0,279.0,114.0,113.0,125.25,73.56386923716599
42,59.0,31.0,170.0,77.0,107.0,392.0,49.0,215.0,137.5,120.57007446768397
43,117.0,86.0,106.0,76.0,152.0,285.0,154.0,70.0,130.75,69.97703704991885
44,95.0,33.0,109.0,26.0,164.0,161.0,97.0,49.0,91.75,53.39007398384086
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,154.0,147.0,100.0,178.0,86.0,129.0,59.0,133.0,123.25,39.081416848128
50,,,,,,,,,,
51,141.0,128.0,97.0,253.0,163.0,147.0,36.0,179.0,143.0,62.79899908210549
52,361.0,93.0,156.0,191.0,152.0,149.0,45.0,140.0,160.875,92.32773534689191
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,157.0,65.0,47.0,88.0,22.0,216.0,42.0,145.0,97.75,67.94483056127228
57,286.0,139.0,16.0,65.0,28.0,52.0,111.0,120.0,102.125,86.49597430764378
58,196.0,69.0,24.0,45.0,63.0,56.0,63.0,60.0,72.0,52.0713795806158
59,223.0,137.0,82.0,344.0,11.0,25.0,149.0,87.0,132.25,109.64455559410403
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,106.0,86.0,27.0,76.0,57.0,60.0,35.0,21.0,58.5,29.93803123596664
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
