day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,1.0,0.0,3.0,0.6666666666666666,1.2110601416389968
2,,0.0,1.0,,0.0,,1.0,4.0,1.2,1.6431676725154982
3,,1.0,0.0,,5.0,0.0,,,1.5,2.3804761428476167
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,,,,,,,,,,
8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.875,0.9910312089651149
9,0.0,0.0,0.0,0.0,2.0,50.0,0.0,1.0,6.625,17.54127784887488
10,2.0,0.0,0.0,18.0,3.0,0.0,1.0,0.0,3.0,6.164414002968976
11,,,,,,,,,,
12,,,,,,,,,,
13,,,68.0,0.0,26.0,4.0,3.0,18.0,19.833333333333332,25.646962133294984
14,,18.0,259.0,,,0.0,23.0,150.0,90.0,111.72958426486693
15,131.0,29.0,1.0,227.0,73.0,30.0,197.0,8.0,87.0,87.89766777338293
16,,,,,,,,,,
17,253.0,64.0,412.0,251.0,76.0,10.0,278.0,72.0,177.0,140.693181883741
18,,,,,,,,,,
19,,,,,,,,,,
20,36.0,16.0,40.0,54.0,54.0,18.0,52.0,186.0,57.0,54.26917041141183
21,67.0,16.0,12.0,94.0,33.0,8.0,57.0,93.0,47.5,35.306818443063214
22,19.0,54.0,60.0,102.0,28.0,80.0,72.0,84.0,62.375,28.23340220377275
23,60.0,16.0,53.0,87.0,19.0,194.0,47.0,126.0,75.25,59.779953639517466
24,33.0,49.0,41.0,104.0,22.0,158.0,30.0,45.0,60.25,46.78140656286427
25,,,,,,,,,,
26,,,,,,,,,,
27,235.0,105.0,144.0,366.0,91.0,142.0,29.0,251.0,170.375,107.57580383817064
28,322.0,209.0,116.0,313.0,101.0,254.0,125.0,238.0,209.75,87.68083354661138
29,105.0,168.0,54.0,37.0,185.0,202.0,202.0,44.0,124.625,72.75386587666665
30,284.0,277.0,348.0,166.0,197.0,225.0,381.0,125.0,250.375,88.45004643461593
31,279.0,323.0,354.0,75.0,197.0,266.0,224.0,149.0,233.375,92.07285546938203
32,,,,,,,,,,
33,,,,,,,,,,
34,144.0,165.0,61.0,68.0,44.0,25.0,113.0,99.0,89.875,49.01439292989065
35,296.0,548.0,143.0,257.0,118.0,21.0,201.0,271.0,231.875,156.97901361101017
36,365.0,533.0,125.0,175.0,111.0,17.0,272.0,219.0,227.125,162.75875003908612
37,,,,,,,,,,
38,399.0,316.0,116.0,255.0,217.0,125.0,207.0,229.0,233.0,93.52616135147885
39,,,,,,,,,,
40,,,,,,,,,,
41,260.0,59.0,219.0,271.0,229.0,147.0,276.0,241.0,212.75,74.3442763672593
42,237.0,79.0,231.0,183.0,166.0,210.0,208.0,149.0,182.875,51.871923316679016
43,346.0,165.0,168.0,266.0,198.0,122.0,177.0,101.0,192.875,79.22199820756859
44,242.0,109.0,178.0,108.0,242.0,107.0,231.0,206.0,177.875,61.51291966501253
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,317.0,147.0,198.0,336.0,225.0,165.0,342.0,279.0,251.125,77.77520262176849
50,,,,,,,,,,
51,332.0,202.0,196.0,269.0,216.0,213.0,229.0,216.0,234.125,45.372860043989164
52,303.0,69.0,278.0,247.0,106.0,345.0,293.0,338.0,247.375,103.96556778912087
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
