day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,1.0,0.25,0.5
1,0.0,,0.0,,0.0,0.0,0.0,9.0,1.5,3.6742346141747673
2,,1.0,0.0,,0.0,,0.0,0.0,0.2,0.447213595499958
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,60.0,0.0,1.0,31.0,0.0,1.0,11.625,22.30270643410154
10,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,1.5,3.4641016151377544
11,,,,,,,,,,
12,,,,,,,,,,
13,,,2.0,0.0,5.0,9.0,2.0,10.0,4.666666666666667,4.08248290463863
14,,8.0,2.0,,,2.0,2.0,0.0,2.8,3.03315017762062
15,9.0,0.0,0.0,5.0,38.0,26.0,1.0,46.0,15.625,18.47730267884667
16,,,,,,,,,,
17,3.0,2.0,1.0,4.0,1.0,239.0,2.0,3.0,31.875,83.6974782006176
18,,,,,,,,,,
19,,,,,,,,,,
20,3.0,14.0,7.0,8.0,3.0,5.0,10.0,6.0,7.0,3.7032803990902057
21,6.0,13.0,4.0,1.0,9.0,5.0,4.0,1.0,5.375,4.033343171967536
22,2.0,7.0,4.0,1.0,1.0,7.0,3.0,0.0,3.125,2.6958963523950885
23,0.0,4.0,15.0,3.0,6.0,4.0,4.0,10.0,5.75,4.6827952580239325
24,1.0,0.0,1.0,3.0,3.0,10.0,11.0,12.0,5.125,4.998213966722799
25,,,,,,,,,,
26,,,,,,,,,,
27,0.0,4.0,1.0,2.0,0.0,9.0,19.0,4.0,4.875,6.424006315599102
28,6.0,5.0,3.0,7.0,2.0,3.0,2.0,6.0,4.25,1.9820624179302297
29,2.0,10.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,3.116774889895918
30,12.0,0.0,1.0,14.0,3.0,3.0,1.0,13.0,5.875,6.010407640085654
31,2.0,3.0,0.0,2.0,3.0,1.0,0.0,2.0,1.625,1.1877349391654208
32,,,,,,,,,,
33,,,,,,,,,,
34,16.0,4.0,2.0,3.0,7.0,8.0,4.0,36.0,10.0,11.40175425099138
35,5.0,3.0,23.0,0.0,1.0,3.0,1.0,13.0,6.125,7.954109450017466
36,2.0,7.0,1.0,0.0,0.0,1.0,7.0,4.0,2.75,2.9154759474226504
37,,,,,,,,,,
38,3.0,16.0,18.0,4.0,2.0,7.0,2.0,4.0,7.0,6.391959234627741
39,,,,,,,,,,
40,,,,,,,,,,
41,5.0,18.0,17.0,2.0,1.0,8.0,3.0,2.0,7.0,6.8452277432633934
42,0.0,5.0,9.0,2.0,3.0,3.0,4.0,2.0,3.5,2.6726124191242437
43,1.0,2.0,20.0,2.0,0.0,7.0,6.0,12.0,6.25,6.819090848492928
44,11.0,8.0,0.0,1.0,0.0,7.0,2.0,7.0,4.5,4.242640687119285
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,1.0,5.0,11.0,2.0,6.0,34.0,2.0,5.0,8.25,10.87263931684877
50,,,,,,,,,,
51,14.0,11.0,2.0,3.0,2.0,6.0,0.0,1.0,4.875,5.0832357523811265
52,3.0,7.0,6.0,0.0,2.0,6.0,1.0,1.0,3.25,2.712405363721075
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,2.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,1.75,1.0350983390135313
57,0.0,16.0,12.0,1.0,11.0,21.0,3.0,2.0,8.25,7.851296526234195
58,0.0,10.0,1.0,23.0,27.0,5.0,3.0,11.0,10.0,10.099504938362077
59,0.0,3.0,9.0,9.0,1.0,20.0,10.0,3.0,6.875,6.577830732305077
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,16.0,5.0,7.0,1.0,17.0,14.0,1.0,7.0,8.5,6.4142698058981855
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,1.0,1.0,12.0,5.0,1.0,11.0,7.0,1.0,4.875,4.67325215607779
70,3.0,0.0,14.0,8.0,1.0,2.0,1.0,0.0,3.625,4.926241685388278
71,,,,,,,,,,
72,5.0,1.0,2.0,1.0,4.0,20.0,1.0,1.0,4.375,6.5013734812620285
73,1.0,13.0,0.0,9.0,3.0,17.0,0.0,3.0,5.75,6.475227519444505
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,6.0,3.0,1.0,0.0,26.0,3.0,1.0,2.0,5.25,8.581541653039805
78,,,,,,,,,,
79,2.0,2.0,3.0,0.0,2.0,2.0,14.0,4.0,3.625,4.34042460069124
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,18.0,3.0,1.0,2.0,4.0,3.0,0.0,1.0,4.0,5.80640040940045
84,,,,,,,,,,
85,,,,,,,,,,
86,1.0,1.0,3.0,7.0,3.0,3.0,1.0,3.0,2.75,1.9820624179302297
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,3.0,3.0,1.0,1.0,4.0,17.0,2.0,2.0,4.125,5.303300858899107
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,14.0,6.0,9.0,2.0,4.0,3.0,4.0,1.0,5.375,4.274091382136927
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,10.0,6.0,2.0,7.0,11.0,15.0,4.0,6.0,7.625,4.172614801981401
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,8.0,2.0,15.0,2.0,5.0,2.0,2.0,2.0,4.75,4.6827952580239325
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,2.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,3.125,0.9910312089651149
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,5.0,6.0,12.0,0.0,13.0,2.0,3.0,10.0,6.375,4.808846015417836
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,17.0,3.0,2.0,15.0,3.0,2.0,2.0,4.0,6.0,6.233549779791836
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,23.0,3.0,2.0,6.0,15.0,2.0,2.0,1.0,6.75,7.995534467974697
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,2.0,18.0,6.0,5.0,2.0,0.0,4.0,1.0,4.75,5.725881092523166
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,67.0,1.0,17.0,1.0,14.0,6.0,5.0,12.0,15.375,21.67907154047753
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,3.0,7.0,1.0,2.0,14.0,1.0,6.0,4.0,4.75,4.334248987508019
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,19.0,9.0,25.0,6.0,14.0,12.0,13.0,1.0,12.375,7.44383733605956
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,1.0,7.0,13.0,2.0,2.0,4.0,3.0,13.0,5.625,4.897156609415596
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,3.0,5.0,2.0,9.0,11.0,7.0,5.0,3.0,5.625,3.1594529363709247
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.875,0.9910312089651149
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,6.0,3.0,3.0,1.0,2.0,5.0,6.0,2.0,3.5,1.927248223318863
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,8.0,1.0,5.0,13.0,1.0,4.0,3.0,16.0,6.375,5.5533130394644346
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,5.0,1.0,0.0,0.0,11.0,3.0,0.0,9.0,3.625,4.34042460069124
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,31.0,3.0,4.0,8.0,3.0,1.0,4.0,4.0,7.25,9.794313218831192
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,3.0,0.0,10.0,0.0,14.0,2.0,0.0,2.0,3.875,5.249149590988185
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,39.0,4.0,4.0,6.0,0.0,2.0,8.0,8.0,8.875,12.483560618440787
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,29.0,4.0,1.0,5.0,3.0,4.0,12.0,3.0,7.625,9.226321043622967
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
