day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,1.0,0.25,0.5
1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.7071067811865476
10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,,,,,,,,,,
12,,,,,,,,,,
13,,,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.5491933384829668
14,,5.0,1.0,,,0.0,6.0,0.0,2.4,2.8809720581775866
15,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,1.4880476182856899
16,,,,,,,,,,
17,0.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,1.125,1.1259916264596033
18,,,,,,,,,,
19,,,,,,,,,,
20,4.0,12.0,8.0,36.0,7.0,3.0,18.0,4.0,11.5,11.084094137869043
21,1.0,6.0,8.0,0.0,10.0,9.0,14.0,3.0,6.375,4.808846015417836
22,1.0,1.0,0.0,2.0,3.0,1.0,3.0,1.0,1.5,1.0690449676496976
23,0.0,0.0,7.0,0.0,6.0,0.0,2.0,0.0,1.875,2.948970764763288
24,0.0,0.0,0.0,2.0,1.0,7.0,1.0,8.0,2.375,3.2486260832190936
25,,,,,,,,,,
26,,,,,,,,,,
27,7.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.75,2.2519832529192065
28,7.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.875,2.356601669474803
29,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.75,1.164964745021435
30,4.0,0.0,1.0,4.0,0.0,0.0,0.0,9.0,2.25,3.24037034920393
31,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.875,1.4577379737113252
32,,,,,,,,,,
33,,,,,,,,,,
34,4.0,0.0,0.0,3.0,1.0,7.0,0.0,3.0,2.25,2.49284690951645
35,0.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,1.625,2.8252686345094435
36,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.4142135623730951
37,,,,,,,,,,
38,0.0,9.0,5.0,2.0,0.0,2.0,1.0,1.0,2.5,3.070597894314954
39,,,,,,,,,,
40,,,,,,,,,,
41,3.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.1952286093343936
42,0.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,1.625,1.1877349391654208
43,0.0,1.0,11.0,0.0,0.0,4.0,2.0,1.0,2.375,3.7392703642746747
44,6.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,2.125,2.4748737341529163
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,0.0,4.0,9.0,2.0,2.0,14.0,1.0,4.0,4.5,4.7207747548166585
50,,,,,,,,,,
51,7.0,4.0,0.0,0.0,5.0,20.0,0.0,0.0,4.5,6.8452277432633934
