day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.875,2.4748737341529163
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,0.0,0.0,,,0.0,2.0,0.0,0.4,0.8944271909999161
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,,,,,,,
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,,,,,,,,,
19,,,,,,,,,,
20,66.0,39.0,7.0,38.0,1.0,6.0,27.0,0.0,23.0,23.61597522259637
21,117.0,47.0,76.0,43.0,4.0,13.0,108.0,0.0,51.0,45.61328127389465
22,230.0,79.0,169.0,125.0,22.0,15.0,67.0,2.0,88.625,80.79416085690492
23,44.0,229.0,29.0,72.0,26.0,11.0,293.0,124.0,103.5,104.69411226452586
24,132.0,28.0,64.0,84.0,93.0,3.0,86.0,44.0,66.75,40.892716780794665
25,,,,,,,,,,
26,,,,,,,,,,
27,45.0,7.0,111.0,126.0,10.0,1.0,162.0,15.0,59.625,63.69556499474669
28,18.0,4.0,186.0,8.0,13.0,12.0,76.0,48.0,45.625,61.80600410038771
29,28.0,0.0,170.0,112.0,9.0,9.0,18.0,57.0,50.375,60.54735454879216
