day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,3.0,1.0,,,1.0,,1.0,1.5,1.0
1,0.0,,0.0,,0.0,4.0,1.0,54.0,9.833333333333334,21.69254864387001
2,,1.0,0.0,,1.0,,3.0,1.0,1.2,1.0954451150103324
3,,5.0,0.0,,9.0,0.0,,,3.5,4.358898943540674
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,1.0,1.0,3.0,1.25,1.2583057392117916
7,,,,,,,,,,
8,108.0,16.0,12.0,1.0,116.0,7.0,93.0,51.0,50.5,48.42962493586515
9,8.0,0.0,200.0,0.0,100.0,231.0,67.0,16.0,77.75,92.43491919028375
10,7.0,2.0,0.0,17.0,432.0,2.0,135.0,19.0,76.75,150.44291750883932
11,,,,,,,,,,
12,,,,,,,,,,
13,,,243.0,99.0,87.0,216.0,24.0,831.0,250.0,296.3821856994782
14,,487.0,487.0,,,187.0,151.0,352.0,332.8,159.86932163489027
15,366.0,438.0,11.0,453.0,1762.0,1203.0,120.0,1672.0,753.125,692.3447608360613
16,,,,,,,,,,
17,221.0,855.0,242.0,218.0,242.0,237.0,222.0,292.0,316.125,219.00909146164946
18,,,,,,,,,,
19,,,,,,,,,,
20,463.0,1679.0,708.0,422.0,588.0,481.0,397.0,630.0,671.0,421.29799429857246
21,510.0,1699.0,410.0,148.0,356.0,900.0,281.0,298.0,575.25,506.23335951487263
22,56.0,649.0,267.0,424.0,205.0,602.0,134.0,38.0,296.875,237.29212707426382
23,85.0,369.0,803.0,287.0,737.0,299.0,135.0,332.0,380.875,259.41056124551733
24,216.0,167.0,160.0,202.0,206.0,770.0,575.0,661.0,369.625,253.78558863733772
25,,,,,,,,,,
26,,,,,,,,,,
27,457.0,473.0,129.0,162.0,71.0,443.0,589.0,144.0,308.5,201.07994145897013
28,452.0,566.0,408.0,396.0,104.0,94.0,175.0,407.0,325.25,176.29743535935432
29,179.0,519.0,466.0,76.0,71.0,86.0,281.0,86.0,220.5,182.89966023556664
30,445.0,107.0,176.0,608.0,100.0,60.0,131.0,1054.0,335.125,349.14607565152033
31,193.0,122.0,121.0,95.0,117.0,168.0,37.0,287.0,142.5,74.6420027292179
32,,,,,,,,,,
33,,,,,,,,,,
34,502.0,506.0,226.0,561.0,441.0,645.0,305.0,715.0,487.625,163.16856971505615
