day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,1.0,0.0,0.16666666666666666,0.408248290463863
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,1.625,3.2923070504261465
10,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.375,1.0606601717798212
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,,,,,,,
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,,,,,,,,,
19,,,,,,,,,,
20,1.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,1.25,1.164964745021435
21,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.9258200997725514
22,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.875,1.1259916264596033
23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.625,3.814914340921881
24,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,1.125,1.7268882005337975
25,,,,,,,,,,
26,,,,,,,,,,
27,10.0,4.0,8.0,2.0,5.0,1.0,4.0,8.0,5.25,3.1509635714446826
28,4.0,2.0,0.0,44.0,3.0,40.0,3.0,4.0,12.5,18.28348200660132
29,3.0,1.0,12.0,25.0,3.0,0.0,2.0,2.0,6.0,8.518886580500327
30,1.0,5.0,34.0,9.0,0.0,0.0,2.0,7.0,7.25,11.310551331768554
31,11.0,12.0,46.0,1.0,1.0,0.0,1.0,2.0,9.25,15.599908424639642
32,,,,,,,,,,
33,,,,,,,,,,
34,17.0,0.0,33.0,2.0,0.0,0.0,3.0,1.0,7.0,11.952286093343936
35,7.0,12.0,9.0,0.0,0.0,0.0,3.0,0.0,3.875,4.823676724538776
36,4.0,26.0,3.0,0.0,0.0,0.0,1.0,6.0,5.0,8.76682056718072
37,,,,,,,,,,
38,3.0,9.0,7.0,2.0,1.0,0.0,0.0,2.0,3.0,3.295017884191656
39,,,,,,,,,,
40,,,,,,,,,,
41,0.0,3.0,7.0,0.0,1.0,0.0,2.0,0.0,1.625,2.445841952609133
42,1.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,1.375,1.5979898086569353
43,0.0,4.0,3.0,1.0,0.0,1.0,0.0,6.0,1.875,2.2320714274285347
44,1.0,20.0,4.0,0.0,0.0,0.0,2.0,3.0,3.75,6.734771180756096
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,4.0,30.0,4.0,7.0,0.0,1.0,9.0,1.0,7.0,9.797958971132712
50,,,,,,,,,,
51,4.0,17.0,9.0,4.0,5.0,2.0,7.0,1.0,6.125,5.0832357523811265
52,2.0,22.0,13.0,1.0,25.0,2.0,3.0,2.0,8.75,9.910312089651148
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,1.0,17.0,2.0,1.0,8.0,0.0,0.0,3.0,4.0,5.855400437691199
57,6.0,22.0,7.0,3.0,32.0,1.0,1.0,0.0,9.0,11.686377906410035
58,6.0,0.0,8.0,2.0,20.0,3.0,2.0,1.0,5.25,6.519202405202649
59,4.0,27.0,10.0,15.0,2.0,1.0,0.0,0.0,7.375,9.5608950567253
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,1.0,4.0,2.0,2.0,11.0,0.0,0.0,1.0,2.625,3.6228441865473595
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.875,1.1259916264596033
70,2.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,1.75,2.434865792722759
71,,,,,,,,,,
72,5.0,7.0,6.0,2.0,14.0,0.0,1.0,0.0,4.375,4.749060057376767
73,6.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.125,3.7961446607992015
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.125,2.799872446074234
78,,,,,,,,,,
79,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.375,2.326094212561969
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,8.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,2.125,2.5877458475338284
84,,,,,,,,,,
85,,,,,,,,,,
86,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,1.25,1.4880476182856899
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,2.0,22.0,0.0,4.0,15.0,1.0,5.0,3.0,6.5,7.801098823700598
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,6.0,16.0,7.0,5.0,12.0,4.0,1.0,2.0,6.625,5.0691644845505435
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,6.0,44.0,4.0,3.0,15.0,5.0,0.0,1.0,9.75,14.577379737113251
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,1.0,2.0,5.0,0.0,7.0,4.0,3.0,0.0,2.75,2.49284690951645
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,3.0,7.0,3.0,0.0,19.0,3.0,0.0,0.0,4.375,6.368168608679534
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,10.0,16.0,7.0,3.0,7.0,1.0,0.0,0.0,5.5,5.631543812693436
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,0.0,2.0,2.0,0.0,5.0,6.0,1.0,0.0,2.0,2.32992949004287
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,1.0,2.0,2.0,4.0,9.0,2.0,1.0,0.0,2.625,2.8252686345094435
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,3.0,0.0,1.0,3.0,7.0,1.0,2.0,1.0,2.25,2.187627547301936
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,9.0,7.0,2.0,1.0,1.0,0.0,2.0,1.0,2.875,3.2705394924123103
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,10.0,0.0,3.0,4.0,1.0,1.0,2.0,2.0,2.875,3.1367635732209265
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,0.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.625,1.3024701806293193
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,3.0,2.0,6.0,12.0,1.0,0.0,1.0,0.0,3.125,4.086126352846737
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,1.0,0.0,3.0,5.0,11.0,2.0,0.0,4.0,3.25,3.615443067098218
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,0.0,0.0,5.0,4.0,18.0,6.0,0.0,4.0,4.625,5.926634795564849
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,0.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,1.375,1.9955307206712847
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,10.0,11.0,1.0,3.0,12.0,2.0,0.0,0.0,4.875,5.19443383412888
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,1.0,7.0,9.0,0.0,4.0,4.0,2.0,0.0,3.375,3.2923070504261465
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,0.0,6.0,6.0,0.0,17.0,15.0,1.0,9.0,6.75,6.584614100852293
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,3.0,2.0,2.0,2.0,3.0,11.0,0.0,3.0,3.25,3.2841611235921855
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,0.0,1.0,5.0,2.0,1.0,20.0,0.0,0.0,3.625,6.823017765517794
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,1.0,9.0,0.0,0.0,21.0,2.0,0.0,0.0,4.125,7.472568883207817
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,1.0,10.0,1.0,25.0,11.0,6.0,4.0,11.0,8.625,7.799954212319821
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,1.0,2.0,2.0,1.0,16.0,2.0,1.0,0.0,3.125,5.249149590988185
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,1.0,6.0,2.0,2.0,3.0,1.0,0.0,3.0,2.25,1.8322507626258087
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,,
274,0.0,6.0,5.0,5.0,3.0,7.0,,7.0,4.714285714285714,2.4976179127511156
275,,,,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,1.0,16.0,0.0,3.0,5.0,1.0,7.0,0.0,4.125,5.409977554746151
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,,,,,,,,,,
287,0.0,0.0,3.0,5.0,16.0,3.0,1.0,4.0,4.0,5.18238775634773
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,2.0,5.0,8.0,2.0,10.0,1.0,0.0,8.0,4.5,3.779644730092272
295,,,,,,,,,,
296,,,,,,,,,,
297,,,,,,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,,,,,,,,,,
301,,,,,,,,,,
302,,,,,,,,,,
303,8.0,26.0,2.0,2.0,3.0,0.0,4.0,2.0,5.875,8.458934414485753
304,,,,,,,,,,
305,,,,,,,,,,
306,,,,,,,,,,
307,,,,,,,,,,
308,3.0,8.0,3.0,4.0,12.0,0.0,0.0,1.0,3.875,4.189698250300543
309,,,,,,,,,,
310,,,,,,,,,,
311,,,,,,,,,,
312,,,,,,,,,,
313,,,,,,,,,,
314,,,,,,,,,,
315,5.0,3.0,6.0,0.0,4.0,0.0,7.0,18.0,5.375,5.705573715987852
316,,,,,,,,,,
317,,,,,,,,,,
318,,,,,,,,,,
319,,,,,,,,,,
320,,,,,,,,,,
321,,,,,,,,,,
322,10.0,14.0,9.0,15.0,7.0,4.0,5.0,12.0,9.5,4.035556254807296
323,,,,,,,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,,,,,,,,,
327,,,,,,,,,,
328,,,,,,,,,,
329,7.0,2.0,3.0,14.0,6.0,0.0,15.0,3.0,6.25,5.548487567410986
330,,,,,,,,,,
331,,,,,,,,,,
332,,,,,,,,,,
333,,,,,,,,,,
334,,,,,,,,,,
335,,,,,,,,,,
336,,,,,,,,,,
337,,,,,,,,,,
338,2.0,5.0,0.0,7.0,1.0,0.0,8.0,1.0,3.0,3.2071349029490928
339,,,,,,,,,,
340,,,,,,,,,,
341,,,,,,,,,,
342,,,,,,,,,,
343,,,,,,,,,,
344,,,,,,,,,,
345,,,,,,,,,,
346,1.0,11.0,0.0,1.0,0.0,3.0,4.0,7.0,3.375,3.8890872965260113
347,,,,,,,,,,
348,,,,,,,,,,
349,,,,,,,,,,
350,,,,,,,,,,
351,,,,,,,,,,
352,1.0,10.0,0.0,10.0,5.0,1.0,4.0,1.0,4.0,4.0708019567928595
353,,,,,,,,,,
354,,,,,,,,,,
355,,,,,,,,,,
356,0.0,0.0,0.0,3.0,5.0,0.0,4.0,4.0,2.0,2.2038926600773587
357,,,,,,,,,,
358,,,,,,,,,,
359,,,,,,,,,,
360,,,,,,,,,,
361,,,,,,,,,,
362,,,,,,,,,,
