day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,1.0,0.0,,0.0,0.0,,,0.25,0.5
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,,0.0,0.0,,,1.0,0.0,0.0,0.2,0.44721359549995804
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,,,,,,,
17,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,2.5,6.676183683170241
18,,,,,,,,,,
19,,,,,,,,,,
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.4629100498862757
25,,,,,,,,,,
26,,,,,,,,,,
27,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.125,3.181980515339464
28,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.8284271247461903
29,1.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,1.375,2.326094212561969
