day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,1.0,0.0,0.0,0.25,0.5
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,,0.0,0.0,,,0.0,4.0,0.0,0.8,1.7888543819998322
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,,,,,,,
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,,,,,,,,,
19,,,,,,,,,,
20,1.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,1.5,2.2677868380553634
21,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.25,2.3754698783308417
22,0.0,1.0,2.0,0.0,2.0,7.0,3.0,0.0,1.875,2.356601669474803
23,0.0,0.0,20.0,1.0,20.0,0.0,0.0,3.0,5.5,9.007933011676826
24,1.0,0.0,1.0,5.0,3.0,19.0,0.0,8.0,4.625,6.435115716575289
25,,,,,,,,,,
26,,,,,,,,,,
27,0.0,0.0,3.0,0.0,2.0,18.0,4.0,0.0,3.375,6.1164298643664905
28,2.0,0.0,1.0,6.0,4.0,3.0,0.0,4.0,2.5,2.138089935299395
29,2.0,6.0,2.0,1.0,1.0,1.0,7.0,1.0,2.625,2.445841952609133
30,6.0,0.0,0.0,9.0,3.0,2.0,0.0,14.0,4.25,5.092010548749033
31,2.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,1.625,1.5059406173077154
32,,,,,,,,,,
33,,,,,,,,,,
34,55.0,6.0,5.0,16.0,70.0,0.0,6.0,38.0,24.5,26.511453050656105
35,10.0,2.0,16.0,0.0,0.0,0.0,1.0,6.0,4.375,5.902481318419036
36,2.0,10.0,0.0,0.0,1.0,0.0,24.0,1.0,4.75,8.46421036735602
37,,,,,,,,,,
38,4.0,4.0,18.0,1.0,46.0,1.0,5.0,1.0,10.0,15.583874449479593
39,,,,,,,,,,
40,,,,,,,,,,
41,33.0,7.0,23.0,4.0,0.0,3.0,1.0,2.0,9.125,12.135396867958507
42,1.0,5.0,3.0,40.0,5.0,0.0,15.0,15.0,10.5,13.244945127427725
43,2.0,6.0,21.0,2.0,0.0,1.0,24.0,32.0,11.0,12.637811745483699
44,46.0,8.0,1.0,1.0,1.0,2.0,0.0,8.0,8.375,15.537397281582082
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,0.0,32.0,17.0,0.0,11.0,26.0,0.0,5.0,11.375,12.534951136721675
50,,,,,,,,,,
51,22.0,5.0,7.0,0.0,10.0,8.0,2.0,0.0,6.75,7.186296483088987
52,2.0,4.0,6.0,4.0,7.0,2.0,2.0,1.0,3.5,2.138089935299395
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,0.0,1.0,1.0,4.0,6.0,2.0,0.0,0.0,1.75,2.187627547301936
57,0.0,2.0,21.0,1.0,30.0,28.0,1.0,4.0,10.875,13.097846060653309
58,15.0,16.0,0.0,14.0,50.0,3.0,12.0,41.0,18.875,17.569758921835795
59,0.0,2.0,12.0,2.0,52.0,31.0,37.0,1.0,17.125,20.145453226827282
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,11.0,1.0,10.0,4.0,27.0,20.0,1.0,14.0,11.0,9.227288721117224
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,3.0,1.0,7.0,9.0,0.0,14.0,5.0,0.0,4.875,4.940720016932176
70,0.0,0.0,12.0,11.0,1.0,2.0,2.0,0.0,3.5,5.0142653642240695
71,,,,,,,,,,
72,45.0,0.0,1.0,1.0,1.0,13.0,1.0,1.0,7.875,15.597046423693723
73,12.0,5.0,0.0,13.0,0.0,20.0,0.0,0.0,6.25,7.796519369931321
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,15.0,2.0,1.0,0.0,57.0,1.0,0.0,2.0,9.75,19.724893626365354
78,,,,,,,,,,
79,5.0,0.0,5.0,2.0,1.0,3.0,1.0,8.0,3.125,2.6958963523950885
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,17.0,2.0,8.0,3.0,1.0,1.0,0.0,0.0,4.0,5.855400437691199
84,,,,,,,,,,
85,,,,,,,,,,
86,2.0,3.0,6.0,13.0,4.0,7.0,0.0,3.0,4.75,3.9910614413425693
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,1.625,2.065879266282796
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,43.0,6.0,3.0,0.0,0.0,5.0,1.0,5.0,7.875,14.386873977940548
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,3.0,8.0,7.0,4.0,5.0,10.0,7.0,2.0,5.75,2.712405363721075
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,24.0,0.0,7.0,1.0,0.0,2.0,0.0,21.0,6.875,9.948976975405204
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
