day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,15.0,0.0,0.0,11.0,0.0,1.0,3.375,6.045954964153424
10,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,0.7440238091428449
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,3.0,0.0,1.0,0.6666666666666666,1.2110601416389968
14,,1.0,10.0,,,6.0,7.0,5.0,5.8,3.271085446759225
15,33.0,0.0,0.0,11.0,13.0,6.0,1.0,10.0,9.25,10.89888591947426
16,,,,,,,,,,
17,17.0,4.0,0.0,4.0,0.0,1.0,6.0,5.0,4.625,5.50162313711664
18,,,,,,,,,,
19,,,,,,,,,,
20,12.0,4.0,8.0,20.0,5.0,23.0,72.0,19.0,20.375,22.045002673103554
21,7.0,7.0,1.0,1.0,3.0,27.0,28.0,37.0,13.875,14.396800239735812
22,1.0,6.0,0.0,2.0,1.0,11.0,8.0,3.0,4.0,3.927922024247863
23,0.0,0.0,2.0,0.0,6.0,11.0,13.0,26.0,7.25,9.145646895810987
24,1.0,0.0,1.0,3.0,2.0,23.0,25.0,22.0,9.625,11.413494519333558
25,,,,,,,,,,
26,,,,,,,,,,
27,5.0,2.0,2.0,3.0,1.0,40.0,11.0,3.0,8.375,13.157697366940766
28,6.0,1.0,5.0,23.0,0.0,4.0,1.0,18.0,7.25,8.548182764273854
29,0.0,9.0,1.0,6.0,3.0,3.0,7.0,9.0,4.75,3.494894235064305
30,5.0,5.0,6.0,50.0,5.0,11.0,2.0,45.0,16.125,19.569929556775183
31,5.0,3.0,3.0,24.0,6.0,15.0,0.0,14.0,8.75,8.137216091163225
32,,,,,,,,,,
33,,,,,,,,,,
34,40.0,10.0,26.0,23.0,43.0,6.0,10.0,35.0,24.125,14.436437035699434
35,25.0,3.0,19.0,4.0,3.0,8.0,2.0,22.0,10.75,9.617692030835672
36,11.0,21.0,3.0,0.0,7.0,5.0,2.0,3.0,6.5,6.761234037828133
37,,,,,,,,,,
38,19.0,13.0,37.0,5.0,23.0,16.0,11.0,6.0,16.25,10.37510757259206
39,,,,,,,,,,
40,,,,,,,,,,
41,25.0,4.0,73.0,1.0,4.0,22.0,2.0,0.0,16.375,24.870737251407956
42,1.0,7.0,10.0,2.0,11.0,2.0,7.0,8.0,6.0,3.854496446637726
43,2.0,23.0,64.0,5.0,1.0,14.0,10.0,49.0,21.0,23.37275581282007
44,9.0,13.0,5.0,3.0,2.0,25.0,3.0,4.0,8.0,7.801098823700598
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,0.0,5.0,30.0,3.0,39.0,66.0,0.0,6.0,18.625,24.118383622693884
50,,,,,,,,,,
51,3.0,3.0,2.0,0.0,14.0,20.0,0.0,2.0,5.5,7.367883976130073
52,0.0,0.0,4.0,0.0,5.0,4.0,2.0,2.0,2.125,2.03100960115899
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,0.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,1.25,1.5811388300841898
57,3.0,3.0,10.0,2.0,15.0,17.0,5.0,3.0,7.25,5.970163912561961
58,23.0,6.0,1.0,13.0,24.0,1.0,8.0,15.0,11.375,8.991066995317391
59,1.0,0.0,9.0,6.0,25.0,20.0,11.0,6.0,9.75,8.77903346453518
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,28.0,0.0,27.0,14.0,36.0,14.0,11.0,16.0,18.25,11.423659658795863
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,4.0,0.0,19.0,37.0,5.0,30.0,12.0,2.0,13.625,13.804114293520298
70,3.0,1.0,19.0,40.0,7.0,4.0,6.0,4.0,10.5,13.125765283811617
71,,,,,,,,,,
72,29.0,1.0,1.0,4.0,14.0,19.0,5.0,5.0,9.75,10.039208847599213
73,18.0,2.0,0.0,32.0,1.0,22.0,0.0,4.0,9.875,12.380139625337717
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,21.0,6.0,4.0,5.0,14.0,4.0,0.0,3.0,7.125,6.8959097607619135
78,,,,,,,,,,
79,8.0,3.0,1.0,3.0,1.0,0.0,0.0,7.0,2.875,3.090885217631258
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,17.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,4.125,5.436319658424385
84,,,,,,,,,,
85,,,,,,,,,,
86,11.0,2.0,1.0,7.0,3.0,2.0,0.0,5.0,3.875,3.6425069859723185
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,6.0,3.0,2.0,1.0,2.0,5.0,12.0,1.0,4.0,3.7032803990902057
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,5.0,1.0,9.0,2.0,25.0,1.0,0.0,1.0,5.5,8.41766849294642
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,10.0,0.0,9.0,2.0,20.0,30.0,16.0,7.0,11.75,9.895886591335383
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,23.0,1.0,12.0,1.0,4.0,4.0,1.0,17.0,7.875,8.458934414485753
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
