day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,1.0,1.0,2.0,0.6666666666666666,0.816496580927726
2,,0.0,0.0,,0.0,,0.0,1.0,0.2,0.44721359549995804
3,,0.0,1.0,,2.0,0.0,,,0.75,0.9574271077563381
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,102.0,0.0,0.0,42.0,0.0,1.0,18.125,36.91858803986337
10,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.5,2.138089935299395
11,,,,,,,,,,
12,,,,,,,,,,
13,,,2.0,1.0,11.0,3.0,1.0,7.0,4.166666666666667,4.02077936060494
14,,6.0,0.0,,,0.0,21.0,5.0,6.4,8.61974477580398
15,7.0,3.0,2.0,9.0,95.0,3.0,8.0,9.0,17.0,31.645356237978607
16,,,,,,,,,,
17,10.0,2.0,14.0,25.0,9.0,3.0,12.0,44.0,14.875,13.757465505784745
18,,,,,,,,,,
19,,,,,,,,,,
20,7.0,73.0,27.0,43.0,36.0,54.0,53.0,34.0,40.875,19.88134445008328
21,7.0,81.0,56.0,14.0,26.0,31.0,37.0,64.0,39.5,25.528695339054945
22,4.0,85.0,28.0,26.0,19.0,17.0,18.0,24.0,27.625,24.33655392907667
23,7.0,30.0,99.0,18.0,47.0,21.0,17.0,50.0,36.125,29.454262364360297
24,21.0,18.0,17.0,9.0,13.0,39.0,13.0,37.0,20.875,11.192312412672242
25,,,,,,,,,,
26,,,,,,,,,,
27,38.0,55.0,23.0,33.0,6.0,32.0,44.0,10.0,30.125,16.573968401424825
28,71.0,26.0,17.0,63.0,14.0,16.0,25.0,25.0,32.125,22.106479334607503
29,29.0,41.0,16.0,7.0,17.0,19.0,10.0,11.0,18.75,11.247221879201993
30,44.0,20.0,6.0,27.0,4.0,18.0,8.0,19.0,18.25,13.10125402939952
31,47.0,18.0,20.0,10.0,11.0,31.0,3.0,17.0,19.625,13.793761529867664
32,,,,,,,,,,
33,,,,,,,,,,
34,110.0,105.0,54.0,21.0,66.0,20.0,54.0,94.0,65.5,35.18928408316535
35,64.0,28.0,27.0,5.0,16.0,15.0,28.0,85.0,33.5,27.113517977991293
36,43.0,53.0,7.0,15.0,38.0,17.0,46.0,48.0,33.375,17.622530222092724
37,,,,,,,,,,
38,48.0,68.0,56.0,38.0,39.0,45.0,51.0,33.0,47.25,11.234513149855925
39,,,,,,,,,,
40,,,,,,,,,,
41,54.0,36.0,28.0,31.0,57.0,39.0,45.0,30.0,40.0,11.032419757890183
42,12.0,14.0,22.0,29.0,17.0,63.0,94.0,69.0,40.0,30.983866769659336
43,26.0,22.0,59.0,28.0,33.0,36.0,182.0,31.0,52.125,53.66413407215555
44,60.0,38.0,12.0,8.0,38.0,22.0,51.0,26.0,31.875,18.239967888442912
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,35.0,35.0,43.0,23.0,15.0,54.0,14.0,38.0,32.125,13.90208103640808
50,,,,,,,,,,
51,58.0,13.0,11.0,64.0,45.0,51.0,28.0,30.0,37.5,20.03568245477482
52,59.0,18.0,33.0,46.0,30.0,27.0,33.0,32.0,34.75,12.487136238088036
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,73.0,7.0,55.0,43.0,44.0,48.0,27.0,16.0,39.125,21.48379788185905
57,66.0,39.0,165.0,26.0,122.0,103.0,44.0,24.0,73.625,51.29449288178995
58,92.0,42.0,19.0,66.0,119.0,57.0,16.0,87.0,62.25,36.21266550334486
59,36.0,25.0,76.0,107.0,26.0,29.0,32.0,21.0,44.0,30.798886807341407
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,182.0,41.0,133.0,67.0,99.0,55.0,23.0,45.0,80.625,53.9310075135684
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,21.0,67.0,73.0,27.0,47.0,85.0,35.0,104.0,57.375,29.587340439548033
70,40.0,37.0,38.0,53.0,26.0,21.0,24.0,115.0,44.25,30.414986907303255
71,,,,,,,,,,
72,61.0,22.0,54.0,30.0,73.0,185.0,25.0,100.0,68.75,53.96758286230726
73,70.0,52.0,26.0,64.0,79.0,180.0,19.0,67.0,69.625,49.40485083181899
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,117.0,22.0,68.0,40.0,102.0,40.0,30.0,44.0,57.875,34.725196697992736
78,,,,,,,,,,
79,180.0,35.0,20.0,25.0,43.0,14.0,15.0,42.0,46.75,55.03180898353242
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,101.0,59.0,18.0,24.0,29.0,19.0,8.0,56.0,39.25,30.844077921979494
84,,,,,,,,,,
85,,,,,,,,,,
86,128.0,17.0,82.0,147.0,13.0,12.0,18.0,107.0,65.5,57.033824550499354
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,75.0,12.0,39.0,23.0,16.0,69.0,47.0,16.0,37.125,24.712272832975696
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,112.0,43.0,64.0,12.0,25.0,37.0,7.0,8.0,38.5,35.6210210810575
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,92.0,37.0,10.0,27.0,21.0,82.0,29.0,47.0,43.125,29.274257340830065
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,158.0,25.0,23.0,22.0,18.0,39.0,26.0,33.0,43.0,46.93460496112802
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
