day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,1.0,0.25,0.5
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
9,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.875,1.3562026818605375
10,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,8.625,24.39518395093589
11,,,,,,,,,,
12,,,,,,,,,,
13,,,12.0,0.0,16.0,10.0,0.0,81.0,19.833333333333332,30.662137346679973
14,,43.0,18.0,,,18.0,3.0,5.0,17.4,15.94678651014053
15,9.0,21.0,1.0,41.0,142.0,29.0,4.0,284.0,66.375,99.02083114173502
16,,,,,,,,,,
17,4.0,6.0,0.0,6.0,2.0,10.0,1.0,5.0,4.25,3.24037034920393
18,,,,,,,,,,
19,,,,,,,,,,
20,9.0,38.0,6.0,24.0,3.0,11.0,10.0,20.0,15.125,11.568893020262816
21,11.0,39.0,5.0,3.0,3.0,26.0,8.0,6.0,12.625,13.015787117409161
22,0.0,16.0,5.0,1.0,3.0,2.0,2.0,2.0,3.875,5.111262075065218
23,1.0,4.0,9.0,2.0,7.0,4.0,1.0,6.0,4.25,2.9154759474226504
24,0.0,2.0,0.0,6.0,0.0,5.0,7.0,8.0,3.5,3.3806170189140663
25,,,,,,,,,,
26,,,,,,,,,,
27,6.0,3.0,1.0,0.0,2.0,4.0,6.0,0.0,2.75,2.434865792722759
28,4.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,2.875,3.2705394924123103
29,3.0,6.0,3.0,1.0,2.0,2.0,2.0,1.0,2.5,1.6035674514745464
30,10.0,3.0,2.0,32.0,2.0,0.0,3.0,11.0,7.875,10.521237026672699
31,1.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0,1.875,2.295181287579947
32,,,,,,,,,,
33,,,,,,,,,,
34,24.0,5.0,0.0,3.0,24.0,20.0,5.0,8.0,11.125,9.891374308673477
35,9.0,4.0,24.0,0.0,0.0,3.0,1.0,3.0,5.5,8.017837257372731
36,3.0,3.0,2.0,0.0,0.0,5.0,4.0,3.0,2.5,1.7728105208558367
37,,,,,,,,,,
38,2.0,9.0,9.0,2.0,3.0,1.0,8.0,0.0,4.25,3.770183777256185
39,,,,,,,,,,
40,,,,,,,,,,
41,4.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,1.75,1.9086270308410553
42,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,1.125,1.246423454758225
43,0.0,0.0,10.0,1.0,1.0,6.0,5.0,2.0,3.125,3.563204817496262
44,11.0,2.0,0.0,1.0,0.0,9.0,0.0,2.0,3.125,4.356850107261306
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,2.0,18.0,13.0,3.0,12.0,18.0,1.0,8.0,9.375,6.926914382114366
50,,,,,,,,,,
51,2.0,16.0,0.0,1.0,4.0,11.0,2.0,0.0,4.5,5.855400437691199
52,2.0,18.0,2.0,3.0,4.0,3.0,3.0,0.0,4.375,5.629958132298016
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,4.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,1.1952286093343936
