day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,18.0,1307.0,,,1.0,,3.0,332.25,649.8776166838389
1,16.0,,2314.0,,212.0,0.0,0.0,8.0,425.0,929.097411469863
2,,0.0,1653.0,,378.0,,0.0,7.0,407.6,714.9568518449208
3,,1.0,2362.0,,915.0,370.0,,,912.0,1037.0139825479694
4,,,,,,,,,,
5,,,,,,,,,,
6,,5.0,,,,1307.0,2.0,334.0,412.0,616.6733332972976
7,,,,,,,,,,
8,1120.0,1383.0,2572.0,643.0,2025.0,1921.0,2110.0,1107.0,1610.125,646.3211137993692
9,1846.0,1.0,317.0,2021.0,2330.0,176.0,2386.0,2031.0,1388.5,1031.4360308396665
10,3.0,2042.0,2800.0,59.0,45.0,2009.0,2274.0,1872.0,1388.0,1153.5329582262857
11,,,,,,,,,,
12,,,,,,,,,,
13,,,2121.0,1893.0,1840.0,24.0,61.0,118.0,1009.5,1036.4718520056392
14,,1236.0,973.0,,,2497.0,60.0,1021.0,1157.4,874.2998913416379
15,838.0,1516.0,432.0,672.0,70.0,140.0,1112.0,127.0,613.375,521.8168637421699
16,,,,,,,,,,
17,171.0,153.0,173.0,381.0,611.0,874.0,146.0,597.0,388.25,276.910893352253
18,,,,,,,,,,
19,,,,,,,,,,
20,1632.0,30.0,1602.0,1139.0,843.0,804.0,932.0,161.0,892.875,585.766027766816
21,1275.0,27.0,2040.0,1791.0,1494.0,137.0,786.0,820.0,1046.25,734.8006046346372
22,1952.0,1134.0,1738.0,1133.0,1902.0,1102.0,1294.0,1602.0,1482.125,358.545648617937
23,2179.0,1887.0,858.0,1386.0,1086.0,1232.0,1549.0,878.0,1381.875,471.60014464434954
24,1825.0,1731.0,2405.0,1614.0,2155.0,856.0,1521.0,1229.0,1667.0,490.7047410175928
25,,,,,,,,,,
26,,,,,,,,,,
27,598.0,1480.0,1791.0,647.0,2071.0,1104.0,1355.0,1087.0,1266.625,516.171880979859
28,549.0,1176.0,1518.0,315.0,1702.0,1107.0,1841.0,578.0,1098.25,571.2541966085302
29,1696.0,1158.0,1529.0,2210.0,1427.0,1458.0,1228.0,2363.0,1633.625,438.0674890927196
30,882.0,1747.0,1212.0,794.0,1913.0,1333.0,1428.0,527.0,1229.5,476.49344171772185
31,491.0,1336.0,1095.0,1807.0,1616.0,1160.0,2206.0,1259.0,1371.25,514.9495814432432
32,,,,,,,,,,
33,,,,,,,,,,
34,311.0,185.0,1191.0,327.0,1018.0,940.0,382.0,377.0,591.375,390.3364620060859
35,139.0,44.0,217.0,1688.0,1817.0,1095.0,1438.0,439.0,859.625,733.594659876965
36,397.0,256.0,1748.0,1875.0,1588.0,1493.0,962.0,918.0,1154.625,615.0451638468744
37,,,,,,,,,,
38,645.0,61.0,527.0,1234.0,846.0,1679.0,1036.0,1065.0,886.625,488.97529516910595
39,,,,,,,,,,
40,,,,,,,,,,
41,605.0,1552.0,278.0,1028.0,1304.0,1339.0,1182.0,1446.0,1091.75,439.93984978468524
42,1584.0,2093.0,1196.0,1104.0,1550.0,1176.0,1311.0,1325.0,1417.375,322.30063051221515
43,721.0,1525.0,377.0,1432.0,1499.0,1261.0,926.0,1502.0,1155.375,432.5489030981683
44,406.0,1773.0,1582.0,2268.0,1119.0,1433.0,1367.0,1305.0,1406.625,534.9934412148033
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,117.0,394.0,307.0,361.0,546.0,351.0,437.0,542.0,381.875,137.79740563595527
50,,,,,,,,,,
51,299.0,907.0,1208.0,877.0,365.0,1017.0,1320.0,1342.0,916.875,401.0776332047736
52,193.0,1202.0,610.0,990.0,647.0,616.0,880.0,747.0,735.625,301.3241906272094
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,12.0,2029.0,880.0,838.0,1198.0,957.0,1939.0,1378.0,1153.875,649.3806802308973
57,189.0,1242.0,467.0,478.0,563.0,222.0,731.0,817.0,588.625,342.49627213821094
58,74.0,1033.0,808.0,751.0,633.0,1376.0,979.0,718.0,796.5,374.57823901403714
59,222.0,1303.0,493.0,468.0,1058.0,586.0,676.0,1127.0,741.625,377.76974752202847
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,9.0,1301.0,404.0,264.0,645.0,470.0,1044.0,974.0,638.875,436.84598054037957
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,51.0,2478.0,376.0,939.0,1195.0,447.0,1186.0,1386.0,1007.25,756.4189598741843
70,22.0,1246.0,763.0,666.0,1302.0,1239.0,1001.0,1314.0,944.125,448.2777957281145
71,,,,,,,,,,
72,42.0,1413.0,1432.0,1034.0,1636.0,362.0,1066.0,1070.0,1006.875,547.269961458041
73,96.0,1193.0,1422.0,801.0,613.0,609.0,1374.0,1006.0,889.25,449.8551354126602
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,16.0,1333.0,330.0,820.0,320.0,1287.0,881.0,727.0,714.25,469.1450430608549
78,,,,,,,,,,
79,134.0,1446.0,447.0,878.0,996.0,1025.0,686.0,743.0,794.375,395.79898848495594
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,95.0,627.0,1134.0,1241.0,1225.0,1456.0,67.0,1024.0,858.625,535.0463097447066
84,,,,,,,,,,
85,,,,,,,,,,
86,242.0,1671.0,483.0,954.0,2425.0,1182.0,976.0,775.0,1088.5,691.4273022420465
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,221.0,1366.0,864.0,894.0,1298.0,699.0,595.0,1079.0,877.0,377.80720707033333
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,125.0,780.0,516.0,950.0,814.0,1282.0,1132.0,1259.0,857.25,393.95168304175144
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,1137.0,1395.0,1911.0,1584.0,706.0,445.0,588.0,1506.0,1159.0,529.6581107523175
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,43.0,1391.0,648.0,618.0,2049.0,993.0,1227.0,623.0,949.0,610.8375982440598
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,689.0,984.0,1703.0,776.0,1006.0,1343.0,754.0,688.0,992.875,361.8407058756262
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,17.0,147.0,357.0,451.0,46.0,909.0,433.0,493.0,356.625,291.35934489414075
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,45.0,381.0,601.0,455.0,490.0,1578.0,859.0,1019.0,678.5,468.8801247958495
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,13.0,282.0,781.0,110.0,425.0,629.0,415.0,982.0,454.625,329.73969712053605
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,12.0,960.0,1025.0,907.0,693.0,1184.0,750.0,556.0,760.875,362.00096191663835
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,13.0,1317.0,518.0,1119.0,550.0,416.0,952.0,583.0,683.5,420.8009369897227
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,45.0,1244.0,736.0,734.0,661.0,661.0,483.0,816.0,672.5,334.86671122360656
168,,,,,,,,,,
