day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,,,,,,,
17,0.0,0.0,5.0,1.0,0.0,0.0,3.0,3.0,1.5,1.927248223318863
18,,,,,,,,,,
19,,,,,,,,,,
20,0.0,14.0,1.0,3.0,1.0,0.0,7.0,8.0,4.25,5.007137762377681
21,6.0,8.0,0.0,2.0,1.0,2.0,4.0,18.0,5.125,5.841660722773962
22,2.0,4.0,1.0,6.0,2.0,1.0,4.0,13.0,4.125,3.9798600118956085
23,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,2.0,2.5071326821120348
24,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.125,0.9910312089651149
25,,,,,,,,,,
26,,,,,,,,,,
27,0.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,1.375,2.065879266282796
28,7.0,2.0,2.0,4.0,5.0,0.0,1.0,0.0,2.625,2.5035688811888406
29,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.375,1.407885953173359
30,3.0,3.0,0.0,1.0,2.0,1.0,4.0,2.0,2.0,1.3093073414159542
31,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.25,1.2817398889233114
32,,,,,,,,,,
33,,,,,,,,,,
34,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.375,0.7440238091428449
35,4.0,2.0,1.0,2.0,2.0,2.0,6.0,8.0,3.375,2.445841952609133
36,2.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,2.25,1.0350983390135313
37,,,,,,,,,,
38,4.0,0.0,1.0,4.0,2.0,2.0,2.0,3.0,2.25,1.3887301496588271
39,,,,,,,,,,
40,,,,,,,,,,
41,0.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,1.375,1.3024701806293193
42,1.0,0.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.8516401995451028
43,4.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.625,1.407885953173359
44,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.875,0.9910312089651149
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,1.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,1.5,1.3093073414159542
50,,,,,,,,,,
51,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.875,1.1259916264596033
52,1.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.125,0.8345229603962802
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,1.125,1.4577379737113252
57,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.75,1.164964745021435
58,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,1.125,1.3562026818605375
59,0.0,3.0,3.0,3.0,0.0,1.0,6.0,2.0,2.25,1.9820624179302297
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.875,1.1259916264596033
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,1.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,1.625,1.5979898086569353
70,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.1952286093343936
71,,,,,,,,,,
72,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.875,1.1259916264596033
73,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.125,1.3562026818605375
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.3093073414159542
78,,,,,,,,,,
79,1.0,0.0,1.0,1.0,0.0,6.0,2.0,0.0,1.375,1.9955307206712847
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.875,0.8345229603962802
84,,,,,,,,,,
85,,,,,,,,,,
86,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.875,0.9910312089651149
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,0.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,1.25,1.3887301496588271
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,4.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.125,1.3562026818605375
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.5,0.7559289460184544
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.625,0.7440238091428449
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
