day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,1.0,0.0,,,0.25,0.5
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,2.5,5.9521904731427595
10,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.5,1.0690449676496976
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.816496580927726
14,,0.0,7.0,,,0.0,1.0,0.0,1.6,3.0495901363953815
15,89.0,0.0,0.0,0.0,82.0,0.0,13.0,0.0,23.0,38.88077012758731
16,,,,,,,,,,
17,14.0,0.0,12.0,12.0,9.0,16.0,21.0,2.0,10.75,6.98467710676122
18,,,,,,,,,,
19,,,,,,,,,,
20,31.0,27.0,29.0,60.0,138.0,116.0,87.0,37.0,65.625,43.286215225767066
21,19.0,26.0,11.0,29.0,27.0,56.0,85.0,17.0,33.75,24.685160377383472
22,3.0,16.0,9.0,68.0,28.0,0.0,101.0,8.0,29.125,36.317793749856875
23,6.0,11.0,63.0,30.0,42.0,1.0,13.0,19.0,23.125,20.84937477651137
24,5.0,5.0,7.0,25.0,4.0,14.0,11.0,40.0,13.875,12.631451675423985
25,,,,,,,,,,
26,,,,,,,,,,
27,48.0,20.0,22.0,22.0,4.0,11.0,36.0,16.0,22.375,13.91748643151588
28,43.0,9.0,9.0,41.0,3.0,1.0,16.0,21.0,17.875,16.22553102806984
29,14.0,18.0,36.0,6.0,3.0,5.0,40.0,6.0,16.0,14.511079510891964
