day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
16,,,,,,,,,,
17,3.0,1.0,6.0,3.0,1.0,0.0,2.0,1.0,2.125,1.8850918886280925
18,,,,,,,,,,
19,,,,,,,,,,
20,0.0,0.0,3.0,3.0,2.0,0.0,1.0,5.0,1.75,1.8322507626258087
21,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.75,1.0350983390135313
22,1.0,3.0,0.0,1.0,0.0,3.0,2.0,7.0,2.125,2.295181287579947
23,3.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,1.75,2.1213203435596424
24,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.125,2.03100960115899
25,,,,,,,,,,
26,,,,,,,,,,
27,5.0,3.0,3.0,11.0,1.0,10.0,5.0,5.0,5.375,3.4615231989895516
28,9.0,6.0,2.0,8.0,2.0,9.0,5.0,7.0,6.0,2.8284271247461903
29,5.0,0.0,1.0,1.0,5.0,4.0,10.0,1.0,3.375,3.3354160160315836
30,10.0,6.0,9.0,4.0,9.0,5.0,17.0,4.0,8.0,4.342481186734475
31,13.0,8.0,10.0,4.0,10.0,5.0,7.0,4.0,7.625,3.2486260832190936
32,,,,,,,,,,
33,,,,,,,,,,
34,2.0,3.0,0.0,0.0,4.0,0.0,5.0,2.0,2.0,1.927248223318863
35,10.0,22.0,4.0,8.0,11.0,0.0,11.0,7.0,9.125,6.424006315599102
36,14.0,24.0,2.0,7.0,3.0,0.0,6.0,5.0,7.625,7.836498853806736
37,,,,,,,,,,
38,8.0,14.0,4.0,6.0,10.0,2.0,11.0,9.0,8.0,3.8913824205360674
39,,,,,,,,,,
40,,,,,,,,,,
41,13.0,2.0,4.0,8.0,10.0,10.0,9.0,7.0,7.875,3.5228843701879127
42,8.0,4.0,4.0,5.0,7.0,5.0,6.0,2.0,5.125,1.8850918886280925
43,16.0,9.0,6.0,12.0,6.0,2.0,4.0,1.0,7.0,5.0990195135927845
44,5.0,3.0,5.0,0.0,8.0,3.0,11.0,2.0,4.625,3.50255009141299
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,7.0,5.0,9.0,10.0,9.0,2.0,12.0,11.0,8.125,3.313931631332013
50,,,,,,,,,,
51,8.0,7.0,6.0,6.0,5.0,7.0,3.0,6.0,6.0,1.5118578920369088
52,6.0,3.0,12.0,7.0,1.0,13.0,13.0,11.0,8.25,4.6827952580239325
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,9.0,5.0,7.0,7.0,3.0,7.0,5.0,8.0,6.375,1.9226098333849673
57,12.0,4.0,6.0,11.0,7.0,1.0,8.0,6.0,6.875,3.563204817496262
58,10.0,1.0,8.0,3.0,9.0,9.0,9.0,2.0,6.375,3.7008686239082538
59,13.0,16.0,13.0,5.0,8.0,5.0,5.0,7.0,9.0,4.375255094603872
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,4.0,6.0,6.0,24.0,6.0,7.0,11.0,8.0,9.0,6.391959234627741
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,15.0,0.0,10.0,6.0,2.0,6.0,13.0,6.0,7.25,5.1478150704935
70,13.0,10.0,2.0,0.0,5.0,8.0,15.0,3.0,7.0,5.398412465054624
71,,,,,,,,,,
72,7.0,13.0,10.0,3.0,1.0,5.0,7.0,2.0,6.0,4.105745103771404
73,15.0,6.0,11.0,4.0,6.0,7.0,16.0,5.0,8.75,4.652188425123938
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,17.0,10.0,7.0,7.0,6.0,7.0,10.0,3.0,8.375,4.138236339311712
78,,,,,,,,,,
79,12.0,9.0,6.0,6.0,4.0,9.0,2.0,3.0,6.375,3.420004177106889
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,11.0,8.0,15.0,1.0,6.0,4.0,2.0,1.0,6.0,5.0709255283711
84,,,,,,,,,,
85,,,,,,,,,,
86,11.0,3.0,14.0,3.0,0.0,8.0,11.0,3.0,6.625,5.040904113917888
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,5.0,14.0,4.0,4.0,3.0,0.0,10.0,2.0,5.25,4.5591352563522705
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,6.0,5.0,3.0,8.0,11.0,5.0,12.0,2.0,6.5,3.585685828003181
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,0.0,4.0,0.0,5.0,7.0,7.0,5.0,1.0,3.625,2.9246489410818914
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,4.0,8.0,4.0,6.0,0.0,9.0,7.0,5.0,5.375,2.8252686345094435
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
