day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,1.0,,0.0,0.25,0.5
1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,,0.0,0.0,,1.0,,0.0,1.0,0.4,0.5477225575051662
3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.8516401995451028
9,0.0,0.0,19.0,0.0,0.0,23.0,0.0,2.0,5.5,9.651054716602593
10,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.25,2.815771906346718
11,,,,,,,,,,
12,,,,,,,,,,
13,,,14.0,0.0,14.0,1.0,1.0,13.0,7.166666666666667,7.139094246938239
14,,1.0,10.0,,,2.0,11.0,14.0,7.6,5.770615218501403
15,41.0,4.0,1.0,12.0,11.0,97.0,165.0,6.0,42.125,59.08453387187837
16,,,,,,,,,,
17,162.0,6.0,98.0,68.0,88.0,13.0,153.0,59.0,80.875,57.30229987904998
18,,,,,,,,,,
19,,,,,,,,,,
20,43.0,58.0,19.0,49.0,37.0,77.0,98.0,61.0,55.25,24.4291979869523
21,61.0,52.0,17.0,45.0,71.0,85.0,73.0,91.0,61.875,23.8653215236789
22,56.0,86.0,32.0,104.0,47.0,77.0,95.0,110.0,75.875,28.230872158988337
23,43.0,18.0,53.0,43.0,23.0,176.0,84.0,127.0,70.875,55.20723943210968
24,48.0,22.0,10.0,59.0,54.0,112.0,52.0,64.0,52.625,30.41117041013525
25,,,,,,,,,,
26,,,,,,,,,,
27,207.0,30.0,120.0,244.0,143.0,104.0,34.0,193.0,134.375,78.28690366666883
28,180.0,141.0,106.0,260.0,151.0,208.0,70.0,201.0,164.625,60.5591505413155
29,121.0,148.0,37.0,58.0,204.0,153.0,158.0,67.0,118.25,58.42149800006354
30,140.0,108.0,165.0,156.0,72.0,218.0,111.0,104.0,134.25,45.490187324929124
31,212.0,148.0,154.0,63.0,112.0,219.0,81.0,156.0,143.125,56.13360974369226
32,,,,,,,,,,
33,,,,,,,,,,
34,128.0,127.0,81.0,48.0,39.0,53.0,89.0,62.0,78.375,34.500258798201166
35,229.0,168.0,129.0,151.0,138.0,81.0,100.0,184.0,147.5,47.08351243118065
