day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,1.0,0.25,0.5
1,0.0,,0.0,,0.0,1.0,0.0,3.0,0.6666666666666666,1.2110601416389968
2,,0.0,1.0,,0.0,,0.0,1.0,0.4,0.5477225575051662
3,,0.0,0.0,,8.0,0.0,,,2.0,4.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.875,2.4748737341529163
10,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.375,3.8890872965260113
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,1.0,0.0,0.0,4.0,0.8333333333333334,1.602081978759722
14,,0.0,13.0,,,0.0,5.0,87.0,21.0,37.275997639231605
15,56.0,13.0,0.0,67.0,13.0,0.0,133.0,2.0,35.5,47.16839135329021
16,,,,,,,,,,
17,53.0,0.0,43.0,76.0,364.0,10.0,70.0,172.0,98.5,119.46069287785478
18,,,,,,,,,,
19,,,,,,,,,,
20,20.0,118.0,25.0,74.0,87.0,245.0,99.0,76.0,93.0,70.10604212803018
21,72.0,94.0,28.0,72.0,171.0,312.0,179.0,58.0,123.25,92.93123417728985
22,194.0,198.0,115.0,94.0,167.0,42.0,157.0,140.0,138.375,52.944546461368425
23,113.0,106.0,61.0,44.0,71.0,39.0,116.0,181.0,91.375,47.277108625634035
24,203.0,201.0,57.0,101.0,95.0,44.0,29.0,145.0,109.375,67.80631555077616
25,,,,,,,,,,
26,,,,,,,,,,
27,114.0,39.0,53.0,113.0,71.0,70.0,2.0,101.0,70.375,38.950288830764784
28,102.0,51.0,44.0,105.0,80.0,68.0,24.0,73.0,68.375,28.0149832360165
29,83.0,42.0,3.0,16.0,93.0,86.0,45.0,15.0,47.875,35.61074276113881
30,103.0,95.0,42.0,34.0,40.0,78.0,20.0,58.0,58.75,30.212343740360733
31,126.0,95.0,58.0,34.0,58.0,70.0,22.0,96.0,69.875,34.485763108025566
32,,,,,,,,,,
33,,,,,,,,,,
34,51.0,96.0,37.0,17.0,7.0,217.0,59.0,44.0,66.0,66.7425758311097
35,80.0,77.0,37.0,40.0,33.0,336.0,23.0,101.0,90.875,102.78053943093647
36,62.0,69.0,99.0,35.0,48.0,182.0,63.0,54.0,76.5,46.48502062876968
37,,,,,,,,,,
38,52.0,106.0,113.0,62.0,98.0,82.0,36.0,68.0,77.125,27.29436100840507
39,,,,,,,,,,
40,,,,,,,,,,
41,38.0,37.0,40.0,61.0,60.0,141.0,57.0,34.0,58.5,35.13646864116297
42,51.0,46.0,79.0,58.0,79.0,130.0,32.0,117.0,74.0,34.57497030264193
43,89.0,68.0,49.0,45.0,114.0,93.0,64.0,32.0,69.25,27.70121193841784
44,42.0,22.0,54.0,36.0,138.0,53.0,57.0,43.0,55.625,35.168725960919964
