day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,2.0,0.5,1.0
1,0.0,,0.0,,0.0,1.0,0.0,1.0,0.3333333333333333,0.5163977794943223
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
9,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,11.313708498984761
10,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.125,3.181980515339464
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,0.0,0.0,0.0,4.0,0.6666666666666666,1.632993161855452
14,,0.0,0.0,,,0.0,4.0,0.0,0.8,1.7888543819998322
15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.375,0.5175491695067657
16,,,,,,,,,,
17,6.0,5.0,8.0,6.0,7.0,0.0,5.0,2.0,4.875,2.6423744732991303
18,,,,,,,,,,
19,,,,,,,,,,
20,2.0,2.0,15.0,22.0,7.0,4.0,105.0,106.0,32.875,45.3508150816656
21,1.0,0.0,7.0,7.0,1.0,31.0,115.0,81.0,30.375,43.85996384598862
22,0.0,4.0,5.0,22.0,1.0,11.0,118.0,17.0,22.25,39.459744405804614
23,2.0,6.0,38.0,55.0,3.0,38.0,145.0,39.0,40.75,46.63459782485225
24,44.0,6.0,21.0,73.0,2.0,56.0,115.0,17.0,41.75,38.640282459778014
25,,,,,,,,,,
26,,,,,,,,,,
27,29.0,28.0,32.0,67.0,6.0,94.0,9.0,35.0,37.5,29.437585304698967
28,65.0,37.0,63.0,136.0,61.0,18.0,28.0,107.0,64.375,39.97119498553213
29,44.0,94.0,18.0,34.0,34.0,40.0,48.0,27.0,42.375,22.915606036061973
30,39.0,44.0,18.0,28.0,30.0,45.0,14.0,87.0,38.125,22.762359280180075
31,75.0,31.0,7.0,31.0,53.0,45.0,8.0,71.0,40.125,25.78724767898162
32,,,,,,,,,,
33,,,,,,,,,,
34,97.0,41.0,37.0,68.0,65.0,3.0,22.0,45.0,47.25,29.192709461683847
35,93.0,21.0,20.0,17.0,7.0,7.0,51.0,51.0,33.375,29.683749763127974
36,79.0,79.0,98.0,23.0,28.0,6.0,32.0,73.0,52.25,33.6950611048139
37,,,,,,,,,,
38,107.0,128.0,66.0,26.0,47.0,10.0,82.0,78.0,68.0,39.6232255123179
39,,,,,,,,,,
40,,,,,,,,,,
41,61.0,32.0,24.0,10.0,24.0,6.0,29.0,14.0,25.0,17.196345126633325
42,13.0,41.0,9.0,20.0,12.0,22.0,25.0,22.0,20.5,10.042765697612529
43,38.0,61.0,17.0,17.0,3.0,35.0,22.0,9.0,25.25,18.67580558599051
44,76.0,21.0,8.0,7.0,24.0,36.0,17.0,25.0,26.75,22.01136070305514
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,117.0,14.0,36.0,54.0,155.0,14.0,10.0,48.0,56.0,52.960902020803445
50,,,,,,,,,,
51,96.0,3.0,22.0,97.0,110.0,32.0,31.0,21.0,51.5,42.13244423413929
52,115.0,3.0,55.0,77.0,106.0,44.0,40.0,26.0,58.25,38.71415392702925
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,43.0,7.0,57.0,147.0,21.0,42.0,47.0,48.0,51.5,41.84324488919499
57,73.0,14.0,46.0,104.0,10.0,30.0,63.0,35.0,46.875,31.786958242111094
58,58.0,58.0,31.0,80.0,5.0,54.0,15.0,67.0,46.0,26.229754097208
59,41.0,10.0,22.0,12.0,33.0,44.0,28.0,81.0,33.875,22.674324686746463
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,55.0,33.0,136.0,86.0,12.0,73.0,93.0,131.0,77.375,43.742550386159635
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,33.0,26.0,75.0,35.0,123.0,63.0,28.0,97.0,60.0,36.0673972287597
70,190.0,56.0,75.0,64.0,118.0,38.0,29.0,64.0,79.25,52.12279457478958
71,,,,,,,,,,
72,9.0,87.0,62.0,47.0,129.0,53.0,27.0,85.0,62.375,37.7621787355701
73,1.0,85.0,43.0,84.0,188.0,52.0,25.0,82.0,70.0,56.4775555925917
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,15.0,110.0,79.0,41.0,122.0,44.0,29.0,60.0,62.5,38.280916543737185
78,,,,,,,,,,
79,1.0,47.0,51.0,72.0,111.0,33.0,3.0,63.0,47.625,36.32762624465613
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,18.0,57.0,15.0,64.0,25.0,38.0,0.0,74.0,36.375,26.332692879493248
84,,,,,,,,,,
85,,,,,,,,,,
86,22.0,13.0,103.0,141.0,19.0,43.0,42.0,111.0,61.75,49.18405665021368
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,27.0,7.0,80.0,31.0,31.0,222.0,41.0,27.0,58.25,69.33304716058157
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,162.0,9.0,48.0,41.0,53.0,42.0,10.0,42.0,50.875,47.87017413200595
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,180.0,59.0,26.0,6.0,29.0,167.0,70.0,52.0,73.625,64.9855753225283
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,77.0,20.0,30.0,34.0,62.0,91.0,66.0,28.0,51.0,26.300461701542154
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,33.0,8.0,57.0,68.0,54.0,65.0,29.0,33.0,43.375,20.859650045003153
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,73.0,19.0,79.0,63.0,94.0,60.0,91.0,46.0,65.625,24.726720653691917
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,75.0,17.0,50.0,15.0,44.0,40.0,53.0,44.0,42.25,19.418327131126116
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,100.0,8.0,48.0,56.0,146.0,61.0,77.0,64.0,70.0,40.29533826281008
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,107.0,53.0,30.0,34.0,52.0,56.0,77.0,66.0,59.375,24.599288607600016
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,44.0,3.0,50.0,25.0,68.0,32.0,23.0,73.0,39.75,23.711058300174745
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,201.0,14.0,48.0,136.0,67.0,70.0,49.0,14.0,74.875,63.84453774599672
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
