day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,1.0,0.0,,,0.0,,2.0,0.75,0.9574271077563381
1,0.0,,0.0,,0.0,0.0,0.0,8.0,1.3333333333333333,3.265986323710904
2,,1.0,1.0,,0.0,,0.0,2.0,0.8,0.8366600265340756
3,,2.0,0.0,,8.0,0.0,,,2.5,3.7859388972001824
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,2.0,0.0,0.5,1.0
7,,,,,,,,,,
8,0.0,0.0,1.0,0.0,1.0,1.0,0.0,11.0,1.75,3.770183777256185
9,0.0,0.0,47.0,0.0,1.0,122.0,0.0,0.0,21.25,43.88540271466779
10,3.0,0.0,0.0,71.0,4.0,0.0,0.0,0.0,9.75,24.800633632458435
11,,,,,,,,,,
12,,,,,,,,,,
13,,,66.0,1.0,177.0,9.0,3.0,71.0,54.5,67.81666461866139
14,,58.0,134.0,,,29.0,55.0,31.0,61.4,42.71182506051456
15,79.0,236.0,3.0,52.0,15.0,308.0,82.0,20.0,99.375,112.03307866110667
16,,,,,,,,,,
17,267.0,71.0,311.0,210.0,108.0,34.0,180.0,89.0,158.75,99.05229499035923
18,,,,,,,,,,
19,,,,,,,,,,
20,57.0,105.0,70.0,130.0,92.0,36.0,256.0,431.0,147.125,133.0761731383303
21,82.0,106.0,15.0,158.0,59.0,81.0,203.0,705.0,176.125,221.4448899516859
22,67.0,147.0,52.0,122.0,42.0,156.0,135.0,373.0,136.75,105.24495237302357
23,36.0,60.0,66.0,107.0,43.0,441.0,133.0,349.0,154.375,153.9331371546936
24,67.0,96.0,34.0,148.0,51.0,202.0,74.0,95.0,95.875,54.947864900675235
25,,,,,,,,,,
26,,,,,,,,,,
27,181.0,131.0,117.0,456.0,159.0,324.0,61.0,479.0,238.5,160.31575985268216
28,251.0,166.0,145.0,505.0,271.0,740.0,129.0,585.0,349.0,230.5601873698059
29,177.0,128.0,101.0,105.0,317.0,429.0,197.0,109.0,195.375,118.79626918143755
30,394.0,158.0,386.0,331.0,228.0,478.0,353.0,278.0,325.75,101.56876629020502
31,666.0,124.0,644.0,118.0,404.0,495.0,236.0,334.0,377.625,214.5692945014667
32,,,,,,,,,,
33,,,,,,,,,,
34,238.0,230.0,127.0,233.0,75.0,105.0,258.0,183.0,181.125,69.91308379491127
35,696.0,801.0,419.0,524.0,541.0,134.0,693.0,502.0,538.75,205.99289169428013
36,943.0,720.0,293.0,341.0,617.0,55.0,512.0,542.0,502.875,274.20922017425204
37,,,,,,,,,,
38,797.0,460.0,272.0,648.0,462.0,152.0,586.0,653.0,503.75,212.78342443500085
39,,,,,,,,,,
40,,,,,,,,,,
