day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.75,1.7525491637693282
10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,,,,,,,,,,
12,,,,,,,,,,
13,,,4.0,0.0,1.0,3.0,0.0,10.0,3.0,3.794733192202055
14,,2.0,4.0,,,0.0,4.0,14.0,4.8,5.403702434442518
15,9.0,11.0,0.0,7.0,34.0,16.0,1.0,33.0,13.875,13.163124900374422
16,,,,,,,,,,
17,3.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,2.0,1.1952286093343936
18,,,,,,,,,,
19,,,,,,,,,,
20,15.0,5.0,8.0,13.0,1.0,5.0,8.0,8.0,7.875,4.4860896112315904
21,6.0,14.0,3.0,2.0,1.0,9.0,3.0,28.0,8.25,9.067209367511357
22,0.0,9.0,4.0,0.0,0.0,6.0,4.0,3.0,3.25,3.24037034920393
23,0.0,1.0,5.0,1.0,3.0,3.0,0.0,12.0,3.125,3.9798600118956085
24,1.0,1.0,1.0,6.0,0.0,3.0,5.0,7.0,3.0,2.6726124191242437
25,,,,,,,,,,
26,,,,,,,,,,
27,13.0,2.0,7.0,1.0,0.0,15.0,6.0,3.0,5.875,5.566160513059505
28,9.0,2.0,3.0,10.0,3.0,1.0,1.0,4.0,4.125,3.48209706929603
29,1.0,3.0,5.0,1.0,4.0,3.0,2.0,0.0,2.375,1.685018016012207
30,4.0,0.0,5.0,9.0,6.0,14.0,1.0,8.0,5.875,4.517821851923146
31,6.0,0.0,3.0,3.0,3.0,13.0,0.0,18.0,5.75,6.453127702351562
32,,,,,,,,,,
33,,,,,,,,,,
34,33.0,4.0,4.0,22.0,10.0,2.0,2.0,61.0,17.25,20.885743599744917
35,6.0,2.0,9.0,1.0,3.0,3.0,2.0,8.0,4.25,3.011881234615431
36,10.0,3.0,4.0,5.0,10.0,4.0,1.0,13.0,6.25,4.200340122282616
37,,,,,,,,,,
38,12.0,2.0,7.0,6.0,26.0,7.0,3.0,11.0,9.25,7.592289321598403
39,,,,,,,,,,
40,,,,,,,,,,
41,4.0,1.0,7.0,5.0,2.0,1.0,1.0,2.0,2.875,2.2320714274285347
42,0.0,3.0,2.0,3.0,4.0,11.0,6.0,8.0,4.625,3.543101950067402
43,5.0,3.0,5.0,1.0,0.0,5.0,8.0,0.0,3.375,2.8753881725529062
44,7.0,1.0,4.0,0.0,4.0,0.0,2.0,4.0,2.75,2.434865792722759
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,2.0,7.0,10.0,3.0,10.0,10.0,1.0,6.0,6.125,3.758324094593227
50,,,,,,,,,,
51,10.0,11.0,7.0,5.0,15.0,8.0,1.0,2.0,7.375,4.68851179556401
52,3.0,6.0,18.0,0.0,38.0,13.0,1.0,1.0,10.0,13.005493344846904
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,7.0,0.0,8.0,3.0,2.0,5.0,1.0,11.0,4.625,3.814914340921881
57,6.0,0.0,8.0,11.0,4.0,12.0,6.0,10.0,7.125,3.9798600118956085
58,21.0,10.0,4.0,9.0,4.0,6.0,13.0,10.0,9.625,5.578978401105349
59,12.0,3.0,13.0,2.0,5.0,6.0,26.0,10.0,9.625,7.763237542601485
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,11.0,1.0,12.0,12.0,5.0,15.0,10.0,24.0,11.25,6.798108980759702
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,1.0,0.0,16.0,14.0,2.0,21.0,2.0,3.0,7.375,8.24512843181614
70,14.0,6.0,14.0,14.0,2.0,9.0,2.0,6.0,8.375,5.180664601601393
71,,,,,,,,,,
72,5.0,5.0,13.0,12.0,35.0,31.0,3.0,6.0,13.75,12.429802894656053
73,4.0,1.0,4.0,21.0,33.0,18.0,1.0,7.0,11.125,11.630471062809844
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,8.0,4.0,25.0,12.0,8.0,9.0,4.0,10.0,10.0,6.654751256486923
78,,,,,,,,,,
79,4.0,0.0,11.0,16.0,7.0,6.0,2.0,10.0,7.0,5.209880722517277
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,5.0,21.0,2.0,5.0,8.0,6.0,2.0,4.0,6.625,6.13974173491268
84,,,,,,,,,,
85,,,,,,,,,,
86,2.0,5.0,12.0,18.0,4.0,10.0,0.0,17.0,8.5,6.80336051416609
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,4.0,0.0,7.0,5.0,7.0,25.0,10.0,6.0,8.0,7.445036697597362
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,10.0,0.0,20.0,5.0,23.0,7.0,4.0,3.0,9.0,8.28078671210825
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,18.0,2.0,13.0,0.0,7.0,34.0,10.0,21.0,13.125,11.115465416642321
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,11.0,2.0,22.0,7.0,7.0,6.0,6.0,11.0,9.0,6.0
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
