day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,1.0,0.0,2.0,0.5,0.8366600265340756
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,1.0,0.0,0.0,0.25,0.5
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,31.0,0.0,0.0,10.0,0.0,0.0,5.125,11.025133624068754
10,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.875,1.807721533549109
11,,,,,,,,,,
12,,,,,,,,,,
13,,,3.0,0.0,2.0,10.0,2.0,10.0,4.5,4.370354676682432
14,,3.0,3.0,,,5.0,5.0,3.0,3.8,1.0954451150103321
15,4.0,3.0,0.0,6.0,59.0,22.0,3.0,37.0,16.75,21.245167517747248
16,,,,,,,,,,
17,9.0,4.0,4.0,4.0,2.0,7.0,2.0,6.0,4.75,2.434865792722759
18,,,,,,,,,,
19,,,,,,,,,,
20,2.0,78.0,48.0,11.0,0.0,2.0,54.0,12.0,25.875,29.811011867620806
21,10.0,67.0,29.0,32.0,0.0,12.0,22.0,9.0,22.625,20.93484791305772
22,0.0,28.0,14.0,9.0,1.0,4.0,12.0,1.0,8.625,9.47081984684687
23,26.0,10.0,50.0,2.0,0.0,11.0,2.0,8.0,13.625,16.834806630481808
24,10.0,7.0,3.0,5.0,3.0,21.0,66.0,86.0,25.125,32.370345776872476
25,,,,,,,,,,
26,,,,,,,,,,
27,20.0,34.0,6.0,5.0,0.0,15.0,23.0,2.0,13.125,11.933596033288302
28,13.0,34.0,11.0,58.0,2.0,1.0,5.0,10.0,16.75,19.62323695447386
29,2.0,42.0,8.0,6.0,1.0,7.0,40.0,5.0,13.875,16.915229824037272
30,38.0,4.0,7.0,41.0,1.0,8.0,3.0,66.0,21.0,24.177911997760035
31,9.0,3.0,1.0,10.0,4.0,17.0,2.0,6.0,6.5,5.31843156256751
32,,,,,,,,,,
33,,,,,,,,,,
34,40.0,2.0,4.0,35.0,4.0,15.0,15.0,42.0,19.625,16.87718239856066
35,36.0,11.0,97.0,4.0,2.0,8.0,6.0,19.0,22.875,31.8946368084488
36,7.0,14.0,15.0,3.0,2.0,14.0,15.0,13.0,10.375,5.50162313711664
37,,,,,,,,,,
38,6.0,63.0,113.0,11.0,8.0,17.0,11.0,5.0,29.25,38.82101787139833
39,,,,,,,,,,
40,,,,,,,,,,
41,47.0,47.0,78.0,6.0,0.0,56.0,4.0,0.0,29.75,30.728069996572934
42,0.0,22.0,4.0,41.0,5.0,7.0,14.0,16.0,13.625,13.211872366495651
43,1.0,21.0,110.0,7.0,0.0,22.0,33.0,32.0,28.25,35.46326066710247
44,50.0,22.0,2.0,1.0,1.0,22.0,5.0,42.0,18.125,19.401307025190707
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,18.0,75.0,96.0,29.0,44.0,71.0,7.0,59.0,49.875,30.735914311622953
50,,,,,,,,,,
51,41.0,60.0,11.0,6.0,70.0,33.0,1.0,6.0,28.5,26.635100364529723
52,20.0,37.0,12.0,6.0,42.0,20.0,7.0,2.0,18.25,14.64581851587681
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,7.0,11.0,26.0,16.0,4.0,5.0,5.0,3.0,9.625,7.8909984883319515
57,9.0,40.0,113.0,4.0,12.0,125.0,13.0,8.0,40.5,49.77951385861457
58,14.0,29.0,17.0,60.0,17.0,14.0,17.0,43.0,26.375,16.834806630481808
59,1.0,15.0,13.0,8.0,7.0,68.0,53.0,5.0,21.25,24.938495773173077
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,126.0,5.0,50.0,5.0,9.0,73.0,2.0,19.0,36.125,44.33778620673664
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,6.0,2.0,74.0,69.0,3.0,26.0,18.0,0.0,24.75,30.20288538723222
70,10.0,6.0,48.0,45.0,7.0,2.0,3.0,5.0,15.75,19.151650432422638
71,,,,,,,,,,
72,13.0,2.0,1.0,1.0,18.0,65.0,1.0,5.0,13.25,21.861577514639045
73,8.0,39.0,5.0,16.0,6.0,69.0,4.0,7.0,19.25,23.18712697043032
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,7.0,2.0,13.0,0.0,67.0,7.0,2.0,13.0,13.875,22.015822232463375
78,,,,,,,,,,
79,10.0,8.0,50.0,7.0,5.0,4.0,6.0,119.0,26.125,40.516090278166914
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,61.0,5.0,20.0,7.0,1.0,6.0,0.0,4.0,13.0,20.339967692065926
84,,,,,,,,,,
85,,,,,,,,,,
86,6.0,2.0,26.0,73.0,15.0,7.0,13.0,12.0,19.25,22.889486045531285
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,10.0,3.0,4.0,7.0,7.0,180.0,10.0,11.0,29.0,61.08074281520439
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,25.0,14.0,92.0,5.0,8.0,10.0,10.0,6.0,21.25,29.27090217751606
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,38.0,8.0,38.0,5.0,15.0,42.0,41.0,22.0,26.125,15.449803512389035
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,110.0,3.0,112.0,13.0,6.0,7.0,8.0,72.0,41.375,48.491346798018654
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,6.0,10.0,6.0,5.0,17.0,1.0,26.0,2.0,9.125,8.458934414485753
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,11.0,32.0,45.0,21.0,114.0,4.0,18.0,41.0,35.75,34.64823227814083
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
