day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,1.0,0.25,0.5
1,0.0,,0.0,,0.0,1.0,0.0,1.0,0.3333333333333333,0.5163977794943223
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,1.0,,,0.25,0.5
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,118.0,0.0,0.0,63.0,0.0,0.0,22.625,44.39735352473163
10,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.375,0.5175491695067657
11,,,,,,,,,,
12,,,,,,,,,,
13,,,6.0,0.0,1.0,1.0,0.0,9.0,2.8333333333333335,3.763863263545405
14,,2.0,2.0,,,0.0,16.0,3.0,4.6,6.465291950097845
15,7.0,2.0,2.0,2.0,12.0,5.0,4.0,11.0,5.625,4.033343171967536
16,,,,,,,,,,
17,4.0,2.0,70.0,18.0,10.0,1.0,8.0,24.0,17.125,22.799984335834218
18,,,,,,,,,,
19,,,,,,,,,,
20,21.0,14.0,13.0,22.0,2.0,8.0,31.0,40.0,18.875,12.357039636232805
21,10.0,18.0,4.0,1.0,1.0,46.0,24.0,8.0,14.0,15.259657363687523
22,15.0,8.0,5.0,3.0,6.0,30.0,8.0,2.0,9.625,9.148575220843329
23,0.0,1.0,14.0,9.0,9.0,10.0,3.0,17.0,7.875,6.104740546727366
24,8.0,4.0,0.0,4.0,1.0,49.0,7.0,27.0,12.5,17.01260037232908
25,,,,,,,,,,
26,,,,,,,,,,
27,10.0,5.0,2.0,5.0,7.0,43.0,6.0,4.0,10.25,13.435028842544403
28,6.0,3.0,10.0,8.0,4.0,2.0,1.0,19.0,6.625,5.853875395228117
29,3.0,9.0,9.0,4.0,3.0,41.0,3.0,4.0,9.5,12.983506020002016
30,14.0,0.0,4.0,29.0,7.0,7.0,1.0,20.0,10.25,10.081808227835776
31,7.0,0.0,2.0,2.0,11.0,22.0,2.0,7.0,6.625,7.20986427452992
32,,,,,,,,,,
33,,,,,,,,,,
34,22.0,13.0,10.0,29.0,35.0,16.0,16.0,61.0,25.25,16.696877381286427
35,18.0,10.0,31.0,3.0,2.0,19.0,4.0,39.0,15.75,13.687846538339874
36,25.0,31.0,0.0,1.0,2.0,10.0,17.0,50.0,17.0,17.598701250782277
37,,,,,,,,,,
38,17.0,58.0,12.0,2.0,23.0,11.0,27.0,33.0,22.875,17.249741198886767
39,,,,,,,,,,
40,,,,,,,,,,
41,41.0,41.0,7.0,10.0,5.0,23.0,2.0,3.0,16.5,16.47508942095828
42,3.0,11.0,23.0,30.0,11.0,4.0,8.0,28.0,14.75,10.713809513227043
43,5.0,7.0,46.0,2.0,0.0,29.0,45.0,22.0,19.5,18.905781428668096
44,47.0,8.0,4.0,7.0,1.0,26.0,10.0,10.0,14.125,15.207493453651628
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,19.0,33.0,23.0,54.0,18.0,11.0,6.0,16.0,22.5,15.033296378372908
50,,,,,,,,,,
51,33.0,20.0,13.0,6.0,31.0,34.0,9.0,17.0,20.375,11.08328857849897
52,12.0,15.0,36.0,7.0,35.0,6.0,9.0,16.0,17.0,11.952286093343936
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,36.0,0.0,11.0,10.0,3.0,65.0,8.0,25.0,19.75,21.776461735421705
57,24.0,10.0,6.0,2.0,21.0,34.0,8.0,6.0,13.875,11.166755507820012
58,21.0,10.0,5.0,20.0,8.0,7.0,9.0,14.0,11.75,5.994044663544928
