day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,2202.0,1084.0,,,2985.0,,2978.0,2312.25,897.5092850030392
1,1942.0,,553.0,,2752.0,2965.0,2581.0,2584.0,2229.5,889.5501672193649
2,,1595.0,1296.0,,2539.0,,2572.0,2865.0,2173.4,684.6957718578376
3,,514.0,615.0,,1921.0,2391.0,,,1360.25,939.5784072302499
4,,,,,,,,,,
5,,,,,,,,,,
6,,1625.0,,,,1469.0,1.0,2143.0,1309.5,918.6720488473204
7,,,,,,,,,,
8,936.0,857.0,371.0,1396.0,685.0,925.0,560.0,1132.0,857.75,323.15310391736693
9,645.0,4.0,256.0,670.0,462.0,75.0,385.0,535.0,379.0,249.24686557708202
10,17.0,802.0,169.0,7.0,10.0,789.0,488.0,826.0,388.5,379.41421014129514
11,,,,,,,,,,
12,,,,,,,,,,
13,,,128.0,629.0,530.0,1.0,3.0,40.0,221.83333333333334,282.58621103420217
14,,138.0,81.0,,,96.0,6.0,149.0,94.0,56.74063799429823
15,85.0,242.0,14.0,76.0,15.0,81.0,101.0,19.0,79.125,74.66388972302092
16,,,,,,,,,,
17,32.0,190.0,14.0,45.0,22.0,135.0,76.0,53.0,70.875,61.47342631460477
18,,,,,,,,,,
19,,,,,,,,,,
20,2.0,23.0,5.0,7.0,2.0,18.0,7.0,6.0,8.75,7.629828681843762
21,5.0,20.0,17.0,6.0,2.0,9.0,4.0,6.0,8.625,6.4572771793867245
22,22.0,6.0,15.0,1.0,4.0,7.0,2.0,4.0,7.625,7.229651246281327
23,2.0,8.0,0.0,0.0,4.0,2.0,4.0,5.0,3.125,2.6958963523950885
24,6.0,5.0,0.0,3.0,1.0,1.0,1.0,2.0,2.375,2.1339098923270936
25,,,,,,,,,,
26,,,,,,,,,,
27,12.0,8.0,1.0,5.0,3.0,0.0,9.0,3.0,5.125,4.189698250300543
28,4.0,9.0,11.0,7.0,1.0,1.0,4.0,6.0,5.375,3.583194903195431
29,5.0,10.0,5.0,39.0,1.0,3.0,4.0,7.0,9.25,12.314335432448523
30,1.0,13.0,1.0,1.0,0.0,1.0,2.0,3.0,2.75,4.234214381508266
31,1.0,7.0,3.0,6.0,1.0,3.0,4.0,5.0,3.75,2.187627547301936
32,,,,,,,,,,
33,,,,,,,,,,
34,5.0,30.0,2.0,22.0,3.0,7.0,9.0,9.0,10.875,9.905806378079475
35,4.0,19.0,0.0,4.0,4.0,1.0,6.0,12.0,6.25,6.296257391725432
36,1.0,6.0,3.0,2.0,4.0,2.0,2.0,7.0,3.375,2.1339098923270936
37,,,,,,,,,,
38,4.0,10.0,0.0,3.0,1.0,0.0,1.0,3.0,2.75,3.2841611235921855
39,,,,,,,,,,
40,,,,,,,,,,
41,0.0,78.0,0.0,0.0,2.0,5.0,2.0,1.0,11.0,27.12405363721075
42,0.0,0.0,1.0,0.0,2.0,3.0,0.0,5.0,1.375,1.8468119248354136
43,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.625,1.1877349391654208
44,0.0,1.0,0.0,3.0,5.0,2.0,1.0,1.0,1.625,1.685018016012207
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,7.0,11.0,0.0,1.0,6.0,4.0,3.0,2.0,4.25,3.615443067098218
50,,,,,,,,,,
51,1.0,4.0,1.0,2.0,0.0,1.0,4.0,1.0,1.75,1.4880476182856899
52,5.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,2.875,1.246423454758225
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,0.0,5.0,0.0,1.0,7.0,0.0,2.0,3.0,2.25,2.6049403612586386
57,3.0,7.0,4.0,1.0,2.0,2.0,1.0,2.0,2.75,1.9820624179302297
58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
59,3.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,1.5,1.6035674514745464
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,1.875,1.246423454758225
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.875,1.1259916264596033
70,4.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.625,1.5979898086569353
71,,,,,,,,,,
72,0.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,1.375,1.3024701806293193
73,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.875,1.1259916264596033
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7071067811865476
78,,,,,,,,,,
79,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.875,0.6408699444616557
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0690449676496976
84,,,,,,,,,,
85,,,,,,,,,,
86,2.0,5.0,0.0,3.0,4.0,0.0,0.0,1.0,1.875,1.9594095320493148
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,2.0,4.0,0.0,3.0,9.0,0.0,5.0,1.0,3.0,3.0237157840738176
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,0.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.75,1.3887301496588271
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,9.0,4.0,0.0,4.0,5.0,0.0,3.0,0.0,3.125,3.1367635732209265
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,5.0,4.0,2.0,0.0,8.0,1.0,2.0,0.0,2.75,2.7645717829090897
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.125,0.8345229603962802
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,2.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,1.5,1.6903085094570331
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,1.0,2.0,0.0,0.0,10.0,0.0,0.0,1.0,1.75,3.4121631178560534
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,2.0,9.0,1.0,1.0,2.0,3.0,0.0,0.0,2.25,2.9154759474226504
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.25,2.3754698783308417
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
