day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,1.0,,0.0,0.0,0.2,0.44721359549995804
3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
9,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.875,2.100170061141308
10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.375,0.5175491695067657
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.5163977794943223
14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.125,1.5526475085202969
16,,,,,,,,,,
17,21.0,11.0,5.0,12.0,9.0,1.0,3.0,10.0,9.0,6.25642526870234
18,,,,,,,,,,
19,,,,,,,,,,
20,1.0,12.0,4.0,20.0,13.0,5.0,27.0,16.0,12.25,8.77903346453518
21,0.0,10.0,4.0,6.0,12.0,37.0,31.0,15.0,14.375,13.08147545195113
22,4.0,2.0,8.0,19.0,14.0,13.0,11.0,1.0,9.0,6.369570517030843
23,5.0,4.0,27.0,112.0,19.0,22.0,17.0,14.0,27.5,35.03875405482172
24,43.0,27.0,8.0,35.0,28.0,14.0,14.0,19.0,23.5,11.868325191750639
25,,,,,,,,,,
26,,,,,,,,,,
27,55.0,19.0,13.0,9.0,16.0,37.0,21.0,36.0,25.75,15.5540532154346
28,31.0,19.0,12.0,26.0,18.0,9.0,22.0,22.0,19.875,7.120142454433659
29,8.0,47.0,4.0,3.0,22.0,15.0,34.0,3.0,17.0,16.300744943538184
30,3.0,8.0,13.0,12.0,7.0,12.0,8.0,7.0,8.75,3.370036032024414
31,11.0,5.0,4.0,26.0,11.0,14.0,4.0,16.0,11.375,7.4821215478728265
32,,,,,,,,,,
33,,,,,,,,,,
34,54.0,22.0,7.0,47.0,40.0,26.0,19.0,21.0,29.5,15.919440047582434
35,33.0,13.0,18.0,4.0,5.0,17.0,13.0,14.0,14.625,8.991066995317391
36,21.0,35.0,22.0,11.0,6.0,12.0,21.0,17.0,18.125,8.88718981777383
37,,,,,,,,,,
38,13.0,31.0,10.0,7.0,9.0,15.0,18.0,7.0,13.75,7.977647343851265
39,,,,,,,,,,
40,,,,,,,,,,
41,23.0,9.0,9.0,7.0,10.0,15.0,12.0,7.0,11.5,5.3452248382484875
42,5.0,20.0,12.0,9.0,7.0,10.0,15.0,4.0,10.25,5.338539126015656
43,15.0,13.0,12.0,4.0,6.0,9.0,22.0,17.0,12.25,5.897941529526576
44,26.0,20.0,4.0,14.0,5.0,38.0,6.0,12.0,15.625,11.855529150087373
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,25.0,15.0,12.0,15.0,21.0,16.0,9.0,18.0,16.375,5.0124844139408555
50,,,,,,,,,,
51,30.0,4.0,11.0,11.0,24.0,13.0,22.0,6.0,15.125,9.203066259211033
52,28.0,7.0,21.0,12.0,29.0,29.0,14.0,11.0,18.875,8.999007881824689
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,10.0,6.0,6.0,14.0,36.0,11.0,12.0,15.0,13.75,9.57302758498361
57,9.0,10.0,9.0,12.0,40.0,27.0,28.0,12.0,18.375,11.722231625663873
58,19.0,20.0,5.0,12.0,20.0,17.0,4.0,21.0,14.75,6.923046397979103
59,19.0,21.0,10.0,15.0,37.0,24.0,26.0,26.0,22.25,8.137216091163225
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,13.0,38.0,29.0,37.0,53.0,30.0,24.0,29.0,31.625,11.636610945018067
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,11.0,18.0,26.0,9.0,10.0,17.0,14.0,15.0,15.0,5.503245795502349
70,16.0,16.0,18.0,21.0,29.0,5.0,11.0,13.0,16.125,7.100050301632678
71,,,,,,,,,,
72,2.0,18.0,12.0,12.0,17.0,12.0,13.0,10.0,12.0,4.869731585445518
73,2.0,15.0,5.0,20.0,20.0,17.0,9.0,12.0,12.5,6.740072064048828
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,10.0,44.0,17.0,5.0,43.0,12.0,11.0,17.0,19.875,15.084878900030036
78,,,,,,,,,,
79,2.0,13.0,12.0,12.0,16.0,9.0,1.0,12.0,9.625,5.370222128951997
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,20.0,15.0,14.0,13.0,6.0,4.0,0.0,11.0,10.375,6.566962768281849
84,,,,,,,,,,
85,,,,,,,,,,
86,17.0,22.0,21.0,13.0,8.0,28.0,20.0,34.0,20.375,8.158037228927766
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,25.0,11.0,8.0,18.0,13.0,38.0,23.0,6.0,17.75,10.63350499936068
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,29.0,3.0,6.0,9.0,10.0,22.0,3.0,11.0,11.625,9.257236551554064
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,36.0,22.0,6.0,7.0,10.0,15.0,19.0,12.0,15.875,9.847951200993172
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,45.0,16.0,7.0,11.0,15.0,14.0,6.0,13.0,15.875,12.310709623274015
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
