day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,3.0,0.0,,,0.75,1.5
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,1.0,0.0,1.0,0.0,15.0,0.0,0.0,38.0,6.875,13.590306419335386
9,0.0,0.0,4.0,0.0,0.0,22.0,0.0,1.0,3.375,7.652030542840993
10,2.0,0.0,0.0,19.0,1.0,0.0,0.0,7.0,3.625,6.653409437488207
11,,,,,,,,,,
12,,,,,,,,,,
13,,,129.0,0.0,76.0,10.0,1.0,33.0,41.5,51.52378091716484
14,,30.0,130.0,,,3.0,13.0,145.0,64.2,67.81371542689575
15,130.0,28.0,0.0,134.0,22.0,70.0,36.0,8.0,53.5,52.760916270609684
16,,,,,,,,,,
17,154.0,44.0,120.0,74.0,127.0,13.0,31.0,50.0,76.625,51.15225871287183
18,,,,,,,,,,
19,,,,,,,,,,
20,31.0,52.0,49.0,104.0,63.0,52.0,86.0,50.0,60.875,23.31423538159833
21,75.0,42.0,26.0,295.0,69.0,68.0,210.0,30.0,101.875,97.42900345526333
22,87.0,79.0,158.0,185.0,118.0,154.0,156.0,41.0,122.25,49.41876451019679
23,107.0,27.0,157.0,244.0,66.0,61.0,96.0,173.0,116.375,70.95257470411386
24,71.0,88.0,39.0,98.0,26.0,45.0,61.0,56.0,60.5,24.454038521274967
25,,,,,,,,,,
26,,,,,,,,,,
27,178.0,162.0,117.0,219.0,82.0,41.0,120.0,193.0,139.0,59.83787620371756
28,171.0,104.0,91.0,195.0,126.0,56.0,179.0,166.0,136.0,49.28633539981297
29,93.0,122.0,164.0,36.0,130.0,54.0,227.0,51.0,109.625,64.95039315838336
30,132.0,106.0,194.0,129.0,134.0,83.0,237.0,86.0,137.625,53.21368647792998
31,209.0,103.0,147.0,65.0,119.0,70.0,65.0,92.0,108.75,49.6581168735643
32,,,,,,,,,,
33,,,,,,,,,,
34,57.0,244.0,175.0,206.0,73.0,66.0,291.0,77.0,148.625,92.13799821075838
35,69.0,229.0,54.0,80.0,56.0,142.0,87.0,84.0,100.125,58.84953574279798
36,91.0,113.0,77.0,68.0,31.0,59.0,93.0,85.0,77.125,24.879351737075925
37,,,,,,,,,,
38,94.0,74.0,98.0,74.0,47.0,76.0,39.0,66.0,71.0,20.445048300260872
39,,,,,,,,,,
40,,,,,,,,,,
41,62.0,34.0,67.0,81.0,59.0,62.0,77.0,55.0,62.125,14.406719662316311
42,70.0,25.0,76.0,50.0,50.0,70.0,58.0,58.0,57.125,16.137246180365295
43,121.0,85.0,83.0,82.0,77.0,69.0,59.0,42.0,77.25,22.908201899881064
44,92.0,44.0,109.0,29.0,73.0,65.0,72.0,83.0,70.875,25.531143447058646
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,158.0,69.0,79.0,94.0,101.0,61.0,140.0,89.0,98.875,33.87977694310111
50,,,,,,,,,,
51,125.0,82.0,83.0,86.0,84.0,46.0,135.0,103.0,93.0,27.897772568535185
52,100.0,91.0,86.0,79.0,56.0,121.0,127.0,114.0,96.75,23.711058300174745
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,101.0,113.0,80.0,55.0,85.0,84.0,51.0,79.0,81.0,20.80521912542963
57,93.0,60.0,64.0,79.0,120.0,41.0,76.0,67.0,75.0,23.700512351303413
58,96.0,54.0,86.0,70.0,66.0,54.0,77.0,56.0,69.875,15.606202979218597
59,123.0,100.0,180.0,117.0,65.0,59.0,118.0,102.0,108.0,37.68288736283355
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,78.0,84.0,47.0,145.0,105.0,70.0,71.0,39.0,79.875,33.42555694588883
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,86.0,13.0,83.0,34.0,65.0,52.0,46.0,39.0,52.25,24.886886965973524
70,69.0,51.0,48.0,35.0,48.0,66.0,98.0,31.0,55.75,21.552262062252307
71,,,,,,,,,,
72,65.0,69.0,74.0,54.0,15.0,68.0,68.0,54.0,58.375,18.920416032876837
73,113.0,88.0,65.0,52.0,34.0,35.0,72.0,75.0,66.75,26.692695630078276
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,131.0,77.0,65.0,74.0,47.0,67.0,90.0,47.0,74.75,26.985445812776295
78,,,,,,,,,,
79,162.0,76.0,80.0,38.0,53.0,120.0,52.0,26.0,75.875,45.3508150816656
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,110.0,76.0,62.0,60.0,44.0,57.0,18.0,45.0,59.0,26.742155057939087
84,,,,,,,,,,
85,,,,,,,,,,
86,74.0,41.0,77.0,22.0,16.0,105.0,83.0,66.0,60.5,31.199816849279284
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,109.0,107.0,72.0,70.0,83.0,40.0,114.0,71.0,83.25,25.341947157120458
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,87.0,95.0,66.0,122.0,100.0,59.0,95.0,74.0,87.25,20.40833163195855
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,47.0,112.0,31.0,97.0,90.0,69.0,97.0,32.0,71.875,31.822891580926907
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,83.0,43.0,27.0,81.0,38.0,52.0,57.0,48.0,53.625,19.726251544578865
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
