day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,,,,,,,,,,
5,,,,,,,,,,
6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,49.0,0.0,0.0,5.0,0.0,0.0,6.75,17.161002301730512
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,
12,,,,,,,,,,
13,,,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.8366600265340756
14,,0.0,54.0,,,0.0,1.0,10.0,13.0,23.302360395462088
15,18.0,0.0,2.0,22.0,48.0,1.0,12.0,13.0,14.5,15.802350638885525
16,,,,,,,,,,
17,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,3.625,0.7440238091428449
18,,,,,,,,,,
19,,,,,,,,,,
20,3.0,5.0,0.0,3.0,0.0,1.0,5.0,5.0,2.75,2.187627547301936
21,0.0,10.0,1.0,0.0,0.0,2.0,4.0,2.0,2.375,3.3779748793788102
22,1.0,5.0,1.0,5.0,1.0,0.0,6.0,0.0,2.375,2.5035688811888406
23,0.0,0.0,8.0,3.0,7.0,6.0,5.0,4.0,4.125,2.997022331772464
24,1.0,2.0,0.0,1.0,1.0,9.0,9.0,9.0,4.0,4.174754056057845
25,,,,,,,,,,
26,,,,,,,,,,
27,2.0,6.0,1.0,2.0,0.0,2.0,5.0,1.0,2.375,2.065879266282796
28,4.0,2.0,2.0,5.0,1.0,0.0,0.0,5.0,2.375,2.065879266282796
29,3.0,6.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,1.927248223318863
