day,mouse_0,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mean,std
0,,727.0,595.0,,,0.0,,0.0,330.5,385.41449548938004
1,531.0,,117.0,,1.0,0.0,362.0,0.0,168.5,226.42504278458247
2,,1148.0,19.0,,0.0,,340.0,4.0,302.2,494.28149874337794
3,,1240.0,2.0,,1.0,196.0,,,359.75,593.9530705367217
4,,,,,,,,,,
5,,,,,,,,,,
6,,733.0,,,,107.0,1.0,244.0,271.25,323.50618232114203
7,,,,,,,,,,
8,340.0,299.0,13.0,522.0,32.0,46.0,76.0,282.0,201.25,185.9652425281978
9,228.0,1598.0,423.0,158.0,14.0,0.0,50.0,76.0,318.375,535.4640010575607
10,2863.0,51.0,12.0,2690.0,2263.0,65.0,30.0,97.0,1008.875,1332.4889104336182
11,,,,,,,,,,
12,,,,,,,,,,
13,,,39.0,133.0,28.0,787.0,467.0,220.0,279.0,296.24516873697706
14,,214.0,2.0,,,40.0,65.0,0.0,64.2,88.05793547432282
15,0.0,32.0,1358.0,4.0,2.0,0.0,0.0,57.0,181.625,475.77844108366236
16,,,,,,,,,,
17,0.0,3.0,0.0,2.0,0.0,891.0,0.0,1.0,112.125,314.71503550264094
18,,,,,,,,,,
19,,,,,,,,,,
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.375,1.0606601717798212
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.4629100498862757
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,,,,,,,,,,
26,,,,,,,,,,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
28,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.375,0.5175491695067657
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.4629100498862757
32,,,,,,,,,,
33,,,,,,,,,,
34,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5345224838248488
35,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.7440238091428449
36,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4142135623730951
37,,,,,,,,,,
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,,,,,,,,,,
40,,,,,,,,,,
41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.4629100498862757
42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
50,,,,,,,,,,
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
