,Barnesiella intestinihominis,Barnesiella viscericola,Coprobacter fastidiosus,Lactobacillus intestinalis,Lactobacillus murinus,Lactobacillus reuteri,Lactobacillus taiwanensis,Parabacteroides distasonis,Prevotella sp. Smarlab 121567
0,0.5,0.5,0.5,0.5,1307.0,0.5,0.5,0.5,0.5
1,0.5,0.5,0.5,0.5,2313.0,0.5,0.5,0.5,0.5
2,0.5,1.0,0.5,1.0,1650.0,1.0,1.0,0.5,1.0
3,0.5,0.5,0.5,0.5,2362.0,0.5,0.5,0.5,0.5
4,0.5,0.5,0.5,0.5,3663.1226380004955,0.5,0.5,0.5,0.5
5,0.5,0.6550968012952223,0.5,0.5,4810.437144442408,0.5,0.5,0.5,0.5
6,0.5,1.5716144680809032,0.5,0.5,5327.790331884071,0.5,0.5,0.5,0.5
7,0.5,1.6587547565777214,0.5,0.5,4739.029012883824,0.5,0.5,0.5,0.5
8,0.5,0.5,0.5,0.5,2568.0,0.5,1.0,0.5,0.5
9,0.5,0.5,1.0,0.5,216.0,2.0,95.0,7.0,9.0
10,0.5,0.5,0.5,0.5,2781.0,0.5,16.0,0.5,0.5
11,0.5,0.5,0.5,0.5,4214.227259530734,0.5,0.5,0.5,11.681153432387653
12,0.5,0.5,0.5,0.5,3567.013998257239,0.5,0.5,7.4238486970190465,38.5601449179555
13,0.5,68.0,0.5,0.5,2119.0,0.5,2.0,14.0,59.0
14,2.0,257.0,0.5,0.5,972.0,0.5,0.5,10.0,49.0
15,0.5,1.0,0.5,0.5,425.0,3.0,3.0,1.0,2.0
16,69.53287430206632,51.26759098462762,9.616519647649023,0.5,246.214465618785,0.5,0.5,46.657712141890265,0.5
17,143.0,269.0,19.0,1.0,165.0,0.5,4.0,98.0,12.0
18,136.4292736999996,285.3660781773021,16.58048676430224,5.75517177341146,40.95399624439216,26.891500232911987,361.6902261575657,93.71786870817887,38.540273401579796
19,76.13427400097179,151.61123040243987,7.24622274009735,8.445571547375316,201.96633057607414,52.71958900757577,663.0868826586735,53.90364829200767,53.16855049427557
20,16.0,24.0,0.5,2.0,1093.0,42.0,435.0,19.0,41.0
21,6.0,6.0,0.5,1.0,2013.0,10.0,11.0,16.0,7.0
22,44.0,16.0,0.5,15.0,420.0,50.0,911.0,31.0,15.0
23,31.0,22.0,0.5,43.0,703.0,63.0,41.0,53.0,46.0
24,23.0,18.0,0.5,731.0,190.0,484.0,884.0,10.0,26.0
25,42.85002638832802,22.206242321601483,0.5,1043.1608736480619,0.5,735.4403377797793,1308.6139533621588,16.845132354488232,23.626117973282344
26,70.92279722261085,37.75148872965025,0.5,860.0448174729968,0.5,693.2683770864397,1019.2589224899549,70.1044123751386,44.60214403054427
27,82.0,62.0,0.5,441.0,46.0,439.0,767.0,120.0,67.0
28,49.0,67.0,0.5,97.0,73.0,152.0,993.0,105.0,68.0
29,25.0,29.0,1.0,107.0,111.0,154.0,1011.0,35.0,73.0
30,208.0,140.0,0.5,78.0,391.0,97.0,595.0,162.0,264.0
31,232.0,122.0,0.5,153.0,88.0,159.0,597.0,152.0,538.0
32,150.48645090577864,63.00508983338035,0.5,182.8847580120143,0.5,232.6682845363891,911.2079124420093,100.42999257031046,403.6035916304593
33,63.97988488987417,22.755231666900244,0.5,140.2526492367316,72.95992613111741,241.85893304766358,1112.5286709382494,71.78008674329124,87.62853817939026
34,44.0,17.0,0.5,65.0,67.0,153.0,776.0,79.0,31.0
35,100.0,43.0,2.0,4.0,106.0,52.0,48.0,111.0,330.0
36,79.0,46.0,0.5,6.0,1094.0,247.0,391.0,98.0,174.0
37,68.78847631642888,37.015475427225745,0.5,25.9246837723472,924.9967964460297,303.8933481414478,495.9028372925422,83.71669087346301,79.10539099045772
38,81.0,35.0,0.5,6.0,116.0,177.0,221.0,100.0,172.0
39,92.82608879818696,50.46967113522773,0.5,0.5,0.5,0.5,0.5,154.98062156306239,358.26163538242315
40,105.67284099298034,74.19262324730485,0.5,0.5,0.5,0.5,0.5,211.24652533843826,520.1275834489122
41,127.0,92.0,0.5,31.0,64.0,46.0,126.0,220.0,534.0
42,142.0,89.0,2.0,258.0,7.0,325.0,560.0,163.0,371.0
43,101.0,67.0,1.0,37.0,22.0,86.0,210.0,128.0,283.0
44,100.0,78.0,1.0,201.0,50.0,302.0,897.0,150.0,253.0
45,109.54895707993931,94.54220870468127,3.1781810494654326,299.9705150086228,53.90516960006842,456.3020935465323,1312.8789832380733,184.98698991013845,273.1447343500002
46,114.71126210262189,104.697814034448,6.55177671448021,232.3814501883765,41.479498899783636,410.5326397969121,1169.7969915244746,213.5480232444385,331.05454669539307
47,116.3990885853348,107.28231501187412,9.936281854762274,110.30712786381872,22.20124339946463,268.0121392740258,733.5755081918387,227.0155616236693,405.99199186578585
48,115.52461004536512,101.11121065953344,12.14719133002956,45.82187035950756,5.548658599430425,132.06109250075974,270.0360165728025,216.72206666860012,477.21962469078585
49,113.0,85.0,12.0,151.0,1.0,106.0,45.0,174.0,524.0
50,111.90629703374752,64.48677507464134,9.198540929026274,440.335375358151,11.892587675964016,231.0456523061901,195.82340114061253,108.48182348797772,539.1870229493481
51,124.0,72.0,7.0,538.0,17.0,300.0,346.0,103.0,570.0
52,158.0,120.0,8.0,215.0,1.0,171.0,217.0,200.0,640.0
53,201.61401187908595,138.02935416545105,9.353828076946801,32.89376774680392,0.5,116.53622248631882,259.53935390241776,254.2902873185456,657.4430417286271
54,236.60213774954045,124.32063572588834,9.703948328840855,49.2299669841145,0.5,154.9329457901641,444.68755059994055,250.43618904584025,628.1087627816604
55,244.53919474522473,100.95159942338147,8.452094416314482,134.45118272936793,0.5,209.1131961989273,566.9919719974932,220.1139962502148,591.4701024438637
56,207.0,90.0,5.0,159.0,9.0,202.0,421.0,195.0,587.0
57,144.0,97.0,2.0,120.0,13.0,130.0,125.0,209.0,626.0
58,164.0,101.0,8.0,247.0,5.0,157.0,390.0,258.0,625.0
59,184.0,166.0,11.0,95.0,154.0,119.0,109.0,226.0,563.0
60,181.2187533173063,200.42602466368683,10.010705876578044,0.5,229.40046813359666,100.20592778047006,0.5,207.33249772573546,497.9351675848256
61,164.51066177909937,190.54230511411015,7.080524699264538,11.976669231887584,196.91516117692342,116.76264243098063,0.5,220.87415954864036,447.0390719483956
62,142.79723935134282,156.38743300747842,3.860081172318762,94.68257966909482,106.72227363178851,141.68803586600092,0.5,248.2287415972251,412.62344033776765
63,125.0,118.0,2.0,178.0,9.0,148.0,53.0,271.0,397.0
64,117.73924847533725,91.61789054517497,2.6655257668833974,213.69387879770335,0.5,117.38313176275811,104.90369387908383,275.14267191764577,400.2612554944712
65,118.43045266483226,78.27616028566953,5.0803825788075265,207.18958088913752,0.5,66.18884814529943,101.18787343654222,264.0154186395239,413.6228206298432
66,122.18787124026551,75.20915766144151,7.982914421926821,177.32757516469331,0.5,19.435271153959093,66.59606624986903,245.32788248716645,426.0810865270993
67,124.12576287341756,79.6512311124487,10.11146528239571,142.94833051476178,0.5,2.140522795072343,25.871799896558286,226.78970578210541,426.6324443072221
68,119.3583862360689,88.83672907864891,10.204379146368623,122.89231582973366,0.5,39.32272507497419,3.758601954103824,216.11053084587266,404.2732850911947
69,103.0,100.0,7.0,136.0,36.0,156.0,25.0,221.0,348.0
70,86.0,106.0,2.0,177.0,86.0,320.0,151.0,233.0,277.0
71,114.51457149557861,93.1235731425427,3.5598133646274697,182.33728353839413,103.43099030480639,349.633398930875,485.5395261821789,206.02548347013996,288.8726708752634
72,138.0,87.0,6.0,217.0,75.0,323.0,752.0,186.0,342.0
73,109.0,110.0,5.0,320.0,12.0,337.0,704.0,215.0,376.0
74,86.14730530481165,135.55896184766476,13.325387500337404,330.4919570048335,0.5,289.76600282475005,565.1673307124184,232.29379424461143,414.1085364399008
75,84.11290400188058,154.19122662276666,28.709810677446306,250.30269340090433,0.5,191.02783297421695,421.6344148454232,229.28494464441286,460.2109394088859
76,98.77205069800921,164.2278780864852,43.73932851583205,137.96208309652297,0.5,93.5257466365754,291.5342915557163,218.13362272200783,507.4578726734282
77,126.0,164.0,51.0,52.0,13.0,50.0,193.0,211.0,549.0
78,158.8390909085582,152.95430234684852,45.883004133992515,33.654954136674476,11.527037729834467,93.33603042982216,146.1444457453078,216.4909307200442,578.5414236669337
79,179.0,135.0,35.0,55.0,6.0,177.0,179.0,229.0,592.0
80,171.27584703206034,115.07453459256011,26.499899780707217,78.25565768593599,9.732914633560194,245.39759360685832,304.70736828141776,240.41399099776024,587.0434030751691
81,144.1211869125376,97.76574990874823,23.460147982628488,95.39776523235088,20.07329573128367,286.1118627275615,468.921127701499,246.80574815514535,566.1248239217755
82,111.9059333367461,87.57409027056224,27.69032219323551,105.84099016259033,30.377028963365312,297.52020048448395,600.4243232708308,245.29463123495776,532.893832807494
83,89.0,89.0,41.0,109.0,34.0,278.0,628.0,233.0,491.0
84,85.70525399105149,103.91475347039142,63.47646895809901,104.88507655723272,26.655753895117012,230.5345025327117,510.9500041124678,209.57422835994365,446.06189005974636
85,96.0513759724043,123.67294526039468,88.31785649353105,95.88895880416986,13.488473237583253,176.53034188613162,330.65138668319094,184.80174681193762,411.5740447182986
86,110.0,137.0,107.0,85.0,2.0,142.0,199.0,171.0,403.0
87,119.48069454084828,135.53532136522503,113.14478559604842,74.54588434991135,0.5,145.61429539445143,199.1450743744022,177.0200379901287,430.20778336911343
88,124.29476570623103,122.57422921619695,108.95829429957381,64.21161984309076,0.5,176.67739291119776,299.24935221261023,197.8473325362406,480.68338804957847
89,126.21145401849827,104.3260224590704,98.79265585331225,53.0215454147248,2.4771326746483453,217.15179397234522,438.7289539445132,225.00096081423217,536.3172987052543
90,127.0,87.0,87.0,40.0,4.0,249.0,557.0,250.0,579.0
91,128.01988312210517,75.49898811759203,77.1439030712384,24.80510543487682,1.1406392225545534,258.28581241419045,606.898401247562,265.9575002650866,594.5288402748719
92,128.99153865225895,69.49992258025965,69.63372775408968,9.63011515841134,0.5,247.4782326266334,594.9392303100997,272.3624037636186,584.3286225797152
93,129.22564080692536,67.37326652886766,64.09028332448128,0.5,0.5,223.14756204696778,541.057350249115,270.29762564536856,553.731013641573
94,128.03286380256858,67.48948310428088,60.13437905834067,0.5,0.5,191.86410208483272,465.18762412611034,260.8460810601091,508.0676801874875
95,124.72388185565266,68.21903544736412,57.3868242315953,0.5,0.5,160.19815414986707,387.26491500258794,245.0906851576127,452.67028894450175
96,118.6093691826418,67.93238669898223,55.46842812017259,5.669923735726755,0.5,134.7200196517098,327.2240859400505,224.11435308765218,392.8705066396584
97,109.0,65.0,54.0,33.0,5.0,122.0,305.0,199.0,334.0
98,95.59719176723858,58.30105121920369,52.71177163653354,75.89784292411434,30.453778861407624,126.64894355321552,334.47845696984143,170.9287923200207,280.64178800557477
99,79.66533491605739,48.749567137065085,51.77166475334352,130.1187105089166,63.35834303002906,145.43988646519026,405.3490035405888,141.47490157544652,234.38429864845207
100,62.85956312120344,37.76828726197739,51.457023563528786,190.00350508745686,99.78103697782592,173.18641183859694,501.252123129159,112.31075056960171,196.06731217370697
101,46.8350100574237,26.779951102333833,52.0451922801882,249.8931289927852,135.78920517675982,204.70210277610846,605.8282991524685,85.10876210581046,166.5306088264143
102,33.24680939946522,17.20729816652761,53.81351511642064,304.1284845579517,167.4501920987924,234.80054238039764,702.7180150274341,61.54135898739695,146.613968851649
103,23.750094822074992,10.473067962951923,57.03933628532495,347.05047411600674,190.8313422158853,258.29531375413717,775.5617541709724,43.2809640176854,137.1571724944859
104,20.0,8.0,62.0,373.0,202.0,270.0,808.0,32.0,139.0
105,23.08406117920287,10.751617501220041,68.83991417271488,378.0379252010273,198.23083425309773,266.2379469006443,788.817508482402,28.796718209932685,152.3209173238205
106,31.81942489050858,17.854578550780317,77.17174151241963,365.10495534236543,181.62781109713723,249.3715509586698,727.3761257899358,32.47268381214633,174.65313326379422
107,44.45564023595771,27.976324948004113,86.47520842723446,338.8617567053368,155.50222098407679,223.27297135666186,638.181970645328,41.255290443571525,202.86854232832226
108,59.24225631759084,39.784298492214695,96.23004132527967,303.9689955712636,123.16535436587459,191.81436727720563,535.7411617713044,53.37193174113889,233.83903902580576
109,74.42882223744854,51.945940982735344,105.9159666146755,265.08733822146814,87.92850169448889,158.86789790288645,434.5598178905911,67.05000134177901,264.43651786464574
110,88.2648870975714,63.128694218889365,115.01271070354218,226.8774509372729,53.10295342187794,128.30572241628948,349.1440577259142,80.5168928824225,291.5328733532434
111,99.0,72.0,123.0,194.0,22.0,104.0,294.0,92.0,312.0
112,105.28478908386718,77.53478419762922,129.46434805302383,170.13292770378325,0.5,88.96572635234591,280.0969782924861,100.11964396558736,323.45369476617145
113,107.37419863667485,79.9379089722938,134.41941697500724,155.02328039400192,0.5,82.7892432346261,304.257185610658,105.0678565868417,326.48536442443395
114,105.92425198301716,79.72172055674912,137.98565601919844,147.43538042884668,0.5,84.19972892388216,359.7660298187129,107.42959730556547,322.4303182003186
115,101.59097244748828,77.39856518375063,140.28351443884566,146.13355016650826,0.5,91.92636169715566,439.90891878084807,107.78982556356105,312.6238653193564
116,95.03038335468236,73.48078908605376,141.433441487197,149.88211196517727,0.5,104.69831983148822,537.9712603612608,106.73350080263089,298.40131500707855
117,86.89850802919358,68.48073849641392,141.5558864175007,157.44538818304449,0.5,121.2447816039214,647.2384624241479,104.8455824645774,281.097976489016
118,77.85136979561611,62.91075964758656,140.771298483005,167.58770117830062,0.5,140.2949252914968,760.9959328337071,102.71102999120302,262.0491589906999
119,68.54499197854412,57.28319877232709,139.20012693695807,179.0733733091363,0.5,160.57792917125602,872.5290794541353,100.91480282431013,242.59017173766148
120,59.63539790257174,52.1104021033909,136.96282103260813,190.6667269337422,0.5,180.82297152024063,975.1233101496301,100.04186040570119,224.05632395543157
121,51.77861089229316,47.90471587353353,134.17983002320335,201.13208441030906,0.5,199.75923061549219,1062.064032784388,100.67716217717857,207.78292486954152
122,45.63065427230251,45.1784863155103,130.97160316199194,209.23376809702762,0.5,216.11588473405226,1126.6366552226066,103.40566758054473,195.10528370552208
123,41.847551367194,44.44405966207668,127.45858970222211,213.73610035208833,0.5,228.6221121529626,1162.126585328484,108.81233605760204,187.35870968890475
