Genus,0,1,2,3,8,9,10,13,14,15,17,20,21,22,23,24,27,28,29,30,31,34,35,36,38,41,42,43,44,49,51,52,56,57,58,59,63,69,70,72,73,77,79,83,86,90,97,104,111,125,133,139,147,153,161,167,175,181,188,195,203,210,216,223,231,238,244,252,259,267,274,279,287,294,303,308,315,322,329,338,346,352,356,363,371,377,386,393,398,407,414,422,429,436,441,450,457,462,469,476,483,489,496,503,511,518,520,524,531,541,546,555,559,566,573,576,580,587,594,598,603,608,615,619,624,629,633,638,640,643,646,650,652,654,657,660,666,671,674,679,682,686,689,692,695,699,702,705,708,710,714,717,721,724,730,735,738,742,744,749,752,756,759,765,770,773,777,780,784,787,791,795,799,801,807,812,818,822,827,832,839,842,848,850,854,856,862,869,874,877,880,886,892,898,904,910,917,920,926,932,938,944,947,953,959,964,mean,median
Lactobacillus,1307,2314,1653,2362,2572,317,2800,2121,973,432,173,1602,2040,1738,858,2405,1791,1518,1529,1212,1095,1191,217,1748,527,278,1196,377,1582,307,1208,610,880,467,808,493,404,376,763,1432,1422,330,447,1134,483,864,516,1911,648,1703,357,601,781,1025,518,736,1192,702,1517,1273,301,819,511,899,1014,627,1274,540,979,669,735,1343,842,1527,989,915,714,781,1085,1391,305,755,841,1110,338,631,1978,175,406,249,451,482,408,1128,710,592,469,740,633,536,915,734,696,504,1470,787,1127,525,541,574,469,718,613,278,650,349,424,589,1033,1236,1693,899,1639,1219,550,1169,1127,1341,1354,988,674,1496,835,1059,1569,621,1268,1445,1142,985,682,1391,886,547,1501,440,1683,1151,563,1175,1148,724,1220,989,1397,669,844,956,1050,1034,1234,1309,789,1145,1243,885,983,1398,1114,791,730,786,856,676,1092,1674,1207,1175,513,992,1143,1164,1079,554,1294,1305,402,822,866,1029,435,564,1338,854,690,1059,1810,1544,1519,1144,1475,595,555,656,437,59,966.3446601941747,885.5
Prevotella,0,0,1,0,1,47,0,66,134,3,311,70,15,52,66,34,117,145,101,386,644,127,419,293,272,673,504,374,378,638,693,826,765,715,814,754,507,459,354,505,558,800,794,598,591,806,482,174,415,262,528,638,471,254,351,673,240,309,212,324,668,471,743,518,260,363,572,458,535,507,651,295,340,196,520,220,423,682,374,436,390,538,525,607,608,498,314,1087,980,645,761,518,960,593,882,486,839,660,791,690,771,382,613,646,614,901,597,754,594,639,639,475,587,513,606,347,825,489,1034,727,478,509,350,495,413,626,673,355,446,414,404,548,545,341,421,609,438,517,643,391,433,545,532,434,209,471,426,472,663,405,379,623,349,393,338,521,397,393,502,556,419,611,609,247,357,454,529,463,405,480,617,856,668,656,681,322,608,468,906,603,380,496,582,605,285,396,428,289,534,386,496,494,493,369,865,323,231,196,247,315,193,322,360,346,365,228,470.58252427184465,476.5
Barnesiella,0,0,1,0,0,0,0,68,259,1,412,40,12,60,53,41,144,116,54,348,354,61,143,125,116,219,231,168,178,198,196,278,297,241,265,350,243,203,192,225,219,290,314,178,247,214,174,28,171,95,276,269,213,190,147,251,148,188,73,223,258,219,279,150,165,144,217,242,251,211,291,168,205,91,289,269,175,171,176,234,165,245,181,164,296,181,114,315,330,300,316,293,276,155,324,317,225,284,329,235,244,239,288,215,179,194,208,250,162,310,218,246,344,147,233,182,258,407,222,249,162,170,209,218,219,292,338,195,166,239,196,160,242,170,176,304,200,227,257,272,284,228,297,259,112,213,184,186,270,214,261,251,166,270,200,219,221,249,215,273,268,272,262,155,220,246,238,274,232,263,326,251,280,252,242,136,370,271,410,383,268,277,331,292,192,287,319,229,376,327,262,259,322,333,301,319,185,199,275,333,242,383,361,286,268,103,220.91747572815535,230.0
Clostridium,1,0,0,0,12,200,0,243,487,11,242,708,410,267,803,160,129,408,466,176,121,226,1139,88,923,777,255,1001,190,803,227,263,162,533,130,175,722,816,674,79,38,248,262,167,291,107,711,320,788,215,560,304,113,394,421,99,442,555,253,116,163,214,110,138,470,253,67,401,177,208,130,251,120,94,167,143,181,174,177,75,599,125,177,278,562,411,30,216,130,113,110,268,259,190,128,293,351,196,115,126,105,294,325,577,59,191,149,414,437,500,534,288,301,572,509,1129,464,204,41,80,81,425,274,294,808,122,125,254,94,327,272,109,367,153,158,383,206,111,136,396,521,128,177,414,409,754,83,227,80,311,182,250,56,332,132,299,642,445,452,52,285,93,166,105,108,260,160,162,283,284,207,171,100,147,73,85,93,291,130,126,164,127,59,369,210,99,699,672,337,379,357,115,62,82,118,219,55,332,197,206,147,322,214,246,524,767,278.84466019417476,212.0
Parabacteroides,0,0,0,0,0,19,0,14,10,1,98,19,17,32,53,10,120,106,37,165,154,81,129,108,110,230,175,135,153,182,107,205,200,209,262,241,273,221,236,190,215,223,238,235,178,254,201,32,97,132,253,160,141,142,197,132,131,137,90,77,196,239,181,209,178,205,183,309,168,179,187,154,158,94,150,99,137,165,175,193,179,148,217,128,95,211,184,325,214,171,212,204,245,140,245,153,168,250,198,187,243,103,127,270,207,240,219,229,175,258,167,104,206,74,230,84,156,125,185,172,146,152,112,198,171,165,111,79,96,169,139,119,154,103,139,212,166,142,144,160,155,106,157,210,139,210,136,138,221,180,136,141,66,124,120,161,125,181,179,188,99,131,176,146,108,146,166,125,119,203,170,158,172,168,213,34,58,138,226,168,84,116,180,155,138,125,200,157,165,162,205,150,116,105,208,133,122,123,169,215,171,203,204,319,269,278,154.95145631067962,159.0
Coprobacter,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,12,7,8,5,2,8,11,2,7,2,6,5,51,35,41,107,87,54,62,123,120,114,152,125,117,140,241,90,151,130,229,254,256,228,157,234,247,180,190,224,335,265,130,567,408,219,490,250,276,273,165,292,339,194,217,102,142,65,179,170,310,245,353,189,227,159,331,168,242,239,252,185,429,177,137,83,156,120,78,104,135,106,175,220,233,89,32,116,380,26,47,7,388,31,73,47,131,128,216,161,195,341,152,222,199,136,189,171,106,168,165,154,116,238,286,140,139,122,225,240,152,215,238,175,179,212,232,120,163,114,222,119,132,173,150,119,98,116,95,124,248,220,72,33,131,68,26,76,39,129,93,89,40,32,40,29,85,55,2,29,52,44,33,17,49,52,7,1,0,0,0,0,4,2,14,3,0,120.92233009708738,116.0
Tannerella,0,0,0,0,1,4,0,129,130,0,120,49,26,158,157,39,117,91,164,194,147,175,54,77,98,67,76,83,109,79,83,86,80,64,86,180,47,83,48,74,65,65,80,62,77,72,66,31,27,31,75,134,57,67,57,95,37,42,44,89,89,73,38,30,48,68,59,55,63,109,66,40,73,52,85,85,73,75,75,95,73,52,55,46,61,29,31,95,88,97,94,87,48,49,75,114,52,51,101,52,52,89,101,53,43,45,64,78,49,72,61,76,66,39,54,72,64,95,49,92,58,40,24,47,39,57,58,32,45,63,49,49,71,40,39,71,54,35,40,43,27,49,79,36,24,40,28,33,87,54,105,94,63,67,61,53,45,42,62,103,64,64,82,57,77,85,51,41,92,103,122,72,76,81,85,44,72,45,91,119,134,95,65,27,80,28,48,50,45,58,49,51,48,43,150,156,129,143,168,179,150,111,164,171,196,101,71.50970873786407,64.5
Bacteroides,1,0,0,2,2,151,0,43,665,7,1181,113,107,144,80,33,60,67,31,92,71,13,113,55,90,77,170,106,109,100,97,156,47,16,24,82,27,28,22,20,39,189,118,33,141,121,138,20,81,60,31,133,88,47,74,116,44,84,25,102,135,143,102,170,55,164,93,97,98,156,195,134,75,81,80,97,118,99,114,60,115,80,31,6,69,60,35,42,71,87,75,99,58,49,35,12,72,42,133,57,59,56,42,72,54,91,75,102,64,59,137,44,75,21,89,22,65,43,131,98,87,41,28,43,80,83,116,42,42,24,41,37,37,36,57,57,44,67,48,58,65,64,74,77,28,51,82,73,80,26,28,56,60,9,33,46,30,39,17,34,42,57,51,13,47,44,72,27,29,60,53,76,89,48,64,46,54,65,71,25,43,80,84,71,34,78,82,104,113,83,45,59,85,124,92,61,96,57,44,49,74,35,44,58,55,121,76.3252427184466,60.5
Eubacterium,0,0,0,1,0,102,0,2,0,2,14,27,56,28,99,17,23,17,16,6,20,54,27,7,56,28,22,59,12,43,11,33,55,165,19,76,133,73,38,54,26,68,20,18,82,39,64,10,23,29,40,71,31,31,45,30,26,85,20,16,25,25,104,71,20,70,17,34,8,24,63,49,24,23,44,47,30,42,95,14,61,26,33,43,57,54,24,72,33,145,110,34,21,61,49,88,125,44,28,120,25,33,33,47,41,94,139,89,63,56,78,64,49,46,41,68,20,37,48,80,78,23,33,27,67,30,63,181,373,198,498,131,164,681,45,38,38,99,47,64,83,57,80,151,66,76,29,84,372,75,125,132,240,68,62,65,49,33,47,96,35,2,100,10,28,50,42,17,38,28,27,47,153,82,50,56,45,58,65,53,78,110,73,187,100,112,112,38,131,109,311,568,75,190,111,36,8,51,29,119,158,104,123,183,183,552,73.2135922330097,49.0
