Genus,8,9,10,13,15,17,20,21,22,23,24,27,28,29,30,31,34,35,36,38,41,42,43,44,49,51,52,56,57,58,59,63,69,70,72,73,77,79,83,86,90,97,104,111,125,133,139,147,153,161,167,175,181,188,195,203,210,216,223,231,238,244,252,259,267,274,279,287,294,303,308,315,322,329,338,346,352,356,363,371,377,386,393,398,407,414,422,429,436,457,462,469,476,483,489,496,503,511,518,520,524,531,541,546,555,559,566,573,576,580,587,594,598,603,608,615,619,624,629,633,638,640,643,646,650,652,654,657,660,666,671,674,679,682,686,689,692,695,699,702,705,708,710,714,717,721,724,730,735,738,742,744,749,752,756,759,765,770,773,777,780,784,787,791,795,799,801,807,812,818,822,827,832,839,842,848,850,854,856,862,869,874,877,880,886,892,898,904,910,917,920,926,932,938,944,947,953,959,964,mean,median
Lactobacillus,643,2021,59,1893,672,381,1139,1791,1133,1386,1614,647,315,2210,794,1807,327,1688,1875,1234,1028,1104,1432,2268,361,877,990,838,478,751,468,264,939,666,1034,801,820,878,1241,954,894,950,1584,618,776,451,455,110,907,1119,734,1301,836,979,1271,927,474,1256,737,1254,96,636,813,665,565,977,706,980,481,1158,1137,277,1183,299,1378,602,798,1177,822,353,352,962,821,1058,798,457,596,815,769,864,429,557,530,594,498,872,739,428,93,30,491,97,36,702,463,1369,404,246,806,1386,702,779,599,820,556,939,689,1392,1105,994,941,978,792,666,606,961,1063,689,773,560,538,510,462,1045,923,492,791,861,1033,1079,725,566,881,941,1132,1304,1268,1254,858,1104,1311,1330,1090,1292,949,1027,780,1639,1073,929,1242,860,566,931,1168,747,1005,405,886,677,1104,927,499,902,1193,706,1352,866,907,896,1155,752,1070,1175,1214,1047,1004,681,672,627,702,1565,500,945,1214,1108,672,319,492,871.1708542713568,860.0
Prevotella,0,0,71,1,52,210,130,158,122,107,148,456,505,105,331,118,233,524,341,648,887,347,635,181,861,703,740,794,1088,414,646,1002,441,582,776,482,758,813,594,286,890,836,299,881,822,744,513,713,536,798,692,417,447,474,335,407,466,411,303,451,367,722,320,499,363,294,377,374,577,319,329,396,362,459,414,645,651,464,536,624,973,734,856,625,856,685,822,695,700,657,671,516,775,1062,894,632,604,704,856,846,681,476,480,802,814,366,765,357,771,402,597,327,846,894,767,700,504,548,551,656,630,467,526,660,548,715,633,519,554,531,637,597,354,486,488,651,627,221,388,425,411,610,599,557,525,447,393,361,419,367,365,412,443,439,646,556,795,144,563,397,302,577,560,467,525,549,654,283,370,483,437,572,585,320,357,475,256,578,256,642,501,314,549,663,594,413,615,647,545,551,577,449,711,391,436,373,357,669,558,525.3819095477387,526.0
Barnesiella,0,0,18,0,227,251,54,94,102,87,104,366,313,37,166,75,68,257,175,255,271,183,266,108,336,269,247,210,254,226,256,474,152,202,238,157,258,195,149,141,176,266,119,282,183,298,130,220,284,218,235,91,72,174,143,199,195,113,122,237,215,194,214,244,282,130,125,196,221,234,116,166,170,190,113,229,190,181,284,271,204,202,240,209,270,307,215,264,254,233,203,284,280,230,266,246,230,263,355,316,182,197,184,208,244,168,186,106,241,161,239,200,191,180,297,216,134,183,212,164,233,215,210,252,196,253,192,211,288,313,314,296,293,269,265,256,372,247,210,281,274,291,301,290,254,255,295,314,285,329,321,233,326,320,285,336,287,138,280,260,317,215,294,316,253,316,185,304,239,244,256,208,290,221,244,318,217,258,171,196,190,230,229,214,231,227,291,291,200,273,310,205,366,204,312,276,225,220,265,224.0603015075377,230.0
Clostridium,1,0,17,99,453,218,422,148,424,287,202,162,396,76,608,95,561,36,62,82,80,638,92,93,342,120,172,223,99,465,156,120,510,461,88,404,119,118,150,365,112,159,352,297,244,148,947,600,202,91,128,274,263,258,121,99,439,154,616,91,347,216,169,162,194,140,284,155,329,163,196,619,149,352,224,345,78,137,177,399,359,143,96,70,128,403,372,121,191,229,582,104,207,123,149,197,457,127,483,498,458,756,1021,150,484,357,685,1212,355,185,386,406,310,150,232,140,792,52,132,151,195,343,277,178,504,78,94,572,337,283,191,387,648,184,281,432,101,559,387,280,565,471,191,143,164,120,85,144,381,208,76,48,133,136,168,230,147,320,106,220,273,489,441,130,188,247,85,649,133,293,141,156,316,220,189,64,153,121,326,165,186,568,78,114,67,375,95,398,518,376,95,81,120,403,100,207,358,458,333,266.9497487437186,196.0
Parabacteroides,0,0,8,0,12,68,49,45,104,43,59,244,260,58,156,63,48,151,114,164,170,93,138,62,203,223,126,150,341,157,217,216,219,247,152,162,129,200,207,132,185,216,199,219,216,229,163,241,98,171,170,144,134,186,89,98,256,100,171,140,173,227,174,214,170,180,224,147,217,154,58,226,170,256,164,161,258,160,265,174,178,226,274,209,199,246,217,237,173,203,205,159,271,239,313,288,188,269,285,270,295,174,220,294,251,190,200,118,215,107,233,222,227,163,280,230,118,159,186,113,194,158,148,284,228,251,233,216,214,192,200,212,224,183,204,173,190,107,182,156,130,187,137,183,117,185,169,152,187,186,128,202,303,183,154,159,216,87,251,170,139,105,243,211,148,135,151,199,172,144,141,226,234,121,184,250,120,155,106,234,154,191,276,210,98,120,216,224,179,250,274,183,250,200,220,181,256,210,179,179.67336683417085,183.0
Bacteroides,0,1,10,1,976,1197,257,63,183,54,44,199,167,20,58,62,34,68,22,115,131,77,76,26,178,253,191,88,65,45,344,76,69,66,150,84,104,122,85,142,60,91,35,47,45,92,48,172,68,68,145,71,101,56,94,175,81,113,69,125,287,192,110,169,71,92,135,104,146,46,34,85,217,159,111,64,259,68,135,119,206,173,153,306,258,131,149,150,127,153,49,226,111,165,181,86,94,237,176,125,193,62,43,193,97,50,148,42,78,164,56,79,62,75,104,183,44,183,73,317,105,79,93,121,100,135,188,83,88,44,190,132,52,110,103,108,230,46,121,118,98,156,202,167,122,152,346,238,168,203,377,151,225,110,157,78,160,81,183,79,106,143,117,217,192,253,227,231,310,217,222,206,101,56,134,146,86,123,49,91,121,103,171,90,69,237,128,64,223,156,376,98,79,62,77,102,127,158,111,136.89447236180905,111.0
Tannerella,0,0,19,0,134,74,104,295,185,244,98,219,195,36,129,65,206,80,68,74,81,50,82,29,94,86,79,55,79,70,117,145,34,35,54,52,74,38,60,22,70,122,97,81,57,83,69,83,95,57,61,35,22,47,63,56,72,56,52,72,95,85,76,80,115,67,62,117,83,87,88,62,32,79,53,138,130,97,114,60,71,69,109,81,95,106,100,96,73,34,72,131,94,65,101,76,112,79,108,85,39,41,54,86,87,71,101,46,90,97,102,161,70,75,139,134,81,63,108,96,122,89,201,142,95,100,82,75,85,137,88,64,91,93,92,111,94,38,44,79,56,40,45,78,81,44,56,105,111,140,110,115,123,88,84,112,83,42,108,139,73,47,111,83,66,97,90,85,98,105,82,78,184,205,134,167,64,87,142,125,92,87,80,112,139,124,124,168,86,125,130,65,178,102,72,55,103,92,94,90.26130653266331,85.0
Coprobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,18,8,4,5,3,11,5,30,4,10,11,22,51,47,33,77,83,20,31,62,128,317,101,161,314,174,346,128,425,96,392,495,245,404,91,232,436,216,652,406,587,619,363,500,430,277,597,52,143,288,183,175,220,250,169,337,215,16,70,62,33,72,95,121,137,134,190,427,234,104,154,220,120,259,20,100,2,0,33,140,78,46,2,0,15,6,335,123,172,197,127,16,18,21,115,3,81,30,69,98,111,23,44,113,185,255,280,230,206,109,86,92,38,324,108,109,149,61,76,121,172,134,64,21,106,43,22,154,17,12,79,97,45,82,22,120,115,28,109,173,60,52,60,20,172,168,144,90,171,197,126,226,138,127,137,97,93,206,204,18,0,1,6,48,47,28,22,39,71,65,90,32,9,33,29,117.39195979899498,81.0
Eubacterium,0,0,4,1,9,25,43,14,26,18,9,33,63,7,27,10,21,5,15,38,31,29,28,8,23,64,46,43,26,66,107,67,27,53,30,64,40,25,24,147,23,12,27,22,41,14,35,41,11,11,25,56,70,47,34,72,42,21,55,29,95,49,58,55,34,34,70,41,45,73,59,87,83,139,61,86,85,121,57,93,66,74,58,80,54,56,58,37,75,38,84,70,79,88,91,79,41,150,89,124,202,128,194,52,70,28,28,44,51,26,34,112,91,81,107,95,193,132,163,258,135,297,120,118,164,84,127,52,66,87,138,166,245,112,133,243,118,69,110,93,98,226,191,140,93,67,33,35,60,43,29,62,63,65,107,74,67,186,112,325,63,143,85,156,57,86,61,169,54,68,31,73,60,162,69,57,109,96,194,114,95,95,65,111,334,35,170,65,82,90,99,101,100,75,126,161,140,226,178,80.48743718592965,66.0
