Genus,1,2,3,8,9,10,13,15,17,20,21,22,23,24,27,28,29,30,31,34,35,36,38,41,42,43,44,49,51,52,56,57,58,59,63,69,70,72,73,77,79,83,86,90,97,104,111,125,133,139,147,153,161,167,175,181,188,195,203,210,216,223,231,238,244,252,259,267,274,279,287,294,303,308,315,322,329,338,346,352,356,363,371,377,386,393,398,407,414,422,429,436,441,450,457,462,469,476,483,489,496,503,511,518,520,524,531,541,546,555,559,566,573,576,580,587,594,598,603,608,615,619,624,629,633,638,640,643,646,650,652,654,657,660,666,671,674,679,682,686,689,692,695,699,702,705,708,710,714,717,721,724,730,735,738,742,744,749,752,756,759,765,770,773,777,780,784,787,791,795,799,801,807,812,818,822,827,832,839,842,mean,median
Lactobacillus,212,378,915,2025,2330,45,1840,70,611,843,1494,1902,1086,2155,2071,1702,1427,1913,1616,1018,1817,1588,846,1304,1550,1499,1119,546,365,647,1198,563,633,1058,645,1195,1302,1636,613,320,996,1225,2425,1298,814,706,2049,1006,46,490,425,693,550,661,1024,1369,504,898,704,764,685,1060,710,1415,947,694,1077,775,1437,629,469,466,1204,1350,315,888,1439,1391,547,759,1051,988,983,608,1765,625,1063,209,564,617,688,1015,768,1385,848,561,743,393,303,1101,1210,840,489,1320,606,957,698,490,630,675,861,238,721,570,694,568,765,435,378,1015,863,885,390,1199,622,1155,813,794,910,1014,700,854,628,816,912,1120,862,505,594,828,667,845,947,628,471,1118,77,809,1137,349,446,1003,851,724,847,1107,805,437,727,410,681,552,709,408,987,600,675,357,589,616,647,397,1336,770,1200,574,694,1218,1194,635,884.15,799.5
Prevotella,0,0,8,1,1,4,177,15,108,92,59,42,43,51,159,271,317,228,404,75,541,617,462,687,479,542,602,548,601,625,630,667,552,538,570,655,597,163,876,523,809,668,43,611,587,552,163,529,395,577,383,606,382,410,448,218,412,342,456,511,390,596,335,283,532,207,252,282,142,138,405,545,216,150,513,462,264,531,378,377,551,441,611,327,323,385,358,663,765,542,566,526,548,234,586,538,650,523,504,336,458,633,822,567,375,609,751,604,363,451,294,323,480,641,393,429,603,363,366,600,297,484,370,518,578,464,445,513,388,628,561,495,710,509,632,642,672,497,584,465,569,431,295,594,552,486,556,483,373,513,463,338,420,647,382,651,564,488,470,737,425,389,293,368,400,468,513,490,367,460,383,376,390,575,389,558,656,463,372,349,438.22222222222223,463.5
Clostridium,0,1,9,116,100,432,87,1762,242,588,356,205,737,206,71,104,71,100,117,441,31,46,262,58,120,51,214,594,601,518,138,349,585,207,496,95,66,210,127,716,199,110,169,136,267,586,149,192,1034,480,478,156,508,563,306,265,591,146,184,173,399,143,475,103,103,568,286,517,186,712,162,144,195,162,314,161,108,80,337,83,71,427,150,592,119,96,208,311,132,251,289,143,130,264,255,290,111,320,301,163,122,104,125,235,921,260,143,495,478,403,407,441,258,167,147,364,345,967,908,130,779,292,798,147,300,127,235,166,418,111,318,216,311,465,200,152,251,442,309,248,262,239,439,424,514,279,537,320,134,328,112,353,375,232,590,183,72,660,553,538,371,654,104,518,327,399,348,556,397,495,319,447,107,167,215,89,137,128,160,425,305.52222222222224,251.0
Barnesiella,0,0,5,1,2,3,26,73,76,54,33,28,19,22,91,101,185,197,197,44,118,111,217,229,166,198,242,225,216,106,210,205,248,343,224,123,193,35,250,226,142,128,19,126,310,205,40,226,163,237,123,230,194,163,198,72,151,270,130,214,128,229,179,153,151,136,199,190,136,150,193,254,183,129,244,187,171,215,163,166,185,168,347,155,100,216,250,218,211,271,155,195,248,141,189,201,283,202,192,233,228,253,318,183,105,224,252,283,247,270,287,250,325,355,419,348,168,103,105,275,167,232,231,304,348,224,219,283,188,217,201,216,211,231,220,253,239,278,320,253,236,267,180,202,202,203,258,280,248,190,234,258,229,219,172,222,289,198,249,302,195,194,209,179,251,242,254,232,280,258,218,249,220,240,295,352,303,263,272,190,197.03333333333333,209.5
Parabacteroides,0,1,2,4,0,0,14,11,88,37,71,47,23,54,143,151,204,72,112,39,138,207,194,170,161,183,222,213,214,209,174,381,197,187,215,317,208,148,192,163,138,209,48,195,239,323,93,187,238,188,173,140,195,159,211,159,216,127,129,247,177,149,139,98,203,180,165,219,76,161,169,256,166,161,177,178,163,227,165,117,229,182,69,138,167,108,207,161,294,208,154,206,274,107,234,239,226,227,270,128,114,277,256,171,168,168,169,152,118,123,66,98,136,121,132,178,236,164,176,269,193,253,226,204,265,140,167,200,156,226,200,176,245,189,245,228,176,200,231,218,240,207,152,182,187,188,249,237,139,202,184,123,220,239,169,129,251,257,155,230,125,210,126,170,147,211,221,142,124,111,150,120,183,56,46,177,169,154,195,163,168.46666666666667,173.5
Coprobacter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,2,1,1,4,2,5,7,20,1,7,3,6,14,1,3,3,5,19,35,31,36,9,26,43,31,22,74,59,81,97,171,92,54,69,80,97,227,154,179,101,201,144,135,126,67,98,214,283,139,716,537,329,298,409,326,200,100,277,243,200,116,125,119,86,240,187,267,189,311,256,325,250,170,172,223,161,311,321,291,200,182,198,84,49,74,155,105,123,97,217,180,253,196,272,249,95,48,57,136,63,41,78,139,139,271,289,295,201,149,215,176,140,125,117,114,159,147,207,135,188,167,227,129,129,140,230,197,297,289,308,136,195,152,102,143,172,106,72,170,116,104,163,115,129,287,307,245,237,130,213,259,171,149,114,152,130,113,62,5,133.12777777777777,127.5
Bacteroides,0,0,4,7,1,1,7,240,1052,560,290,161,249,108,137,171,267,65,107,75,83,103,218,173,107,152,164,86,163,152,22,28,63,11,57,42,24,53,174,104,178,166,20,122,119,51,53,136,90,236,99,198,124,112,137,58,135,65,208,200,86,85,113,88,308,161,170,68,119,59,147,106,50,45,131,70,77,32,80,67,134,34,81,70,77,65,97,59,45,118,109,62,121,51,86,90,153,75,106,112,77,130,139,87,73,119,132,107,77,84,102,183,99,193,91,78,153,109,127,84,57,169,49,124,127,83,38,100,87,126,84,61,98,85,153,74,87,66,66,108,104,156,44,156,165,56,99,95,54,91,112,46,47,117,77,66,56,81,67,61,61,69,97,94,51,60,44,77,50,81,93,51,72,93,64,41,128,126,136,429,108.6,90.0
Tannerella,0,0,3,15,0,1,76,22,127,63,69,118,66,26,82,126,130,134,119,73,56,31,47,59,50,77,73,101,84,56,85,120,66,65,105,65,48,15,34,47,53,44,16,83,100,90,38,51,63,92,57,89,70,67,74,58,58,80,27,69,42,30,53,68,55,31,33,63,31,51,57,158,96,50,75,68,43,73,73,66,82,62,61,16,45,111,53,51,135,77,49,66,55,45,35,53,98,67,61,85,83,70,108,57,48,65,67,45,32,53,66,23,56,70,65,67,84,34,33,74,33,58,74,45,74,49,68,81,41,83,71,95,90,108,67,78,81,59,115,57,57,57,63,42,53,35,129,62,71,92,84,55,44,66,43,85,106,88,78,76,101,68,127,109,73,82,90,95,104,66,118,101,58,67,61,95,115,110,130,120,67.99444444444444,66.0
Eubacterium,0,0,2,0,0,3,11,95,9,36,26,19,47,13,6,14,17,4,11,66,16,38,39,57,17,33,38,15,45,30,44,122,119,26,99,47,26,73,79,102,43,29,13,16,25,21,18,22,64,89,78,52,14,46,24,24,34,19,43,63,45,29,18,18,26,52,44,24,41,65,28,29,37,61,35,53,35,14,27,13,24,40,65,60,32,439,50,93,115,46,39,131,61,63,81,97,74,109,87,100,36,97,160,50,97,129,105,130,101,127,110,147,123,72,54,97,65,100,75,41,56,60,79,32,60,193,371,179,233,160,236,419,139,65,60,46,60,177,109,129,170,158,160,80,156,124,217,67,136,262,233,108,98,68,98,58,226,132,92,49,174,63,90,73,46,62,33,69,74,94,56,107,32,98,65,64,174,57,36,50,75.93888888888888,60.0
