Genus,0,1,3,6,8,9,10,13,14,15,17,20,21,22,23,24,27,28,29,30,31,34,35,36,38,41,42,43,44,49,51,52,56,57,58,59,63,69,70,72,73,77,79,83,86,90,97,104,111,125,133,139,147,153,161,167,175,181,188,195,203,210,216,223,231,238,244,252,259,267,274,279,287,294,303,308,315,322,329,338,346,352,356,363,371,377,386,393,398,407,414,422,429,436,441,450,457,462,469,476,483,489,496,503,511,520,524,mean,median
Lactobacillus,1,0,370,1307,1921,176,2009,24,2497,140,874,804,137,1102,1232,856,1104,1107,1458,1333,1160,940,1095,1493,1679,1339,1176,1261,1433,351,1017,616,957,222,1376,586,470,447,1239,362,609,1287,1025,1456,1182,699,1282,445,993,1343,909,1578,629,1184,416,661,449,958,849,1279,1215,847,1732,980,859,845,300,253,442,2400,1019,936,860,1771,1517,1042,918,710,930,891,986,487,1194,1413,1102,925,1344,714,741,882,924,812,628,1384,784,634,868,1783,761,722,517,796,1115,919,617,395,155,943.6728971962617,924.0
Prevotella,0,0,0,0,1,122,0,9,29,308,34,36,81,156,441,202,324,740,429,478,495,105,134,55,152,148,253,146,155,343,371,781,541,317,475,480,500,615,586,421,343,565,413,370,448,349,458,483,621,224,584,290,682,222,609,706,682,577,407,760,832,970,281,753,849,845,947,809,291,20,767,682,859,211,312,809,623,474,455,850,704,473,591,255,384,276,325,377,307,649,757,276,271,139,294,308,429,30,722,505,561,544,407,722,608,934,663,424.3551401869159,421.0
Clostridium,1,4,0,1,7,231,2,216,187,1203,237,481,900,602,299,770,443,94,86,60,168,645,211,354,133,313,138,422,413,1209,476,191,107,1299,207,839,658,550,160,796,824,164,135,163,194,564,153,485,118,153,119,74,86,175,396,105,324,166,370,79,73,246,222,57,97,124,412,273,1164,94,80,333,135,170,125,74,120,692,660,175,142,384,154,150,92,536,196,462,473,201,129,114,458,126,236,516,118,99,122,388,728,264,274,143,249,179,711,307.7570093457944,194.0
Parabacteroides,1,0,0,0,0,23,0,1,2,97,13,77,85,77,176,112,104,208,153,218,219,53,81,66,170,157,203,145,127,121,191,271,161,180,130,236,304,270,274,177,140,130,237,174,210,171,167,216,255,71,135,97,239,130,233,253,239,281,195,221,169,218,162,298,120,262,344,170,199,5,211,199,217,117,93,201,158,202,155,222,223,206,184,64,140,168,189,245,174,221,214,230,254,99,126,215,133,16,228,190,264,180,104,218,221,271,161,162.02803738317758,174.0
Barnesiella,0,1,0,0,1,50,0,4,0,30,10,18,8,80,194,158,142,254,202,225,266,25,21,17,125,147,210,122,107,165,213,345,355,121,204,169,274,274,220,194,124,184,230,189,215,93,160,143,253,122,232,199,325,176,270,259,258,142,164,115,286,171,74,243,261,311,284,315,146,4,89,140,146,59,132,239,199,142,111,159,172,266,202,153,206,130,134,168,197,209,244,231,200,158,156,152,236,17,365,197,183,215,192,173,150,260,303,164.33644859813083,169.0
Bacteroides,0,4,0,0,1,75,75,23,12,676,202,713,410,182,178,141,191,152,208,195,154,243,434,250,207,279,392,285,161,129,147,149,216,52,56,25,60,54,20,40,42,61,29,44,54,60,42,134,136,43,92,95,115,93,92,117,82,189,79,47,59,61,56,148,244,106,149,80,30,11,109,36,60,67,134,141,134,79,60,114,186,81,95,49,107,77,123,72,49,180,109,99,32,36,73,52,114,7,121,78,65,166,79,198,255,90,165,122.17757009345794,92.0
Tannerella,0,0,0,0,0,22,0,10,3,70,13,52,68,154,61,45,41,56,54,83,70,66,142,59,76,62,70,69,65,61,46,121,84,41,54,59,70,52,66,68,35,67,120,57,105,40,59,69,52,38,64,69,113,81,75,111,74,38,76,40,65,56,34,54,72,100,89,36,39,3,42,94,71,41,40,53,92,74,46,56,53,62,58,49,76,44,34,49,84,62,103,63,82,70,78,54,72,10,86,69,60,24,66,49,41,70,21,58.52336448598131,60.0
Coprobacter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,8,7,4,3,0,0,0,0,0,1,0,0,4,2,3,6,7,5,4,5,9,9,23,16,38,364,323,259,142,334,175,181,402,362,211,187,228,255,265,180,143,128,136,47,101,15,93,127,29,29,213,61,3,92,109,185,11,29,31,72,12,10,49,122,213,134,339,342,145,191,206,346,75,56,557,316,545,468,210,501,85,272,290,150,361,264,232,360,200,5,119.08411214953271,49.0
Peptococcus,0,1,0,0,0,32,0,0,0,0,0,4,31,11,38,56,94,18,40,45,45,3,7,6,10,6,22,35,36,14,32,44,42,30,54,44,73,63,38,53,52,44,33,38,43,222,42,167,91,65,60,40,61,56,32,70,79,93,127,11,4,4,76,17,1,6,1,102,51,4,25,23,40,68,53,51,62,46,44,73,45,94,21,67,120,70,86,76,45,97,54,125,80,31,80,95,88,8,4,35,40,67,38,34,47,164,54,46.4392523364486,42.0
