,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,5.0,2.0,6.0,6.0,2.0,0.0,0.0,1.0,2.75,2.5495097567963922
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.75,0.8864052604279183
21,21,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,1.6035674514745464
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,1.4142135623730951
24,24,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.875,0.9910312089651149
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,3.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,1.375,1.8468119248354136
28,28,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.7559289460184544
29,29,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.125,1.4577379737113252
30,30,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.125,2.100170061141308
31,31,2.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,1.5,1.6903085094570331
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,6.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.5,2.0701966780270626
35,35,11.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.7416573867739413
36,36,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6903085094570331
37,37,,,,,,,,,,
38,38,9.0,4.0,5.0,0.0,0.0,0.0,6.0,4.0,3.5,3.295017884191656
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.75,1.164964745021435
42,42,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.125,1.246423454758225
43,43,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.7525491637693282
44,44,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0350983390135313
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,0.0,2.0,7.0,1.0,0.0,0.0,4.0,1.875,2.4748737341529163
50,50,,,,,,,,,,
51,51,5.0,0.0,3.0,4.0,14.0,0.0,0.0,1.0,3.375,4.718883039751796
52,52,3.0,1.0,3.0,6.0,6.0,1.0,3.0,2.0,3.125,1.9594095320493148
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,4.0,0.0,2.0,17.0,0.0,1.0,3.0,1.0,3.5,5.631543812693436
57,57,13.0,0.0,0.0,9.0,0.0,4.0,5.0,2.0,4.125,4.764076885549662
58,58,2.0,0.0,0.0,4.0,0.0,1.0,0.0,7.0,1.75,2.5495097567963922
59,59,4.0,0.0,0.0,1.0,3.0,0.0,3.0,6.0,2.125,2.2320714274285347
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,4.0,1.0,0.0,2.0,0.0,4.0,2.0,8.0,2.625,2.669269563007828
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,5.0,0.0,3.0,8.0,1.0,4.0,0.0,2.0,2.875,2.748376143938713
70,70,48.0,13.0,1.0,11.0,6.0,4.0,1.0,1.0,10.625,15.792742456132002
71,71,,,,,,,,,,
72,72,2.0,6.0,2.0,8.0,4.0,1.0,4.0,0.0,3.375,2.669269563007828
73,73,0.0,3.0,1.0,13.0,5.0,2.0,2.0,1.0,3.375,4.172614801981401
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,2.0,13.0,1.0,7.0,1.0,7.0,3.0,4.25,4.432026302139591
78,78,,,,,,,,,,
79,79,0.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.125,1.1259916264596033
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,1.0,0.0,2.0,3.0,2.0,0.0,5.0,1.625,1.7677669529663689
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,1.0,10.0,6.0,0.0,1.0,0.0,4.0,2.75,3.654742515847438
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,1.0,0.0,0.0,2.0,4.0,9.0,5.0,1.0,2.75,3.1052950170405937
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,3.0,0.0,6.0,3.0,5.0,3.0,0.0,0.0,2.5,2.32992949004287
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,1.25,1.6690459207925603
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,7.0,2.0,2.0,1.0,2.0,5.0,1.0,3.0,2.875,2.100170061141308
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,0.0,1.0,0.0,4.0,8.0,3.0,3.0,2.375,2.774243783705493
126,126,,,,,,,,,,
127,127,,,,,,,,,,
