,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,1.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
30,30,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.7071067811865476
31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4629100498862757
35,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
36,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
37,37,,,,,,,,,,
38,38,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,3.181980515339464
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
50,50,,,,,,,,,,
51,51,1.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.375,2.7222627143085005
52,52,0.0,0.0,17.0,4.0,0.0,1.0,0.0,4.0,3.25,5.8248237251071755
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,6.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,2.5,3.625307868699863
57,57,7.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,2.6726124191242437
58,58,24.0,1.0,2.0,0.0,7.0,0.0,1.0,2.0,4.625,8.14050717970675
59,59,6.0,0.0,5.0,5.0,1.0,0.0,8.0,11.0,4.5,3.9641248358604595
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,1.0,0.0,4.0,0.0,0.0,1.0,6.0,20.0,4.0,6.824326235712107
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.0,3.25,7.3045973781682765
70,70,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.25,1.5811388300841898
71,71,,,,,,,,,,
72,72,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.75,1.3887301496588271
73,73,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.875,0.9910312089651149
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,0.0,7.0,1.0,1.0,7.0,1.0,1.0,2.25,2.9640705601780613
78,78,,,,,,,,,,
79,79,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.75,1.0350983390135313
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,0.0,3.0,1.0,6.0,0.0,2.0,0.0,1.5,2.138089935299395
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,10.0,12.0,0.0,2.0,2.0,6.0,4.0,4.780914437337574
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,3.0,0.0,11.0,2.0,0.0,17.0,6.0,4.0,5.375,5.902481318419036
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,10.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,3.0,5.0142653642240695
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,1.0,0.0,0.0,1.0,0.0,22.0,2.0,0.0,3.25,7.611082145698562
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.875,1.3562026818605375
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,0.0,4.0,2.0,0.0,15.0,1.0,2.0,3.0,5.0426750270636544
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
