,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.625,3.020761493398643
16,16,,,,,,,,,,
17,17,71.0,1.0,26.0,45.0,94.0,0.0,41.0,6.0,35.5,34.2553436915844
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,3.0,13.0,3.0,11.0,2.0,29.0,22.0,32.0,14.375,11.99925592931257
21,21,9.0,12.0,4.0,3.0,4.0,11.0,6.0,17.0,8.25,4.891683905218266
22,22,4.0,11.0,11.0,2.0,4.0,1.0,7.0,11.0,6.375,4.2067123233504535
23,23,0.0,4.0,2.0,2.0,3.0,1.0,2.0,5.0,2.375,1.5979898086569353
24,24,1.0,8.0,0.0,2.0,0.0,6.0,2.0,3.0,2.75,2.866057521105554
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,8.0,2.0,2.0,9.0,2.0,0.0,1.0,2.0,3.25,3.3273756282434617
28,28,11.0,4.0,8.0,0.0,1.0,1.0,1.0,0.0,3.25,4.131758532565592
29,29,4.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,1.5118578920369088
30,30,7.0,0.0,0.0,4.0,2.0,5.0,1.0,1.0,2.5,2.5634797778466227
31,31,13.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,2.875,4.38951673226759
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,1.0,1.0,0.0,0.0,0.0,21.0,1.0,1.0,3.125,7.239524451627626
35,35,5.0,1.0,1.0,3.0,0.0,8.0,3.0,3.0,3.0,2.5634797778466227
36,36,3.0,2.0,3.0,1.0,1.0,11.0,0.0,4.0,3.125,3.440826312717007
37,37,,,,,,,,,,
38,38,1.0,5.0,5.0,0.0,9.0,0.0,3.0,3.0,3.25,3.058944729337694
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,7.0,0.0,2.0,1.0,6.0,1.0,2.0,0.0,2.375,2.669269563007828
42,42,1.0,1.0,1.0,1.0,3.0,11.0,3.0,2.0,2.875,3.399054490379851
43,43,2.0,2.0,4.0,2.0,5.0,5.0,7.0,5.0,4.0,1.8516401995451028
44,44,5.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,1.875,2.416461403433896
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,8.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.75,2.6049403612586386
50,50,,,,,,,,,,
51,51,3.0,5.0,1.0,3.0,3.0,3.0,1.0,1.0,2.5,1.4142135623730951
52,52,5.0,2.0,0.0,3.0,1.0,0.0,7.0,1.0,2.375,2.5035688811888406
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,2.0,1.0,0.0,3.0,1.0,4.0,0.0,1.0,1.5,1.4142135623730951
57,57,3.0,0.0,4.0,2.0,3.0,0.0,3.0,3.0,2.25,1.4880476182856899
58,58,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,1.125,1.6420805617960927
59,59,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.625,0.5175491695067657
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,2.0,0.0,2.0,0.0,7.0,2.0,1.0,2.0,2.0,2.2038926600773587
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,3.0,0.0,3.0,6.0,5.0,4.0,3.0,1.0,3.125,1.9594095320493148
70,70,2.0,3.0,6.0,10.0,1.0,2.0,3.0,4.0,3.875,2.9001231500945415
71,71,,,,,,,,,,
72,72,2.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,1.5,1.7728105208558367
73,73,3.0,1.0,4.0,3.0,9.0,0.0,1.0,8.0,3.625,3.2923070504261465
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,2.0,1.0,10.0,4.0,2.0,0.0,6.0,0.0,3.125,3.440826312717007
78,78,,,,,,,,,,
79,79,3.0,2.0,2.0,4.0,3.0,2.0,19.0,7.0,5.25,5.800246300189083
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,3.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,1.625,1.3024701806293193
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.125,1.1259916264596033
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.875,0.8345229603962802
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,6.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.5,2.138089935299395
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.875,1.1259916264596033
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.75,0.8864052604279183
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.625,0.7440238091428449
