,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,10.0,0.0,0.0,28.0,0.0,0.0,4.75,10.024968827881711
10,10,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.75,2.1213203435596424
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,5.0,0.0,0.0,12.0,2.8333333333333335,4.915960401250875
14,14,,1.0,2.0,,,0.0,8.0,18.0,5.8,7.496665925596525
15,15,20.0,6.0,0.0,28.0,2.0,0.0,28.0,2.0,10.75,12.46423454758225
16,16,,,,,,,,,,
17,17,34.0,43.0,18.0,38.0,9.0,6.0,27.0,45.0,27.5,15.090204959319994
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,15.0,29.0,21.0,33.0,46.0,45.0,90.0,133.0,51.5,40.19239444756397
21,21,20.0,21.0,12.0,25.0,50.0,78.0,199.0,69.0,59.25,61.49506368110254
22,22,14.0,20.0,37.0,65.0,68.0,2.0,209.0,18.0,54.125,66.96147613153614
23,23,28.0,22.0,149.0,117.0,130.0,5.0,70.0,27.0,68.5,56.28245095688607
24,24,78.0,36.0,33.0,108.0,23.0,53.0,72.0,122.0,65.625,36.027519243727326
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,190.0,72.0,125.0,53.0,14.0,31.0,76.0,56.0,77.125,56.31654793600698
28,28,86.0,52.0,67.0,81.0,16.0,6.0,58.0,56.0,52.75,28.48934637970582
29,29,33.0,76.0,64.0,13.0,20.0,38.0,118.0,24.0,48.25,35.55579116985425
30,30,66.0,7.0,27.0,63.0,7.0,33.0,7.0,90.0,37.5,31.937438845342623
31,31,54.0,16.0,6.0,141.0,15.0,24.0,5.0,73.0,41.75,46.75085942678335
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,18.0,19.0,0.0,0.0,4.0,205.0,2.0,9.0,32.125,70.25959517593105
35,35,49.0,8.0,82.0,10.0,9.0,87.0,18.0,39.0,37.75,32.47746471456345
36,36,49.0,8.0,51.0,15.0,24.0,64.0,18.0,11.0,30.0,21.40760879420479
37,37,,,,,,,,,,
38,38,35.0,40.0,89.0,23.0,160.0,20.0,35.0,33.0,54.375,47.71324314515386
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,84.0,32.0,57.0,15.0,25.0,10.0,19.0,5.0,30.875,26.829820828963538
42,42,10.0,19.0,20.0,50.0,60.0,54.0,34.0,24.0,33.875,18.62745669320272
43,43,16.0,66.0,57.0,15.0,39.0,16.0,48.0,34.0,36.375,19.776880441566107
44,44,77.0,5.0,14.0,1.0,30.0,6.0,26.0,15.0,21.75,24.50510150968569
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,20.0,40.0,30.0,29.0,64.0,17.0,42.0,9.0,31.375,17.303488500464706
50,50,,,,,,,,,,
51,51,26.0,20.0,5.0,5.0,50.0,17.0,26.0,0.0,18.625,16.10623215670612
52,52,12.0,28.0,10.0,15.0,52.0,23.0,80.0,1.0,27.625,26.13666007737025
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,18.0,3.0,7.0,63.0,9.0,5.0,10.0,3.0,14.75,20.090865017287264
57,57,10.0,17.0,14.0,37.0,56.0,40.0,49.0,14.0,29.625,17.991565484176984
58,58,21.0,51.0,9.0,31.0,10.0,4.0,2.0,3.0,16.375,17.18751623375857
59,59,15.0,11.0,3.0,9.0,11.0,12.0,29.0,6.0,12.0,7.801098823700598
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,79.0,24.0,41.0,18.0,113.0,35.0,24.0,32.0,45.75,33.10481190746402
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,30.0,1.0,98.0,49.0,48.0,37.0,32.0,19.0,39.25,28.383848525928563
70,70,36.0,77.0,113.0,75.0,17.0,13.0,19.0,30.0,47.5,36.426050332929904
71,71,,,,,,,,,,
72,72,15.0,5.0,42.0,17.0,77.0,38.0,3.0,27.0,28.0,24.325178020197214
73,73,5.0,9.0,21.0,60.0,48.0,3.0,14.0,14.0,21.75,20.93356839419132
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,9.0,14.0,37.0,12.0,60.0,8.0,102.0,14.0,32.0,33.513323576495026
78,78,,,,,,,,,,
79,79,4.0,8.0,35.0,51.0,50.0,18.0,25.0,98.0,36.125,30.516681620760426
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,66.0,63.0,18.0,34.0,23.0,4.0,1.0,54.0,32.875,25.69289785135184
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,7.0,31.0,19.0,57.0,8.0,9.0,20.0,92.0,30.375,29.875635079920418
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,36.0,23.0,18.0,15.0,34.0,72.0,15.0,31.0,30.5,18.738806182434814
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,28.0,13.0,21.0,27.0,13.0,7.0,12.0,6.0,15.875,8.492643875731515
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,26.0,46.0,2.0,7.0,26.0,31.0,44.0,33.0,26.875,15.715665523837762
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,52.0,15.0,21.0,27.0,39.0,16.0,35.0,19.0,28.0,13.038404810405298
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,6.0,10.0,9.0,38.0,39.0,1.0,17.0,15.0,16.875,14.237149594333431
126,126,,,,,,,,,,
