,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,1.0,0.0,1.0,5.0,0.0,18.0,4.166666666666667,7.026141662866374
14,14,,3.0,2.0,,,2.0,1.0,2.0,2.0,0.7071067811865476
15,15,8.0,4.0,0.0,6.0,23.0,24.0,4.0,26.0,11.875,10.588909292273685
16,16,,,,,,,,,,
17,17,9.0,3.0,2.0,3.0,1.0,17.0,0.0,0.0,4.375,5.853875395228117
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,34.0,27.0,13.0,188.0,235.0,86.0,59.0,39.0,85.125,81.98508139551105
21,21,5.0,29.0,0.0,13.0,95.0,227.0,149.0,0.0,64.75,84.72602905837142
22,22,1.0,1.0,6.0,22.0,43.0,13.0,41.0,0.0,15.875,17.74773627416023
23,23,3.0,0.0,46.0,31.0,168.0,36.0,10.0,0.0,36.75,55.93554964676502
24,24,6.0,0.0,0.0,39.0,62.0,118.0,7.0,0.0,29.0,42.503781344386624
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,11.0,36.0,6.0,0.0,2.0,103.0,5.0,0.0,20.375,35.39546984734467
28,28,8.0,91.0,1.0,0.0,9.0,0.0,3.0,21.0,16.625,30.858837585736392
29,29,0.0,74.0,0.0,0.0,5.0,7.0,1.0,1.0,11.0,25.590176686712088
30,30,0.0,4.0,0.0,0.0,7.0,9.0,1.0,4.0,3.125,3.48209706929603
31,31,0.0,1.0,0.0,0.0,14.0,10.0,5.0,0.0,3.75,5.4707011825333165
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,11.0,0.0,0.0,1.0,0.0,119.0,4.0,9.0,18.0,41.036569057366385
35,35,11.0,8.0,0.0,0.0,2.0,71.0,8.0,3.0,12.875,23.835372873106056
36,36,4.0,10.0,0.0,0.0,2.0,84.0,7.0,0.0,13.375,28.769713738086246
37,37,,,,,,,,,,
38,38,1.0,17.0,0.0,0.0,21.0,40.0,15.0,0.0,11.75,14.399900793309058
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,37.0,1.0,0.0,0.0,82.0,1.0,0.0,15.125,29.91625215258661
42,42,0.0,9.0,1.0,0.0,0.0,27.0,14.0,12.0,7.875,9.672309518856984
43,43,0.0,12.0,11.0,0.0,0.0,98.0,18.0,11.0,18.75,32.73595664010534
44,44,0.0,23.0,2.0,0.0,0.0,138.0,4.0,7.0,21.75,47.595768119205125
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,3.0,2.0,1.0,0.0,15.0,4.0,1.0,3.375,4.8678977568791
50,50,,,,,,,,,,
51,51,0.0,0.0,0.0,5.0,0.0,52.0,12.0,0.0,8.625,18.039143945479072
52,52,0.0,0.0,1.0,4.0,1.0,18.0,16.0,2.0,5.25,7.3824115301167
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,1.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,1.5,1.6903085094570331
57,57,5.0,0.0,5.0,0.0,0.0,18.0,4.0,3.0,4.375,5.926634795564849
58,58,17.0,13.0,1.0,8.0,0.0,11.0,3.0,9.0,7.75,6.017830648521585
59,59,3.0,0.0,1.0,0.0,1.0,37.0,11.0,1.0,6.75,12.747548783981962
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,8.125,22.980970388562795
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,47.0,0.0,3.0,12.0,2.0,0.0,8.0,16.27443218232645
70,70,0.0,10.0,31.0,0.0,2.0,11.0,0.0,1.0,6.875,10.749584709586292
71,71,,,,,,,,,,
72,72,0.0,4.0,6.0,2.0,12.0,87.0,5.0,0.0,14.5,29.548990797366617
73,73,0.0,38.0,1.0,2.0,2.0,107.0,1.0,4.0,19.375,37.637130223073214
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,0.0,1.0,0.0,34.0,8.0,6.0,0.0,6.125,11.691724790270621
78,78,,,,,,,,,,
79,79,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.75,1.7525491637693282
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.75,1.4880476182856899
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,2.0,17.0,0.0,0.0,0.0,1.0,0.0,2.5,5.903993805649092
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,0.0,6.0,0.0,1.0,0.0,6.0,4.0,2.125,2.748376143938713
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,1.0,1.0,25.0,3.0,12.0,0.0,1.0,0.0,5.375,8.863045268335902
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,6.0,1.0,4.0,0.0,13.0,0.0,6.0,6.0,4.5,4.342481186734475
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,7.708992893275452
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,0.0,2.0,0.0,4.0,0.0,10.0,0.0,2.125,3.48209706929603
126,126,,,,,,,,,,
