,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.375,0.7440238091428449
9,9,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,3.375,9.545941546018392
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.375,3.8890872965260113
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,5.0,13.74253043864713
30,30,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,0.7440238091428449
31,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,9.0,14.0,11.0,4.0,6.0,0.0,9.0,6.0,7.375,4.34042460069124
35,35,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.75,1.164964745021435
36,36,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.625,0.7440238091428449
37,37,,,,,,,,,,
38,38,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.7559289460184544
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.4629100498862757
42,42,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.75,1.3887301496588271
43,43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.7440238091428449
44,44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,0.4629100498862757
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,5.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,1.875,1.6420805617960927
50,50,,,,,,,,,,
51,51,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.75,0.8864052604279183
52,52,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.625,0.5175491695067657
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,2.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.1952286093343936
57,57,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5345224838248488
58,58,3.0,2.0,4.0,4.0,0.0,1.0,2.0,3.0,2.375,1.407885953173359
59,59,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.7728105208558367
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,2.0,1.1952286093343936
70,70,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0690449676496976
71,71,,,,,,,,,,
72,72,3.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.25,1.0350983390135313
73,73,4.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.25,1.7525491637693282
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0350983390135313
78,78,,,,,,,,,,
79,79,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.75,1.4880476182856899
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.625,0.9161253813129043
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.5,0.7559289460184544
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.625,0.7440238091428449
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,6.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,2.125,3.440826312717007
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,1.5,2.8284271247461903
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0690449676496976
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,0.0,0.0,0.0,1.0,18.0,1.0,2.0,2.875,6.151364540838538
126,126,,,,,,,,,,
127,127,,,,,,,,,,
