,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,1.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.375,1.0606601717798212
10,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,0.7071067811865476
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
16,16,,,,,,,,,,
17,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.75,1.0350983390135313
21,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,0.4629100498862757
22,22,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5345224838248488
23,23,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.125,2.2320714274285347
24,24,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.625,1.7677669529663689
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.625,0.9161253813129043
28,28,3.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,2.0,3.4226138716316967
29,29,1.0,0.0,1.0,0.0,6.0,9.0,1.0,0.0,2.25,3.370036032024414
30,30,1.0,1.0,1.0,2.0,2.0,6.0,0.0,1.0,1.75,1.8322507626258087
31,31,3.0,1.0,1.0,0.0,2.0,7.0,0.0,4.0,2.25,2.3754698783308417
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,4.0,1.0,6.0,2.0,1.0,0.0,5.0,11.0,3.75,3.615443067098218
35,35,16.0,8.0,2.0,3.0,0.0,0.0,7.0,2.0,4.75,5.4182232195751086
36,36,0.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,1.25,1.3887301496588271
37,37,,,,,,,,,,
38,38,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.7559289460184544
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,2.0,1.0,6.0,1.0,3.0,1.0,2.0,0.0,2.0,1.8516401995451028
42,42,3.0,0.0,11.0,5.0,1.0,3.0,2.0,2.0,3.375,3.420004177106889
43,43,21.0,0.0,2.0,3.0,3.0,0.0,6.0,3.0,4.75,6.840008354213778
44,44,12.0,0.0,6.0,1.0,2.0,1.0,6.0,2.0,3.75,4.026696625558687
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,18.0,0.0,16.0,14.0,11.0,16.0,24.0,20.0,14.875,7.160157619972981
50,50,,,,,,,,,,
51,51,31.0,2.0,18.0,13.0,10.0,5.0,17.0,10.0,13.25,9.00396737951824
52,52,27.0,0.0,25.0,12.0,6.0,16.0,14.0,20.0,15.0,9.149551120917666
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,57.0,0.0,17.0,24.0,48.0,29.0,19.0,22.0,27.0,18.015866023353652
57,57,38.0,0.0,28.0,29.0,36.0,14.0,34.0,42.0,27.625,14.01975646823337
58,58,47.0,24.0,42.0,44.0,41.0,22.0,35.0,41.0,37.0,9.289010404005062
59,59,42.0,1.0,49.0,23.0,54.0,30.0,50.0,42.0,36.375,17.687263375499494
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
