,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,1.0,0.0,,,0.0,,1.0,0.5,0.5773502691896257
1,1,0.0,,0.0,,0.0,1.0,0.0,16.0,2.8333333333333335,6.462713568360172
2,2,,0.0,0.0,,0.0,,0.0,1.0,0.2,0.44721359549995804
3,3,,1.0,0.0,,4.0,0.0,,,1.25,1.8929694486000912
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,1.625,3.0676887530703447
9,9,1.0,0.0,24.0,1.0,1.0,26.0,1.0,0.0,6.75,11.285262197093289
10,10,0.0,0.0,0.0,8.0,1.0,75.0,0.0,0.0,10.5,26.207959532499718
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,40.0,1.0,7.0,22.0,0.0,57.0,21.166666666666668,23.215655637234683
14,14,,507.0,319.0,,,7.0,6.0,803.0,328.4,340.76061979049166
15,15,780.0,149.0,4.0,929.0,230.0,438.0,379.0,124.0,379.125,326.78802106914156
16,16,,,,,,,,,,
17,17,989.0,526.0,711.0,1075.0,1051.0,129.0,564.0,1200.0,780.625,362.58553178132036
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,322.0,114.0,85.0,231.0,541.0,197.0,146.0,448.0,260.5,163.835283135227
21,21,432.0,112.0,94.0,56.0,215.0,213.0,153.0,250.0,190.625,118.28529373631244
22,22,127.0,107.0,99.0,161.0,95.0,9.0,106.0,213.0,114.625,58.431736728791975
23,23,125.0,74.0,55.0,48.0,197.0,30.0,121.0,119.0,96.125,54.79947210381814
24,24,55.0,320.0,33.0,40.0,68.0,17.0,72.0,19.0,78.0,99.92854590012949
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,149.0,64.0,56.0,183.0,39.0,15.0,45.0,93.0,80.5,57.94085654478071
28,28,216.0,73.0,61.0,136.0,24.0,36.0,72.0,81.0,87.375,61.81062668691017
29,29,80.0,50.0,24.0,18.0,57.0,21.0,140.0,21.0,51.375,42.115275477805305
30,30,14.0,79.0,62.0,32.0,2.0,40.0,75.0,28.0,41.5,28.132340311971408
31,31,44.0,222.0,53.0,49.0,11.0,33.0,9.0,34.0,56.875,68.65948587048989
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,24.0,43.0,5.0,26.0,3.0,105.0,16.0,40.0,32.75,32.59162907426209
35,35,39.0,199.0,45.0,57.0,16.0,316.0,22.0,81.0,96.875,105.88057625726935
36,36,10.0,14.0,40.0,7.0,15.0,155.0,12.0,12.0,33.125,50.29182694178903
37,37,,,,,,,,,,
38,38,22.0,37.0,24.0,27.0,56.0,119.0,19.0,18.0,40.25,34.18332927027442
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,31.0,15.0,22.0,36.0,54.0,197.0,13.0,12.0,47.5,62.05297276175758
42,42,11.0,2.0,29.0,9.0,17.0,250.0,9.0,16.0,42.875,84.06364510638014
43,43,27.0,40.0,22.0,19.0,50.0,108.0,24.0,16.0,38.25,30.3914931706696
44,44,27.0,14.0,5.0,6.0,44.0,45.0,17.0,17.0,21.875,15.569544446955225
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,88.0,127.0,29.0,39.0,63.0,36.0,47.0,31.0,57.5,34.267852490135915
50,50,,,,,,,,,,
51,51,35.0,113.0,12.0,18.0,59.0,33.0,23.0,18.0,38.875,33.369950126252384
52,52,86.0,83.0,7.0,24.0,24.0,32.0,25.0,10.0,36.375,30.821780332374423
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,22.0,56.0,10.0,27.0,9.0,29.0,2.0,12.0,20.875,17.041441085944413
57,57,38.0,112.0,7.0,40.0,18.0,12.0,21.0,34.0,35.25,33.29843411161723
