,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,1.0,0.0,,,0.0,,0.0,0.25,0.5
1,1,1.0,,0.0,,0.0,0.0,0.0,17.0,3.0,6.870225614927067
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,3.0,1.0,,0.0,0.0,,,1.0,1.4142135623730951
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.75,2.1213203435596424
9,9,0.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,2.625,4.8678977568791
10,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.5491933384829668
14,14,,0.0,346.0,,,5.0,1.0,0.0,70.4,154.07887590451847
15,15,23.0,3.0,3.0,46.0,6.0,237.0,283.0,1.0,75.25,115.67040614237877
16,16,,,,,,,,,,
17,17,169.0,676.0,448.0,119.0,0.0,69.0,706.0,6.0,274.125,293.3741820854141
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,40.0,40.0,5.0,22.0,2.0,501.0,38.0,11.0,82.375,169.87132735439155
21,21,41.0,44.0,5.0,4.0,6.0,131.0,30.0,2.0,32.875,43.281264504897
22,22,6.0,51.0,7.0,18.0,0.0,8.0,18.0,12.0,15.0,15.775206586829311
23,23,14.0,14.0,2.0,5.0,0.0,47.0,10.0,24.0,14.5,15.231546211727817
24,24,4.0,112.0,0.0,2.0,0.0,31.0,7.0,9.0,20.625,38.26948616624701
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,59.0,7.0,0.0,14.0,0.0,11.0,9.0,12.0,14.0,18.913336186783276
28,28,68.0,29.0,4.0,26.0,5.0,12.0,6.0,33.0,22.875,21.596544035695022
29,29,8.0,37.0,7.0,1.0,21.0,12.0,14.0,4.0,13.0,11.513966674062791
30,30,5.0,58.0,28.0,15.0,1.0,10.0,19.0,14.0,18.75,17.902513789968157
31,31,5.0,182.0,15.0,11.0,2.0,17.0,1.0,6.0,29.875,61.7424084402285
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,25.0,34.0,1.0,4.0,4.0,17.0,19.0,19.0,15.375,11.55035559131035
35,35,42.0,32.0,43.0,11.0,9.0,54.0,16.0,44.0,31.375,17.204131563585033
36,36,29.0,22.0,11.0,8.0,14.0,42.0,24.0,42.0,24.0,13.103979766249859
37,37,,,,,,,,,,
38,38,27.0,25.0,23.0,16.0,45.0,46.0,18.0,25.0,28.125,11.344444833107902
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,6.0,3.0,16.0,36.0,42.0,28.0,21.0,10.0,20.25,14.169887589028866
42,42,4.0,9.0,15.0,15.0,33.0,60.0,12.0,4.0,19.0,18.928436657202155
43,43,4.0,21.0,9.0,31.0,29.0,36.0,17.0,0.0,18.375,13.222680731012366
44,44,5.0,0.0,2.0,5.0,22.0,21.0,16.0,8.0,9.875,8.609587678861281
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,13.0,13.0,29.0,13.0,19.0,8.0,21.0,14.625,8.484229066753375
50,50,,,,,,,,,,
51,51,7.0,9.0,1.0,11.0,17.0,20.0,10.0,12.0,10.875,5.841660722773962
52,52,12.0,6.0,4.0,16.0,1.0,15.0,17.0,7.0,9.75,6.041522986797286
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,3.0,9.0,4.0,23.0,3.0,27.0,2.0,4.0,9.375,9.927415143357884
57,57,3.0,16.0,0.0,10.0,1.0,8.0,9.0,3.0,6.25,5.444525428617001
58,58,5.0,5.0,4.0,2.0,6.0,7.0,1.0,4.0,4.25,1.9820624179302297
59,59,15.0,24.0,12.0,43.0,1.0,6.0,4.0,10.0,14.375,13.595561250433382
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,3.0,20.0,2.0,32.0,5.0,12.0,6.0,1.0,10.125,10.842212478482951
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,7.0,2.0,1.0,4.0,6.0,8.0,0.0,4.0,4.0,2.878491668515698
70,70,12.0,10.0,0.0,9.0,6.0,2.0,1.0,4.0,5.5,4.47213595499958
71,71,,,,,,,,,,
72,72,7.0,31.0,3.0,31.0,2.0,10.0,0.0,11.0,11.875,12.403196592583935
73,73,12.0,11.0,0.0,9.0,42.0,7.0,4.0,13.0,12.25,12.781124475457661
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,4.0,19.0,14.0,7.0,8.0,15.0,5.0,20.0,11.5,6.301927142889365
78,78,,,,,,,,,,
79,79,15.0,7.0,5.0,3.0,4.0,1.0,11.0,4.0,6.25,4.621378891320518
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,4.0,7.0,3.0,6.0,16.0,2.0,69.0,6.0,14.125,22.585946958230465
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,1.0,2.0,4.0,2.0,6.0,4.0,5.0,9.0,4.125,2.5877458475338284
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,6.0,20.0,7.0,4.0,20.0,0.0,6.0,8.0,8.875,7.278883352351709
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,4.0,8.0,8.0,34.0,37.0,4.0,5.0,12.0,14.0,13.554124306434765
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,1.0,2.0,0.0,10.0,12.0,4.0,2.0,1.0,4.0,4.503966505838413
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
