,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,3.0,0.5,1.224744871391589
2,2,,0.0,1.0,,0.0,,1.0,0.0,0.4,0.5477225575051662
3,3,,1.0,0.0,,2.0,0.0,,,0.75,0.9574271077563381
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.375,0.5175491695067657
9,9,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,3.375,8.765802057671944
10,10,1.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,1.25,2.052872551885702
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,68.0,0.0,22.0,4.0,1.0,6.0,16.833333333333332,26.309060543217175
14,14,,8.0,257.0,,,0.0,10.0,149.0,84.8,114.51943066571715
15,15,112.0,1.0,1.0,191.0,71.0,28.0,174.0,7.0,73.125,77.82661590264055
16,16,,,,,,,,,,
17,17,195.0,53.0,269.0,176.0,40.0,9.0,254.0,57.0,131.625,103.52078811247802
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,8.0,8.0,24.0,22.0,25.0,18.0,29.0,68.0,25.25,18.903892267391466
21,21,15.0,3.0,6.0,39.0,12.0,8.0,48.0,63.0,24.25,22.57527092069677
22,22,5.0,18.0,16.0,58.0,18.0,40.0,51.0,44.0,31.25,19.337232775880096
23,23,16.0,11.0,22.0,65.0,13.0,64.0,21.0,53.0,33.125,23.369317491103587
24,24,24.0,27.0,18.0,97.0,10.0,95.0,11.0,26.0,38.5,36.059474681222326
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,95.0,46.0,62.0,125.0,38.0,48.0,6.0,93.0,64.125,38.07300318373337
28,28,99.0,60.0,67.0,92.0,26.0,81.0,60.0,88.0,71.625,23.585331397774702
29,29,17.0,73.0,29.0,17.0,48.0,85.0,73.0,18.0,45.0,28.610687313859284
30,30,34.0,105.0,140.0,41.0,54.0,89.0,142.0,32.0,79.625,45.92832148343454
31,31,34.0,136.0,122.0,25.0,87.0,115.0,72.0,22.0,76.625,45.75068305501023
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,61.0,51.0,17.0,12.0,9.0,23.0,47.0,37.0,32.125,19.591816804836803
35,35,99.0,158.0,43.0,64.0,15.0,19.0,77.0,124.0,74.875,50.35711752785584
36,36,136.0,183.0,46.0,41.0,40.0,15.0,123.0,84.0,83.5,58.571080138336434
37,37,,,,,,,,,,
38,38,110.0,141.0,35.0,69.0,116.0,38.0,71.0,103.0,85.375,38.18353235175005
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,118.0,17.0,92.0,81.0,71.0,64.0,78.0,81.0,75.25,28.584461313297975
42,42,86.0,30.0,89.0,83.0,65.0,105.0,67.0,79.0,75.5,22.309511104331392
43,43,129.0,62.0,67.0,86.0,70.0,63.0,74.0,45.0,74.5,24.894061253927326
44,44,104.0,56.0,78.0,30.0,81.0,53.0,84.0,80.0,70.75,23.044987059476266
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,164.0,89.0,85.0,167.0,89.0,79.0,147.0,120.0,117.5,37.1329657158857
50,50,,,,,,,,,,
51,51,132.0,123.0,72.0,117.0,91.0,93.0,116.0,90.0,104.25,20.589525769880456
52,52,110.0,57.0,120.0,101.0,44.0,124.0,111.0,126.0,99.125,31.28869033464237
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,222.0,80.0,90.0,96.0,106.0,150.0,80.0,83.0,113.375,49.5607491584102
57,57,160.0,82.0,97.0,134.0,139.0,53.0,142.0,127.0,116.75,35.991070321083015
