,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,1.0,0.0,0.0,0.0,0.0,16.0,2.8333333333333335,6.462713568360171
14,14,,7.0,0.0,,,0.0,0.0,2.0,1.8,3.0331501776206204
15,15,3.0,8.0,0.0,0.0,0.0,1.0,1.0,6.0,2.375,3.0676887530703447
16,16,,,,,,,,,,
17,17,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.407885953173359
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,4.0,1.0,4.0,2.0,7.0,6.0,2.0,1.0,3.375,2.2638462845343543
21,21,1.0,2.0,1.0,0.0,4.0,7.0,4.0,0.0,2.375,2.445841952609133
22,22,0.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,1.125,1.7268882005337975
23,23,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,1.375,2.445841952609133
24,24,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.375,3.50255009141299
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.875,1.4577379737113252
28,28,2.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,1.375,1.7677669529663689
29,29,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5345224838248488
30,30,3.0,0.0,0.0,14.0,0.0,0.0,2.0,9.0,3.5,5.237229365663817
31,31,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.125,1.1259916264596033
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,1.0,0.0,1.0,3.0,0.0,11.0,2.0,14.0,4.0,5.398412465054624
35,35,1.0,2.0,10.0,0.0,0.0,5.0,0.0,10.0,3.5,4.342481186734475
36,36,0.0,2.0,0.0,0.0,0.0,6.0,2.0,2.0,1.5,2.0701966780270626
37,37,,,,,,,,,,
38,38,1.0,0.0,9.0,0.0,0.0,1.0,3.0,1.0,1.875,3.044315545875155
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,6.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,2.0,2.390457218668787
42,42,0.0,1.0,1.0,4.0,0.0,8.0,1.0,2.0,2.125,2.6958963523950885
43,43,0.0,5.0,8.0,0.0,0.0,3.0,4.0,6.0,3.25,3.058944729337694
44,44,6.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.75,2.434865792722759
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,1.0,5.0,0.0,1.0,10.0,0.0,0.0,2.125,3.6030740843261686
50,50,,,,,,,,,,
51,51,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.5,0.7559289460184544
52,52,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,1.4142135623730951
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.75,1.3887301496588271
57,57,1.0,0.0,2.0,0.0,3.0,18.0,2.0,0.0,3.25,6.065122775815365
58,58,5.0,2.0,0.0,6.0,6.0,3.0,2.0,8.0,4.0,2.6726124191242437
59,59,1.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,1.625,1.0606601717798212
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,4.0,0.0,3.0,1.0,10.0,2.0,1.0,11.0,4.0,4.20883424647321
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,1.125,1.7268882005337975
70,70,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.25,0.8864052604279183
71,71,,,,,,,,,,
72,72,6.0,0.0,0.0,1.0,5.0,11.0,2.0,0.0,3.125,3.943801646707328
73,73,4.0,12.0,0.0,4.0,2.0,12.0,0.0,0.0,4.25,5.063877678504601
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,3.0,0.0,1.0,0.0,31.0,1.0,0.0,1.0,4.625,10.702970215252
78,78,,,,,,,,,,
79,79,0.0,0.0,5.0,0.0,3.0,0.0,2.0,12.0,2.75,4.166190448976482
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.125,1.6420805617960927
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.6035674514745464
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.9258200997725514
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,11.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,2.5,4.174754056057845
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,2.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,1.5,1.3093073414159542
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,4.0,0.0,14.0,5.0,0.0,0.0,0.0,6.0,3.625,4.897156609415596
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,2.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.125,1.1259916264596033
