,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,2.0,0.3333333333333333,0.816496580927726
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,2.5,5.631543812693436
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,2.0,3.0,0.0,4.0,1.5,1.760681686165901
14,14,,1.0,0.0,,,0.0,2.0,0.0,0.6,0.8944271909999159
15,15,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,1.375,1.8468119248354136
16,16,,,,,,,,,,
17,17,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.75,0.7071067811865476
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,1.0,12.0,2.0,2.0,0.0,1.0,2.0,3.0,2.875,3.7961446607992015
21,21,2.0,20.0,1.0,0.0,0.0,2.0,0.0,0.0,3.125,6.875162335745764
22,22,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.7728105208558367
23,23,0.0,5.0,1.0,0.0,2.0,3.0,1.0,4.0,2.0,1.8516401995451028
24,24,0.0,3.0,0.0,0.0,0.0,6.0,1.0,20.0,3.75,6.902380541730306
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.625,0.7440238091428449
28,28,1.0,4.0,1.0,2.0,0.0,0.0,0.0,12.0,2.5,4.0708019567928595
29,29,0.0,3.0,0.0,1.0,0.0,1.0,4.0,1.0,1.25,1.4880476182856899
30,30,1.0,1.0,0.0,7.0,0.0,0.0,0.0,13.0,2.75,4.77343841331532
31,31,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.625,0.9161253813129043
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.125,1.1259916264596033
35,35,1.0,2.0,9.0,0.0,0.0,1.0,0.0,2.0,1.875,2.997022331772464
36,36,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
37,37,,,,,,,,,,
38,38,0.0,4.0,6.0,1.0,1.0,0.0,5.0,0.0,2.125,2.4748737341529163
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,1.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,1.75,2.3754698783308417
42,42,0.0,1.0,0.0,4.0,0.0,1.0,0.0,4.0,1.25,1.7525491637693282
43,43,0.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,1.5,1.8516401995451028
44,44,5.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.5,1.7728105208558367
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,8.0,7.0,1.0,5.0,13.0,0.0,1.0,4.375,4.718883039751796
50,50,,,,,,,,,,
51,51,1.0,4.0,0.0,1.0,9.0,4.0,0.0,0.0,2.375,3.1594529363709247
52,52,2.0,5.0,1.0,1.0,6.0,2.0,3.0,0.0,2.5,2.0701966780270626
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.75,0.8864052604279183
57,57,2.0,15.0,1.0,0.0,1.0,9.0,1.0,0.0,3.625,5.44944295973713
58,58,1.0,1.0,0.0,4.0,9.0,0.0,2.0,8.0,3.125,3.563204817496262
59,59,0.0,4.0,2.0,2.0,2.0,8.0,5.0,2.0,3.125,2.4748737341529163
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,5.0,2.0,6.0,2.0,4.0,7.0,0.0,1.0,3.375,2.5035688811888406
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,2.0,2.0,17.0,0.0,1.0,1.0,0.0,3.0,5.707138387268051
70,70,0.0,0.0,4.0,5.0,0.0,4.0,1.0,0.0,1.75,2.187627547301936
71,71,,,,,,,,,,
72,72,9.0,1.0,1.0,1.0,2.0,13.0,1.0,0.0,3.5,4.780914437337574
73,73,0.0,2.0,0.0,5.0,2.0,8.0,0.0,0.0,2.125,2.948970764763288
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,1.5,3.070597894314954
78,78,,,,,,,,,,
79,79,1.0,0.0,3.0,0.0,1.0,1.0,0.0,15.0,2.625,5.097268175909804
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.105745103771404
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.375,0.5175491695067657
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,1.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,1.625,1.407885953173359
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,6.0,5.0,7.0,0.0,2.0,0.0,1.0,0.0,2.625,2.9246489410818914
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,3.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,1.75,2.3145502494313788
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,9.0,2.0,7.0,1.0,0.0,4.0,0.0,5.0,3.5,3.3380918415851206
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,1.75,3.8078865529319543
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,2.0,2.0,5.0,2.0,6.0,0.0,1.0,7.0,3.125,2.5319388392523003
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,9.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,2.25,3.1052950170405937
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,12.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,2.875,4.189698250300543
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,1.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,1.875,2.5319388392523003
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,6.0,5.0,11.0,0.0,16.0,1.0,3.0,4.0,5.75,5.338539126015656
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,0.0,30.0,0.0,1.0,6.0,0.0,0.0,3.0,5.0,10.323343865794095
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,15.0,23.0,4.0,5.0,5.0,5.0,12.0,0.0,8.625,7.501190381723233
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,1.0,40.0,0.0,2.0,1.0,1.0,2.0,3.0,6.25,13.666957023628715
