,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,1.0,0.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,1.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,1.125,1.3562026818605375
9,9,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.75,0.8864052604279183
10,10,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,1.0690449676496976
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.5163977794943223
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,1.7728105208558367
21,21,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.25,6.363961030678928
22,22,0.0,0.0,0.0,252.0,0.0,130.0,0.0,1.0,47.875,94.1646544243494
23,23,0.0,236.0,11.0,125.0,0.0,1.0,39.0,193.0,75.625,95.9612086805318
24,24,63.0,10.0,88.0,7.0,18.0,20.0,51.0,0.0,32.125,31.466251762801363
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,26.0,37.0,0.0,12.0,125.0,21.0,27.625,41.661690179005326
28,28,0.0,0.0,161.0,1.0,0.0,68.0,70.0,34.0,41.75,56.89275625495494
29,29,5.0,0.0,171.0,6.0,0.0,14.0,0.0,6.0,25.25,59.08045362046571
30,30,7.0,1.0,0.0,3.0,5.0,6.0,0.0,1.0,2.875,2.799872446074234
31,31,11.0,0.0,1.0,0.0,2.0,26.0,0.0,1.0,5.125,9.203066259211033
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,80.0,136.0,37.0,57.0,43.0,0.0,53.0,31.0,54.625,40.11033888805087
35,35,19.0,0.0,9.0,0.0,2.0,0.0,0.0,17.0,5.875,8.096516005577426
36,36,18.0,0.0,0.0,0.0,0.0,51.0,3.0,14.0,10.75,17.75025150727247
37,37,,,,,,,,,,
38,38,6.0,1.0,26.0,0.0,1.0,0.0,1.0,8.0,5.375,8.846912294289863
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,12.0,0.0,111.0,3.0,5.0,0.0,73.0,58.0,32.75,42.4457637125645
42,42,48.0,1.0,99.0,25.0,48.0,3.0,89.0,33.0,43.25,36.0347054934545
43,43,52.0,6.0,74.0,7.0,17.0,0.0,34.0,68.0,32.25,29.309920309878507
44,44,38.0,16.0,76.0,11.0,141.0,3.0,48.0,32.0,45.625,44.979161841901856
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,6.0,0.0,27.0,6.0,4.0,0.0,12.0,12.0,8.375,8.814557763803501
50,50,,,,,,,,,,
51,51,13.0,0.0,95.0,5.0,0.0,0.0,13.0,87.0,26.625,40.15305538988107
52,52,2.0,0.0,143.0,26.0,6.0,5.0,13.0,74.0,33.625,50.41240635285836
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,3.0,1.0,19.0,1.0,13.0,6.0,44.0,60.0,18.375,22.077380149956976
57,57,2.0,0.0,59.0,8.0,0.0,1.0,11.0,89.0,21.25,33.76282824984559
58,58,11.0,3.0,20.0,22.0,0.0,1.0,21.0,65.0,17.875,21.128433786859695
59,59,1.0,0.0,2.0,0.0,15.0,42.0,10.0,3.0,9.125,14.327171986922512
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,2.0,12.0,1.0,0.0,0.0,1.0,5.0,2.625,4.138236339311712
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.875,1.3562026818605375
70,70,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.625,0.7440238091428449
71,71,,,,,,,,,,
72,72,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.375,0.7440238091428449
73,73,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5,0.9258200997725514
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,0.0,16.0,29.0,0.0,2.0,27.0,14.0,11.0,12.294017127971522
78,78,,,,,,,,,,
79,79,0.0,0.0,11.0,9.0,2.0,16.0,303.0,7.0,43.5,105.00476179678711
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,4.0,18.0,10.0,7.0,46.0,336.0,10.0,53.875,114.8793621898331
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,7.0,13.0,7.0,11.0,3.0,9.0,9.0,7.375,4.2067123233504535
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,0.0,10.0,3.0,0.0,2.0,9.0,10.0,4.25,4.621378891320518
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,0.0,0.0,11.0,0.0,4.0,8.0,0.0,0.0,2.875,4.38951673226759
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,0.0,84.0,2.0,0.0,88.0,10.0,8.0,24.0,38.47076812334269
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,0.0,9.0,43.0,1.0,15.0,1.0,7.0,4.0,10.0,14.252819269985048
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,4.0,57.0,30.0,31.0,0.0,64.0,97.0,35.375,35.09146212806919
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
