,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.3535533905932738
9,9,0.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,1.5,2.5071326821120348
10,10,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,0.7559289460184544
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,2.0,0.0,1.0,1.0,0.0,5.0,1.5,1.8708286933869707
14,14,,3.0,1.0,,,0.0,4.0,6.0,2.8,2.387467277262665
15,15,1.0,2.0,1.0,4.0,3.0,0.0,3.0,7.0,2.625,2.1998376563477846
16,16,,,,,,,,,,
17,17,1.0,0.0,6.0,7.0,1.0,0.0,2.0,1.0,2.25,2.712405363721075
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,18.0,135.0,4.0,10.0,0.0,10.0,20.0,8.0,25.625,44.682810693023455
21,21,18.0,148.0,11.0,2.0,16.0,38.0,28.0,9.0,33.75,47.51766588784188
22,22,3.0,25.0,14.0,12.0,8.0,2.0,3.0,2.0,8.625,8.105333341166702
23,23,0.0,8.0,42.0,6.0,58.0,8.0,4.0,4.0,16.25,21.419283701508654
24,24,3.0,12.0,2.0,8.0,3.0,65.0,10.0,14.0,14.625,20.839094441526417
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,25.0,33.0,1.0,3.0,3.0,31.0,32.0,10.0,17.25,14.33028760552777
28,28,21.0,24.0,2.0,31.0,4.0,3.0,2.0,9.0,12.0,11.588171308956142
29,29,4.0,21.0,4.0,6.0,3.0,2.0,5.0,3.0,6.0,6.187545093630776
30,30,11.0,3.0,5.0,67.0,2.0,5.0,4.0,53.0,18.75,25.871937361881944
31,31,4.0,8.0,7.0,8.0,3.0,10.0,0.0,17.0,7.125,5.139135558215436
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,26.0,11.0,1.0,54.0,61.0,57.0,5.0,38.0,31.625,24.354157755915107
35,35,34.0,12.0,58.0,3.0,1.0,8.0,7.0,12.0,16.875,19.467463698621422
36,36,17.0,25.0,2.0,9.0,6.0,12.0,24.0,9.0,13.0,8.315218406202998
37,37,,,,,,,,,,
38,38,10.0,64.0,32.0,15.0,41.0,9.0,28.0,5.0,25.5,20.049937655763422
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,97.0,89.0,43.0,11.0,9.0,21.0,2.0,3.0,34.375,38.51136195981648
42,42,1.0,31.0,7.0,51.0,9.0,4.0,12.0,13.0,16.0,16.792855623746664
43,43,4.0,47.0,60.0,5.0,3.0,15.0,31.0,41.0,25.75,22.108498689094976
44,44,51.0,101.0,4.0,1.0,1.0,26.0,4.0,7.0,24.375,35.472071509045776
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,13.0,87.0,33.0,18.0,27.0,81.0,10.0,10.0,34.875,31.420818849018833
50,50,,,,,,,,,,
51,51,39.0,47.0,3.0,10.0,19.0,22.0,6.0,2.0,18.5,16.84382040139011
52,52,15.0,43.0,4.0,10.0,7.0,11.0,7.0,4.0,12.625,12.81670227253708
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,2.0,6.0,11.0,7.0,11.0,5.0,2.0,0.0,5.5,4.105745103771404
57,57,1.0,45.0,7.0,5.0,71.0,111.0,6.0,4.0,31.25,40.88572926025482
58,58,10.0,43.0,5.0,2.0,81.0,9.0,11.0,20.0,22.625,26.84845034102128
59,59,2.0,14.0,5.0,14.0,3.0,117.0,19.0,2.0,22.0,38.93584466786357
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,20.0,11.0,26.0,13.0,56.0,137.0,0.0,11.0,34.25,44.7333368816974
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,3.0,21.0,53.0,15.0,9.0,39.0,3.0,6.0,18.625,18.34539646419699
70,70,4.0,9.0,40.0,8.0,0.0,2.0,4.0,4.0,8.875,12.91109710951895
71,71,,,,,,,,,,
72,72,32.0,8.0,3.0,1.0,9.0,31.0,5.0,5.0,11.75,12.452767908036694
73,73,11.0,49.0,5.0,18.0,3.0,25.0,1.0,10.0,15.25,15.791046287600542
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,26.0,3.0,6.0,2.0,44.0,10.0,3.0,12.0,13.25,14.68478318337922
78,78,,,,,,,,,,
79,79,24.0,16.0,15.0,2.0,5.0,5.0,12.0,53.0,16.5,16.414279497698686
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,97.0,53.0,3.0,2.0,1.0,6.0,0.0,7.0,21.125,35.349025042122044
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,6.0,7.0,6.0,13.0,7.0,16.0,7.0,3.0,8.125,4.223657859520077
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,7.0,5.0,2.0,4.0,9.0,70.0,3.0,8.0,13.5,22.95959183310664
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,63.0,27.0,47.0,7.0,16.0,17.0,3.0,8.0,23.5,21.233396875138535
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,29.0,16.0,4.0,5.0,33.0,16.0,10.0,5.0,14.75,11.13232102611901
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,36.0,17.0,32.0,13.0,21.0,9.0,5.0,63.0,24.5,18.867962264113206
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,5.0,11.0,1.0,11.0,1.0,5.0,9.0,3.0,5.75,4.131758532565592
126,126,,,,,,,,,,
