,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,1.0,0.0,0.2,0.44721359549995804
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,1.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.7071067811865476
9,9,0.0,0.0,1.0,0.0,29.0,7.0,0.0,6.0,5.375,9.97049217870985
10,10,0.0,0.0,0.0,0.0,103.0,0.0,6.0,6.0,14.375,35.912343679735365
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,19.0,0.0,0.0,0.0,9.0,4.666666666666667,7.890923055426827
14,14,,42.0,1.0,,,2.0,1.0,0.0,9.2,18.349386910739007
15,15,11.0,10.0,0.0,12.0,14.0,21.0,1.0,14.0,10.375,6.94750726108704
16,16,,,,,,,,,,
17,17,9.0,19.0,0.0,2.0,2.0,3.0,0.0,6.0,5.125,6.379375249303694
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,95.0,30.0,42.0,60.0,196.0,37.0,13.0,2.0,59.375,62.156340901678846
21,21,107.0,30.0,49.0,3.0,64.0,134.0,38.0,0.0,53.125,47.32392176720534
22,22,5.0,20.0,12.0,3.0,74.0,26.0,24.0,0.0,20.5,23.736650383501278
23,23,16.0,8.0,85.0,9.0,227.0,38.0,4.0,2.0,48.625,77.18611551679116
24,24,22.0,5.0,2.0,20.0,43.0,59.0,9.0,11.0,21.375,19.963806536544364
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,41.0,62.0,5.0,6.0,2.0,28.0,4.0,4.0,19.0,22.418104928192047
28,28,28.0,56.0,2.0,14.0,10.0,0.0,0.0,18.0,16.0,18.883099019266634
29,29,4.0,84.0,9.0,0.0,7.0,1.0,3.0,4.0,14.0,28.43539042410757
30,30,34.0,7.0,1.0,7.0,5.0,1.0,0.0,38.0,11.625,15.324466898208424
31,31,18.0,15.0,0.0,2.0,13.0,2.0,0.0,2.0,6.5,7.483314773547883
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,17.0,0.0,3.0,3.0,19.0,101.0,0.0,7.0,18.75,34.02834952548494
35,35,12.0,11.0,26.0,1.0,1.0,39.0,1.0,7.0,12.25,13.69827934971605
36,36,13.0,8.0,7.0,2.0,8.0,64.0,7.0,3.0,14.0,20.4799553570942
37,37,,,,,,,,,,
38,38,6.0,16.0,18.0,1.0,29.0,24.0,12.0,3.0,13.625,10.013383900702955
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,16.0,6.0,44.0,2.0,0.0,148.0,0.0,0.0,27.0,51.13567387702193
42,42,1.0,1.0,5.0,15.0,2.0,9.0,6.0,17.0,7.0,6.2105900340811875
43,43,3.0,3.0,32.0,2.0,0.0,56.0,7.0,38.0,17.625,21.347047303349203
44,44,30.0,5.0,0.0,0.0,0.0,82.0,2.0,17.0,17.0,28.359931492965817
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,5.0,10.0,8.0,6.0,7.0,10.0,0.0,7.0,6.625,3.2043497223082786
50,50,,,,,,,,,,
51,51,9.0,45.0,4.0,5.0,11.0,6.0,4.0,7.0,11.375,13.804114293520298
52,52,2.0,38.0,0.0,6.0,10.0,0.0,1.0,4.0,7.625,12.738440137742813
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,4.0,2.0,4.0,1.0,0.0,1.0,3.0,7.0,2.75,2.2519832529192065
57,57,6.0,39.0,17.0,1.0,1.0,25.0,3.0,10.0,12.75,13.530389076867989
58,58,32.0,4.0,0.0,8.0,10.0,2.0,3.0,36.0,11.875,14.06553538669203
59,59,3.0,12.0,5.0,0.0,3.0,26.0,3.0,3.0,6.875,8.47580590352833
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,15.0,7.0,15.0,1.0,8.0,12.0,0.0,7.0,8.125,5.718079098038831
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,2.0,0.0,8.0,29.0,3.0,12.0,1.0,1.0,7.0,9.797958971132712
70,70,2.0,0.0,5.0,38.0,0.0,5.0,0.0,0.0,6.25,13.013729014281143
71,71,,,,,,,,,,
72,72,3.0,0.0,1.0,5.0,0.0,12.0,0.0,0.0,2.625,4.2067123233504535
73,73,2.0,3.0,0.0,35.0,1.0,8.0,0.0,2.0,6.375,11.843473187492643
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,3.0,0.0,0.0,8.0,10.0,1.0,2.0,1.0,3.125,3.7961446607992015
78,78,,,,,,,,,,
79,79,1.0,1.0,2.0,5.0,2.0,0.0,0.0,13.0,3.0,4.342481186734475
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,46.0,12.0,0.0,1.0,2.0,2.0,0.0,1.0,8.0,15.84748740787817
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,1.0,1.0,2.0,37.0,1.0,6.0,3.0,5.0,7.0,12.270755012281379
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,2.0,0.0,0.0,4.0,3.0,16.0,5.0,0.0,3.75,5.311712126450916
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,12.0,12.0,5.0,9.0,8.0,2.0,3.0,0.0,6.375,4.565006649971686
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,24.0,9.0,4.0,3.0,10.0,7.0,9.0,14.0,10.0,6.6332495807108
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,51.0,3.0,15.0,14.0,5.0,1.0,3.0,26.0,14.75,16.9094225634281
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,4.0,2.0,1.0,2.0,9.0,2.0,1.0,1.0,2.75,2.712405363721075
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
