,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,1.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,1.0,0.0,,0.0,0.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.625,1.7677669529663689
10,10,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.125,3.181980515339464
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.5163977794943223
14,14,,28.0,0.0,,,0.0,9.0,0.0,7.4,12.157302332343306
15,15,0.0,78.0,0.0,0.0,10.0,4.0,0.0,1.0,11.625,27.04460601091675
16,16,,,,,,,,,,
17,17,0.0,149.0,0.0,2.0,1.0,12.0,0.0,0.0,20.5,52.082352371714435
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,2.0,105.0,7.0,11.0,43.0,24.0,9.0,1.0,25.25,35.062189647213174
21,21,0.0,107.0,36.0,9.0,18.0,120.0,4.0,1.0,36.875,48.82750249603188
22,22,0.0,49.0,18.0,0.0,2.0,0.0,2.0,1.0,9.0,17.26267650163207
23,23,0.0,0.0,9.0,2.0,42.0,0.0,1.0,2.0,7.0,14.451890632617687
24,24,9.0,3.0,0.0,0.0,3.0,0.0,2.0,28.0,5.625,9.515964030437033
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,24.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,4.5,8.332380897952964
28,28,37.0,4.0,13.0,0.0,1.0,1.0,0.0,45.0,12.625,18.149675321771305
29,29,3.0,1.0,10.0,1.0,0.0,3.0,6.0,6.0,3.75,3.370036032024414
30,30,71.0,0.0,1.0,5.0,0.0,2.0,1.0,70.0,18.75,31.981021157644644
31,31,6.0,0.0,0.0,5.0,0.0,13.0,0.0,19.0,5.375,7.170126518110701
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,18.0,0.0,0.0,0.0,0.0,35.0,1.0,11.0,8.125,12.777631124072142
35,35,77.0,2.0,17.0,0.0,0.0,3.0,1.0,17.0,14.625,26.213069259436217
36,36,10.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.75,3.4121631178560534
37,37,,,,,,,,,,
38,38,5.0,14.0,90.0,0.0,3.0,1.0,6.0,4.0,15.375,30.453418761868335
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,9.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,5.875,11.813279452741792
42,42,0.0,5.0,2.0,17.0,1.0,3.0,7.0,8.0,5.375,5.475595205741825
43,43,0.0,14.0,9.0,1.0,0.0,1.0,34.0,7.0,8.25,11.58508893855743
44,44,3.0,1.0,0.0,0.0,3.0,0.0,2.0,7.0,2.0,2.390457218668787
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,3.0,11.0,3.0,2.0,0.0,29.0,7.0,6.0,7.625,9.28804915700047
50,50,,,,,,,,,,
51,51,7.0,2.0,2.0,0.0,8.0,20.0,0.0,3.0,5.25,6.649382355849731
52,52,4.0,16.0,3.0,2.0,9.0,13.0,1.0,0.0,6.0,5.9521904731427595
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,1.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.125,1.1259916264596033
57,57,2.0,3.0,15.0,0.0,0.0,4.0,1.0,0.0,3.125,5.02671434864337
58,58,5.0,1.0,2.0,9.0,3.0,0.0,9.0,0.0,3.625,3.7008686239082538
59,59,0.0,0.0,3.0,1.0,0.0,1.0,19.0,2.0,3.25,6.453127702351562
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,79.0,2.0,17.0,1.0,0.0,2.0,3.0,7.0,13.875,26.877699200000627
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,9.0,19.0,33.0,2.0,1.0,11.0,1.0,9.625,11.450982490598786
70,70,2.0,3.0,27.0,41.0,0.0,1.0,1.0,3.0,9.75,15.461934826257307
71,71,,,,,,,,,,
72,72,4.0,0.0,1.0,3.0,15.0,7.0,3.0,2.0,4.375,4.779046527738113
73,73,2.0,5.0,0.0,29.0,7.0,18.0,0.0,4.0,8.125,10.218156109871991
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,3.0,0.0,8.0,1.0,0.0,2.0,2.0,7.0,2.875,3.044315545875155
78,78,,,,,,,,,,
79,79,0.0,0.0,2.0,7.0,0.0,1.0,9.0,33.0,6.5,11.250396818398388
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,60.0,10.0,2.0,4.0,2.0,1.0,0.0,0.0,9.875,20.51088561158266
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,4.0,9.0,6.0,0.0,0.0,6.0,3.125,3.6030740843261686
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,4.0,0.0,5.0,1.0,9.0,17.0,2.0,4.75,5.800246300189083
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,14.0,8.0,20.0,1.0,1.0,1.0,3.0,3.0,6.375,7.130167299179292
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,14.0,1.0,1.0,10.0,4.0,11.0,10.0,1.0,6.5,5.31843156256751
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,31.0,1.0,17.0,6.0,3.0,3.0,3.0,14.0,9.75,10.347532487092204
112,112,,,,,,,,,,
