,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,1.0,0.0,0.2,0.44721359549995804
15,15,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.7071067811865476
16,16,,,,,,,,,,
17,17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.4629100498862757
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,8.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,2.125,2.799872446074234
21,21,3.0,1.0,1.0,4.0,3.0,13.0,6.0,0.0,3.875,4.155461122770509
22,22,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.4142135623730951
23,23,0.0,0.0,10.0,6.0,6.0,5.0,0.0,3.0,3.75,3.654742515847438
24,24,0.0,0.0,1.0,0.0,3.0,6.0,2.0,2.0,1.75,2.052872551885702
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,2.0,2.0,0.0,0.0,1.0,5.0,1.0,4.0,1.875,1.807721533549109
28,28,1.0,6.0,4.0,2.0,0.0,0.0,0.0,2.0,1.875,2.1671244937540095
29,29,0.0,15.0,4.0,0.0,0.0,1.0,0.0,1.0,2.625,5.180664601601393
30,30,5.0,0.0,0.0,9.0,1.0,1.0,0.0,8.0,3.0,3.779644730092272
31,31,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,1.25,1.0350983390135313
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,6.0,2.0,2.0,2.0,12.0,29.0,1.0,7.0,7.625,9.395097505766353
35,35,2.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,3.4226138716316967
36,36,0.0,1.0,1.0,0.0,1.0,1.0,9.0,3.0,2.0,2.9760952365713798
37,37,,,,,,,,,,
38,38,1.0,3.0,0.0,0.0,6.0,1.0,9.0,2.0,2.75,3.1959796173138706
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,17.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.625,5.853875395228117
42,42,0.0,4.0,0.0,7.0,1.0,1.0,8.0,0.0,2.625,3.2923070504261465
43,43,0.0,3.0,4.0,0.0,0.0,1.0,4.0,3.0,1.875,1.807721533549109
44,44,8.0,5.0,0.0,0.0,1.0,0.0,4.0,5.0,2.875,3.044315545875155
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,3.0,33.0,2.0,2.0,16.0,33.0,0.0,2.0,11.375,14.24216576628308
50,50,,,,,,,,,,
51,51,3.0,20.0,1.0,0.0,3.0,4.0,0.0,1.0,4.0,6.6332495807108
52,52,2.0,25.0,0.0,0.0,7.0,0.0,0.0,0.0,4.25,8.73007936471861
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.75,1.4880476182856899
57,57,0.0,97.0,6.0,0.0,6.0,6.0,4.0,0.0,14.875,33.3013834976438
58,58,2.0,5.0,0.0,3.0,10.0,1.0,2.0,9.0,4.0,3.7032803990902057
59,59,0.0,18.0,0.0,0.0,3.0,5.0,1.0,3.0,3.75,6.041522986797286
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,5.0,7.0,21.0,1.0,20.0,12.0,1.0,6.0,9.125,7.845608416724061
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,3.0,60.0,8.0,1.0,7.0,1.0,0.0,10.0,20.438059734580623
70,70,0.0,0.0,59.0,5.0,5.0,2.0,0.0,0.0,8.875,20.37111049641484
71,71,,,,,,,,,,
72,72,6.0,0.0,2.0,1.0,12.0,8.0,0.0,1.0,3.75,4.432026302139591
73,73,1.0,8.0,1.0,6.0,3.0,11.0,0.0,2.0,4.0,3.927922024247863
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,5.0,0.0,2.0,0.0,14.0,1.0,0.0,3.0,3.125,4.733995594179856
78,78,,,,,,,,,,
79,79,0.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.125,1.1259916264596033
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,6.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.625,1.9955307206712847
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,5.0,1.0,6.0,13.0,15.0,3.0,2.0,2.0,5.875,5.303300858899107
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.5,1.3093073414159542
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,40.0,4.0,21.0,7.0,4.0,0.0,1.0,0.0,9.625,14.050292320294062
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,9.0,13.0,6.0,6.0,18.0,11.0,5.0,5.0,9.125,4.642582409453969
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,29.0,0.0,15.0,7.0,4.0,2.0,3.0,14.0,9.25,9.676923950453322
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,4.0,11.0,2.0,1.0,0.0,2.0,1.0,1.0,2.75,3.5355339059327378
