,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,7.0,1.1666666666666667,2.857738033247041
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,1.0,0.0,,0.0,0.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0606601717798212
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,57.0,0.0,0.0,0.0,0.0,6.0,10.5,22.90633100258529
14,14,,0.0,146.0,,,0.0,1.0,134.0,56.2,76.6172304380679
15,15,133.0,0.0,0.0,59.0,7.0,69.0,23.0,4.0,36.875,47.278619450475254
16,16,,,,,,,,,,
17,17,55.0,180.0,73.0,67.0,80.0,33.0,21.0,45.0,69.25,49.03861452249354
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,16.0,9.0,2.0,7.0,5.0,43.0,4.0,1.0,10.875,13.809287764813527
21,21,11.0,4.0,0.0,0.0,10.0,16.0,11.0,0.0,6.5,6.279217421667403
22,22,3.0,2.0,0.0,3.0,4.0,0.0,8.0,0.0,2.5,2.7255405754769875
23,23,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,2.0,3.7416573867739413
24,24,1.0,3.0,0.0,5.0,1.0,0.0,3.0,0.0,1.625,1.8468119248354136
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,29.0,0.0,8.0,5.0,1.0,0.0,2.0,4.0,6.125,9.642724866817618
28,28,27.0,2.0,4.0,0.0,0.0,0.0,13.0,4.0,6.25,9.422617167523804
29,29,4.0,2.0,0.0,2.0,4.0,0.0,22.0,9.0,5.375,7.3082634247620195
30,30,6.0,1.0,14.0,5.0,6.0,1.0,5.0,2.0,5.0,4.20883424647321
31,31,2.0,2.0,7.0,19.0,1.0,2.0,3.0,0.0,4.5,6.2105900340811875
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,1.5,3.4641016151377544
35,35,3.0,0.0,0.0,1.0,1.0,8.0,0.0,3.0,2.0,2.7255405754769875
36,36,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.75,1.164964745021435
37,37,,,,,,,,,,
38,38,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,1.25,2.052872551885702
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,4.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,1.875,1.3562026818605375
42,42,2.0,0.0,8.0,1.0,0.0,5.0,5.0,3.0,3.0,2.8284271247461903
43,43,9.0,4.0,4.0,2.0,9.0,2.0,0.0,2.0,4.0,3.3380918415851206
44,44,8.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,2.25,2.49284690951645
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,8.0,2.0,0.0,3.0,1.0,2.0,1.0,9.0,3.25,3.370036032024414
50,50,,,,,,,,,,
51,51,4.0,5.0,1.0,0.0,9.0,4.0,3.0,3.0,3.625,2.7222627143085005
52,52,4.0,2.0,4.0,2.0,4.0,8.0,10.0,1.0,4.375,3.113908889391045
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,4.0,3.0,1.0,4.0,8.0,1.0,2.0,2.0,3.125,2.295181287579947
57,57,2.0,0.0,2.0,9.0,7.0,0.0,4.0,1.0,3.125,3.313931631332013
58,58,2.0,7.0,4.0,2.0,3.0,0.0,0.0,0.0,2.25,2.434865792722759
59,59,7.0,2.0,2.0,7.0,1.0,1.0,0.0,0.0,2.5,2.878491668515698
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,7.0,0.0,0.0,7.0,2.0,0.0,4.0,3.0,2.875,2.948970764763288
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,10.0,1.0,1.0,4.0,6.0,3.0,0.0,4.0,3.625,3.2486260832190936
70,70,15.0,2.0,1.0,6.0,6.0,5.0,5.0,5.0,5.625,4.2067123233504535
71,71,,,,,,,,,,
72,72,3.0,10.0,1.0,6.0,8.0,7.0,3.0,6.0,5.5,2.9760952365713798
73,73,6.0,3.0,1.0,9.0,30.0,1.0,0.0,7.0,7.125,9.789754119194502
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,2.0,10.0,6.0,16.0,5.0,4.0,2.0,5.625,5.180664601601393
78,78,,,,,,,,,,
79,79,5.0,7.0,7.0,11.0,18.0,11.0,4.0,3.0,8.25,4.920801328471382
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,3.0,12.0,1.0,5.0,6.0,3.0,3.0,6.0,4.875,3.3567628964311944
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,3.0,4.0,0.0,3.0,2.0,2.0,8.0,0.0,2.75,2.5495097567963922
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,4.0,4.0,5.0,2.0,2.0,5.0,5.0,0.0,3.375,1.8468119248354136
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,14.0,2.0,2.0,6.0,3.0,10.0,1.0,1.0,4.875,4.793969425970806
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,0.0,0.0,2.0,3.0,8.0,2.0,0.0,1.875,2.748376143938713
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.125,0.8345229603962802
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,6.0,0.0,1.0,4.0,8.0,1.0,1.0,3.0,3.0,2.8284271247461903
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,20.0,2.0,1.0,1.0,20.0,6.0,3.0,5.0,7.25,8.066686343935071
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,9.0,1.0,3.0,1.0,23.0,2.0,3.0,1.0,5.375,7.595816517756901
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,5.0,0.0,3.0,2.0,9.0,3.0,4.0,2.0,3.5,2.6726124191242437
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,4.0,0.0,2.0,1.0,10.0,2.0,1.0,4.0,3.0,3.1622776601683795
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,0.0,0.0,11.0,1.0,18.0,8.0,0.0,6.0,5.5,6.590035768383312
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,21.0,3.0,3.0,2.0,22.0,7.0,4.0,1.0,7.875,8.592978861505811
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
