,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,1.0,0.0,0.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.375,1.0606601717798212
10,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,4.596194077712559
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,3.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,1.375,1.8468119248354136
21,21,1.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,1.25,1.3887301496588271
22,22,1.0,2.0,0.0,8.0,1.0,3.0,1.0,0.0,2.0,2.6186146828319083
23,23,3.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.875,1.7268882005337975
24,24,1.0,7.0,0.0,0.0,2.0,0.0,3.0,0.0,1.625,2.445841952609133
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,5.0,1.0,1.0,10.0,3.0,7.0,2.0,0.0,3.625,3.4615231989895516
28,28,3.0,4.0,4.0,30.0,1.0,1.0,1.0,0.0,5.5,10.014275524755362
29,29,3.0,3.0,6.0,7.0,3.0,0.0,0.0,0.0,2.75,2.712405363721075
30,30,2.0,3.0,6.0,19.0,4.0,1.0,2.0,0.0,4.625,6.093028803476971
31,31,4.0,7.0,10.0,4.0,1.0,2.0,0.0,1.0,3.625,3.420004177106889
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,9.0,12.0,32.0,4.0,0.0,1.0,4.0,2.0,8.0,10.515294982615968
35,35,9.0,24.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,8.194074514114277
36,36,11.0,39.0,2.0,1.0,0.0,0.0,2.0,0.0,6.875,13.484779779969925
37,37,,,,,,,,,,
38,38,6.0,27.0,3.0,0.0,0.0,3.0,5.0,0.0,5.5,8.992059989632123
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,6.0,0.0,3.0,1.0,9.0,0.0,0.0,2.375,3.420004177106889
42,42,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.6035674514745464
43,43,1.0,2.0,0.0,2.0,0.0,8.0,0.0,1.0,1.75,2.659215781283755
44,44,0.0,7.0,2.0,1.0,1.0,4.0,0.0,0.0,1.875,2.4748737341529163
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,12.0,3.0,5.0,8.0,1.0,1.0,2.0,4.0,4.140393356054125
50,50,,,,,,,,,,
51,51,1.0,3.0,4.0,6.0,11.0,0.0,4.0,1.0,3.75,3.5355339059327378
52,52,1.0,2.0,1.0,1.0,15.0,1.0,2.0,2.0,3.125,4.823676724538776
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.25,1.5811388300841898
57,57,1.0,4.0,4.0,2.0,7.0,0.0,2.0,0.0,2.5,2.390457218668787
58,58,1.0,2.0,6.0,2.0,7.0,2.0,1.0,1.0,2.75,2.3754698783308417
59,59,2.0,5.0,11.0,9.0,0.0,0.0,0.0,0.0,3.375,4.470139019889969
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,1.25,1.4880476182856899
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.4629100498862757
70,70,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,0.7440238091428449
71,71,,,,,,,,,,
72,72,0.0,3.0,1.0,0.0,7.0,0.0,1.0,0.0,1.5,2.449489742783178
73,73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.4629100498862757
78,78,,,,,,,,,,
79,79,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.625,1.407885953173359
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.625,1.1877349391654208
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,1.125,1.8850918886280925
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,1.25,2.052872551885702
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
