,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.625,1.7677669529663689
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,7.0,0.0,1.0,0.0,1.0,1.5,2.7386127875258306
14,14,,2.0,0.0,,,1.0,5.0,0.0,1.6,2.073644135332772
15,15,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,1.125,1.7268882005337975
16,16,,,,,,,,,,
17,17,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.875,1.4577379737113252
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,5.0,97.0,0.0,18.0,3.0,4.0,20.0,13.0,20.0,31.964265762164562
21,21,5.0,79.0,2.0,1.0,3.0,15.0,25.0,13.0,17.875,26.029859227982225
22,22,0.0,16.0,4.0,1.0,4.0,6.0,2.0,0.0,4.125,5.249149590988185
23,23,2.0,1.0,17.0,5.0,39.0,4.0,5.0,5.0,9.75,12.79229678919533
24,24,14.0,2.0,1.0,2.0,11.0,24.0,27.0,12.0,11.625,9.956153875869939
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,8.0,12.0,0.0,2.0,1.0,9.0,14.0,2.0,6.0,5.42481072744215
28,28,6.0,11.0,3.0,2.0,2.0,1.0,1.0,21.0,5.875,6.978282637685906
29,29,2.0,12.0,3.0,1.0,1.0,6.0,2.0,4.0,3.875,3.6815175442433286
30,30,7.0,6.0,4.0,36.0,0.0,4.0,1.0,6.0,8.0,11.575836902790225
31,31,0.0,0.0,0.0,4.0,1.0,17.0,1.0,0.0,2.875,5.866064633612068
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,17.0,2.0,2.0,4.0,48.0,3.0,3.0,7.0,10.75,15.854246839794783
35,35,4.0,7.0,13.0,6.0,0.0,3.0,0.0,0.0,4.125,4.517821851923146
36,36,2.0,27.0,0.0,4.0,1.0,21.0,14.0,1.0,8.75,10.525479290071036
37,37,,,,,,,,,,
38,38,4.0,31.0,12.0,4.0,13.0,7.0,21.0,3.0,11.875,9.833434220628547
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,14.0,17.0,3.0,2.0,0.0,8.0,0.0,0.0,5.5,6.761234037828133
42,42,0.0,2.0,0.0,9.0,3.0,3.0,8.0,1.0,3.25,3.453776401067595
43,43,0.0,9.0,13.0,2.0,2.0,7.0,11.0,15.0,7.375,5.578978401105349
44,44,27.0,26.0,0.0,0.0,0.0,21.0,0.0,5.0,9.875,12.483560618440787
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,3.0,52.0,10.0,13.0,72.0,56.0,3.0,3.0,26.5,28.540697759014733
50,50,,,,,,,,,,
51,51,14.0,24.0,2.0,1.0,18.0,33.0,3.0,0.0,11.875,12.368595023572519
52,52,5.0,9.0,2.0,1.0,10.0,10.0,6.0,1.0,5.5,3.8913824205360674
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,1.0,6.0,10.0,7.0,0.0,1.0,0.0,3.125,3.943801646707328
57,57,3.0,11.0,30.0,3.0,37.0,79.0,5.0,4.0,21.5,26.704734732680965
58,58,10.0,30.0,5.0,43.0,68.0,14.0,9.0,35.0,26.75,21.631656696346017
59,59,3.0,4.0,12.0,4.0,15.0,76.0,25.0,6.0,18.125,24.549876345338863
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,78.0,0.0,63.0,7.0,66.0,66.0,3.0,19.0,37.75,33.34559298360986
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,1.0,45.0,9.0,2.0,13.0,5.0,1.0,9.5,15.042796092672209
70,70,2.0,2.0,30.0,6.0,2.0,1.0,1.0,1.0,5.625,9.98480989160177
71,71,,,,,,,,,,
72,72,29.0,0.0,3.0,1.0,7.0,33.0,0.0,1.0,9.25,13.656500283747663
73,73,12.0,5.0,2.0,6.0,2.0,52.0,0.0,3.0,10.25,17.260607504620786
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,11.0,4.0,3.0,1.0,15.0,2.0,3.0,6.0,5.625,4.897156609415596
78,78,,,,,,,,,,
79,79,1.0,1.0,3.0,2.0,4.0,3.0,3.0,38.0,6.875,12.62013697005136
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,10.0,3.0,1.0,4.0,4.0,4.0,0.0,3.0,3.625,2.9730936268953445
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,6.0,1.0,8.0,21.0,1.0,28.0,0.0,10.0,9.375,10.169105874447089
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,4.0,2.0,2.0,7.0,0.0,65.0,4.0,2.0,10.75,22.017849901516595
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,20.0,5.0,57.0,0.0,2.0,12.0,2.0,0.0,12.25,19.366760921006605
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,20.0,6.0,8.0,0.0,5.0,84.0,4.0,3.0,16.25,28.014027098682444
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,76.0,5.0,15.0,12.0,10.0,4.0,5.0,28.0,19.375,24.17754270864952
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,2.0,1.0,11.0,23.0,4.0,10.0,13.0,3.0,8.375,7.44383733605956
126,126,,,,,,,,,,
127,127,,,,,,,,,,
