,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,2.0,0.5,1.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
9,9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.125,3.181980515339464
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.816496580927726
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,0.0,0.0,2.0,0.0,35.0,0.0,0.0,0.0,4.625,12.293290853144248
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,1.0,1.0,24.0,14.0,75.0,64.0,0.0,36.0,26.875,29.30839713899658
21,21,0.0,2.0,26.0,3.0,16.0,1.0,5.0,1.0,6.75,9.315885051121782
22,22,4.0,0.0,5.0,8.0,0.0,262.0,4.0,0.0,35.375,91.61555934602873
23,23,0.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,1.5,2.2677868380553634
24,24,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.625,1.0606601717798212
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,15.0,2.0,2.0,1.0,12.0,0.0,0.0,7.0,4.875,5.817154434453817
28,28,53.0,14.0,1.0,0.0,7.0,0.0,1.0,5.0,10.125,17.971703949741183
29,29,54.0,0.0,24.0,0.0,18.0,0.0,34.0,2.0,16.5,19.992855866891198
30,30,12.0,30.0,38.0,25.0,42.0,0.0,63.0,12.0,27.75,20.105081091959956
31,31,35.0,2.0,18.0,0.0,39.0,0.0,7.0,63.0,20.5,23.083698639021062
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,29.0,111.0,68.0,124.0,3.0,0.0,115.0,48.0,62.25,50.284192347098504
35,35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.7440238091428449
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
37,37,,,,,,,,,,
38,38,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0690449676496976
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,1.625,2.445841952609133
42,42,0.0,0.0,9.0,1.0,1.0,2.0,4.0,3.0,2.5,2.9760952365713798
43,43,0.0,0.0,14.0,1.0,0.0,78.0,1.0,2.0,12.0,27.081886408235512
44,44,3.0,1.0,50.0,29.0,1.0,40.0,2.0,61.0,23.375,24.801713650471815
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,18.0,1.0,8.0,5.0,0.0,0.0,4.0,1.0,4.625,6.093028803476971
50,50,,,,,,,,,,
51,51,3.0,0.0,14.0,1.0,0.0,0.0,16.0,36.0,8.75,12.79229678919533
52,52,0.0,0.0,20.0,2.0,10.0,2.0,12.0,16.0,7.75,7.814821083775915
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,1.0,0.0,1.0,3.0,9.0,16.0,3.75,5.800246300189083
57,57,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.75,1.3887301496588271
58,58,0.0,0.0,6.0,6.0,0.0,0.0,1.0,2.0,1.875,2.6423744732991303
59,59,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.5175491695067657
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,2.75,5.522680508593631
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,1.125,1.246423454758225
70,70,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0690449676496976
71,71,,,,,,,,,,
72,72,0.0,2.0,0.0,1.0,2.0,0.0,1.0,5.0,1.375,1.685018016012207
73,73,0.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,1.125,1.5526475085202969
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,7.0,33.0,7.0,0.0,0.0,9.0,9.0,8.125,10.829028448704765
78,78,,,,,,,,,,
79,79,0.0,0.0,26.0,13.0,44.0,8.0,16.0,22.0,16.125,14.66226936245351
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,2.0,22.0,13.0,10.0,4.0,30.0,24.0,13.125,11.153955096095478
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,1.0,6.0,15.0,11.0,0.0,38.0,38.0,13.625,15.972632844963288
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,0.0,13.0,3.0,0.0,0.0,2.0,1.0,2.375,4.438065859293728
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.25,2.187627547301936
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,0.0,9.0,0.0,1.0,10.0,0.0,3.0,2.875,4.223657859520077
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.375,0.7440238091428449
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,0.0,10.0,1.0,10.0,2.0,0.0,0.0,2.875,4.454131308603925
126,126,,,,,,,,,,
