,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,1.0,6.0,1.1666666666666667,2.401388487243717
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7071067811865476
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.2649110640673518
14,14,,2.0,0.0,,,0.0,3.0,0.0,1.0,1.4142135623730951
15,15,0.0,0.0,0.0,2.0,74.0,3.0,1.0,2.0,10.25,25.78343875990389
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,7.0,2.0,3.0,1.0,1.625,2.445841952609133
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,4.0,72.0,8.0,12.0,0.0,18.0,3.0,1.0,14.75,23.909053873854088
21,21,6.0,79.0,6.0,3.0,0.0,20.0,1.0,3.0,14.75,26.703397322652197
22,22,0.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,3.251373336211726
23,23,4.0,1.0,9.0,0.0,1.0,10.0,0.0,0.0,3.125,4.155461122770509
24,24,0.0,0.0,1.0,2.0,0.0,11.0,0.0,11.0,3.125,4.911720676097125
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,8.0,0.0,0.0,2.0,1.0,17.0,2.0,2.0,4.0,5.830951894845301
28,28,5.0,1.0,2.0,6.0,3.0,0.0,1.0,2.0,2.5,2.0701966780270626
29,29,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.7559289460184544
30,30,9.0,0.0,0.0,6.0,1.0,0.0,0.0,9.0,3.125,4.155461122770509
31,31,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.9258200997725514
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,22.0,2.0,0.0,1.0,24.0,1.0,0.0,4.0,6.75,10.124228365658293
35,35,3.0,14.0,26.0,0.0,0.0,2.0,0.0,3.0,6.0,9.304376850247875
36,36,9.0,3.0,4.0,1.0,0.0,2.0,1.0,1.0,2.625,2.8753881725529062
37,37,,,,,,,,,,
38,38,3.0,18.0,20.0,1.0,0.0,2.0,5.0,2.0,6.375,7.945124291035352
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,7.0,19.0,2.0,0.0,0.0,6.0,0.0,1.0,4.375,6.523309852258394
42,42,0.0,3.0,1.0,8.0,0.0,0.0,3.0,8.0,2.875,3.399054490379851
43,43,1.0,7.0,9.0,0.0,0.0,3.0,12.0,3.0,4.375,4.470139019889969
44,44,8.0,14.0,0.0,0.0,0.0,3.0,1.0,7.0,4.125,5.111262075065218
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,2.0,17.0,14.0,7.0,3.0,11.0,2.0,18.0,9.25,6.670832032063167
50,50,,,,,,,,,,
51,51,3.0,14.0,0.0,2.0,1.0,15.0,1.0,4.0,5.0,6.0
