,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
10,10,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.375,0.7440238091428449
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,2.0,0.0,0.0,2.0,0.6666666666666666,1.0327955589886446
14,14,,1.0,0.0,,,0.0,1.0,0.0,0.4,0.5477225575051662
15,15,2.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,1.375,1.3024701806293193
16,16,,,,,,,,,,
17,17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.4629100498862757
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,8.0,53.0,2.0,20.0,33.0,10.0,16.0,0.0,17.75,17.7341478509682
21,21,5.0,37.0,1.0,1.0,11.0,48.0,9.0,0.0,14.0,18.260026599886743
22,22,1.0,11.0,4.0,3.0,6.0,10.0,5.0,0.0,5.0,3.927922024247863
23,23,0.0,0.0,5.0,2.0,16.0,3.0,3.0,1.0,3.75,5.230405611149374
24,24,0.0,2.0,0.0,2.0,3.0,40.0,2.0,10.0,7.375,13.553465555769439
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,3.0,3.0,1.0,2.0,3.0,15.0,0.0,0.0,3.375,4.8678977568791
28,28,1.0,3.0,2.0,8.0,0.0,0.0,0.0,5.0,2.375,2.8753881725529062
29,29,1.0,1.0,0.0,1.0,0.0,7.0,2.0,0.0,1.5,2.32992949004287
30,30,7.0,0.0,1.0,29.0,2.0,4.0,2.0,10.0,6.875,9.538455999643908
31,31,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,1.125,1.246423454758225
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,4.0,1.0,0.0,7.0,5.0,3.0,2.0,13.0,4.375,4.138236339311712
35,35,5.0,0.0,20.0,2.0,0.0,1.0,0.0,4.0,4.0,6.740072064048828
36,36,3.0,6.0,0.0,2.0,0.0,6.0,5.0,2.0,3.0,2.449489742783178
37,37,,,,,,,,,,
38,38,1.0,16.0,10.0,2.0,2.0,5.0,5.0,1.0,5.25,5.284748946598261
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,6.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,2.5,3.7032803990902057
42,42,0.0,1.0,0.0,4.0,2.0,1.0,1.0,2.0,1.375,1.3024701806293193
43,43,0.0,4.0,18.0,2.0,0.0,11.0,10.0,6.0,6.375,6.2777953363991
44,44,15.0,14.0,0.0,0.0,1.0,14.0,2.0,2.0,6.0,6.948792289723034
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,5.0,18.0,1.0,36.0,24.0,0.0,3.0,11.0,13.437686875776969
50,50,,,,,,,,,,
51,51,9.0,3.0,1.0,1.0,10.0,11.0,0.0,0.0,4.375,4.779046527738113
52,52,2.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,1.75,2.434865792722759
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.75,0.7071067811865476
57,57,0.0,3.0,3.0,1.0,3.0,23.0,0.0,1.0,4.25,7.685793945418298
58,58,4.0,7.0,0.0,6.0,7.0,4.0,3.0,14.0,5.625,4.103569874424672
59,59,0.0,1.0,2.0,3.0,3.0,17.0,9.0,4.0,4.875,5.5917669070569405
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,11.0,1.0,38.0,2.0,30.0,13.0,0.0,5.0,12.5,14.212670403551895
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,11.0,2.0,2.0,6.0,1.0,0.0,2.75,3.882193783343198
70,70,0.0,0.0,18.0,5.0,2.0,3.0,1.0,0.0,3.625,6.06953752062591
71,71,,,,,,,,,,
72,72,4.0,1.0,0.0,0.0,0.0,20.0,1.0,1.0,3.375,6.843923269169937
73,73,0.0,8.0,1.0,5.0,0.0,21.0,0.0,0.0,4.375,7.347254103210454
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,1.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,2.0,4.174754056057845
78,78,,,,,,,,,,
79,79,2.0,0.0,3.0,1.0,0.0,5.0,2.0,9.0,2.75,3.011881234615431
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,6.0,3.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,2.138089935299395
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,2.0,1.0,2.0,7.0,3.0,6.0,0.0,1.0,2.75,2.49284690951645
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,1.0,1.0,0.0,1.0,10.0,2.0,0.0,1.875,3.3567628964311944
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,20.0,2.0,21.0,2.0,3.0,1.0,1.0,0.0,6.25,8.843884085303566
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,12.0,5.0,2.0,0.0,7.0,4.0,2.0,5.0,4.625,3.7008686239082538
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,1.0,0.0,14.0,2.0,2.0,1.0,1.0,11.0,4.0,5.3452248382484875
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,2.0,0.0,5.0,1.0,3.0,2.0,0.0,1.75,1.6690459207925603
