,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,1.0,,,0.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.625,1.407885953173359
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,1.0,0.0,0.2,0.44721359549995804
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
21,21,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.7071067811865476
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.4629100498862757
35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,,,,,,,,,,
38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.4629100498862757
42,42,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,3.5355339059327378
43,43,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.125,5.617256574927962
44,44,4.0,2.0,6.0,3.0,0.0,0.0,0.0,8.0,2.875,2.997022331772464
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,211.0,3.0,33.0,76.0,18.0,5.0,102.0,112.0,70.0,71.205938757141
50,50,,,,,,,,,,
51,51,3.0,1.0,20.0,4.0,0.0,0.0,5.0,4.0,4.625,6.5013734812620285
52,52,0.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,1.25,1.5811388300841898
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,144.0,0.0,1.0,0.0,9.0,2.0,2.0,5.0,20.375,50.04266037235488
57,57,55.0,0.0,3.0,6.0,3.0,0.0,3.0,5.0,9.375,18.554456530517328
58,58,23.0,12.0,35.0,28.0,5.0,4.0,17.0,11.0,16.875,11.051018052650171
59,59,17.0,0.0,9.0,12.0,12.0,6.0,35.0,23.0,14.25,10.846329201294655
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,3.0,0.0,3.0,16.0,1.0,5.0,2.0,8.0,4.75,5.175491695067657
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,18.0,2.0,3.0,21.0,5.0,20.0,13.0,34.0,14.5,10.993504575754852
70,70,10.0,1.0,4.0,21.0,21.0,24.0,12.0,16.0,13.625,8.365533028871672
71,71,,,,,,,,,,
72,72,23.0,5.0,8.0,17.0,1.0,4.0,9.0,4.0,8.875,7.472568883207817
73,73,29.0,1.0,4.0,11.0,6.0,3.0,6.0,1.0,7.625,9.226321043622967
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,1.0,6.0,22.0,22.0,6.0,21.0,5.0,4.0,10.875,9.078034714943223
78,78,,,,,,,,,,
79,79,0.0,3.0,7.0,10.0,7.0,19.0,23.0,7.0,9.5,7.782764841072135
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,2.0,13.0,16.0,9.0,5.0,34.0,8.0,18.0,13.125,10.00624804809475
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,5.0,4.0,8.0,2.0,1.0,11.0,5.0,4.0,5.0,3.2071349029490928
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,30.0,0.0,13.0,2.0,17.0,4.0,7.0,5.0,9.75,9.939100275463282
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,9.0,0.0,16.0,1.0,12.0,8.0,5.0,8.0,7.375,5.343554194407635
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,14.0,6.0,17.0,8.0,10.0,14.0,37.0,66.0,21.5,20.382064945156355
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,21.0,3.0,5.0,11.0,1.0,24.0,14.0,7.0,10.75,8.396427811873332
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,5.0,4.0,23.0,1.0,4.0,61.0,0.0,5.0,12.875,20.725674209264493
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,2.0,9.0,18.0,8.0,0.0,17.0,1.0,7.0,7.75,6.881652625434014
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,7.0,5.0,13.0,1.0,6.0,24.0,4.0,11.0,8.875,7.199950396654529
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,9.0,71.0,12.0,2.0,9.0,16.0,2.0,4.0,15.625,22.90937113310371
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,36.0,20.0,20.0,46.0,37.0,42.0,7.0,34.0,30.25,13.253031998107344
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,0.0,1.0,14.0,29.0,7.0,12.0,22.0,23.0,13.5,10.596495377515827
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,13.0,0.0,6.0,14.0,5.0,23.0,8.0,13.0,10.25,7.045768740375825
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,0.0,34.0,3.0,2.0,10.0,5.0,3.0,11.0,8.5,10.993504575754852
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,8.0,8.0,4.0,14.0,1.0,5.0,0.0,2.0,5.25,4.621378891320518
182,182,,,,,,,,,,
183,183,,,,,,,,,,
184,184,,,,,,,,,,
185,185,,,,,,,,,,
186,186,,,,,,,,,,
187,187,,,,,,,,,,
188,188,5.0,22.0,6.0,0.0,3.0,9.0,3.0,20.0,8.5,8.159131606453506
189,189,,,,,,,,,,
190,190,,,,,,,,,,
191,191,,,,,,,,,,
192,192,,,,,,,,,,
193,193,,,,,,,,,,
194,194,,,,,,,,,,
195,195,35.0,41.0,29.0,34.0,63.0,10.0,35.0,36.0,35.375,14.549791358346985
196,196,,,,,,,,,,
197,197,,,,,,,,,,
198,198,,,,,,,,,,
199,199,,,,,,,,,,
200,200,,,,,,,,,,
201,201,,,,,,,,,,
202,202,,,,,,,,,,
203,203,126.0,20.0,6.0,48.0,6.0,2.0,8.0,24.0,30.0,41.569219381653056
204,204,,,,,,,,,,
205,205,,,,,,,,,,
206,206,,,,,,,,,,
207,207,,,,,,,,,,
208,208,,,,,,,,,,
209,209,,,,,,,,,,
210,210,18.0,11.0,61.0,5.0,32.0,4.0,3.0,14.0,18.5,19.63233484404164
211,211,,,,,,,,,,
212,212,,,,,,,,,,
213,213,,,,,,,,,,
214,214,,,,,,,,,,
215,215,,,,,,,,,,
216,216,25.0,29.0,41.0,19.0,5.0,0.0,6.0,6.0,16.375,14.441383985912548
217,217,,,,,,,,,,
218,218,,,,,,,,,,
219,219,,,,,,,,,,
220,220,,,,,,,,,,
221,221,,,,,,,,,,
222,222,,,,,,,,,,
223,223,2.0,1.0,24.0,0.0,41.0,2.0,3.0,0.0,9.125,15.16045136908152
224,224,,,,,,,,,,
225,225,,,,,,,,,,
226,226,,,,,,,,,,
227,227,,,,,,,,,,
228,228,,,,,,,,,,
229,229,,,,,,,,,,
230,230,,,,,,,,,,
231,231,20.0,219.0,36.0,37.0,22.0,18.0,33.0,25.0,51.25,68.17571834185961
232,232,,,,,,,,,,
233,233,,,,,,,,,,
234,234,,,,,,,,,,
235,235,,,,,,,,,,
236,236,,,,,,,,,,
237,237,,,,,,,,,,
238,238,2.0,7.0,88.0,7.0,24.0,8.0,24.0,4.0,20.5,28.575713964333918
239,239,,,,,,,,,,
240,240,,,,,,,,,,
241,241,,,,,,,,,,
242,242,,,,,,,,,,
243,243,,,,,,,,,,
244,244,9.0,3.0,23.0,4.0,5.0,1.0,7.0,10.0,7.75,6.860862086606068
245,245,,,,,,,,,,
246,246,,,,,,,,,,
247,247,,,,,,,,,,
248,248,,,,,,,,,,
249,249,,,,,,,,,,
250,250,,,,,,,,,,
251,251,,,,,,,,,,
252,252,32.0,8.0,22.0,19.0,4.0,38.0,16.0,11.0,18.75,11.695542496426333
253,253,,,,,,,,,,
254,254,,,,,,,,,,
255,255,,,,,,,,,,
256,256,,,,,,,,,,
257,257,,,,,,,,,,
258,258,,,,,,,,,,
259,259,1.0,18.0,10.0,11.0,10.0,26.0,15.0,25.0,14.5,8.366600265340756
260,260,,,,,,,,,,
261,261,,,,,,,,,,
262,262,,,,,,,,,,
263,263,,,,,,,,,,
264,264,,,,,,,,,,
265,265,,,,,,,,,,
266,266,,,,,,,,,,
267,267,57.0,28.0,13.0,32.0,4.0,13.0,29.0,34.0,26.25,16.455567880985278
268,268,,,,,,,,,,
269,269,,,,,,,,,,
270,270,,,,,,,,,,
271,271,,,,,,,,,,
272,272,,,,,,,,,,
273,273,,,,,,,,,,
274,274,40.0,5.0,16.0,25.0,43.0,8.0,,10.0,21.0,15.44884030167529
275,275,,,,,,,,,,
276,276,,,,,,,,,,
277,277,,,,,,,,,,
278,278,,,,,,,,,,
279,279,9.0,2.0,11.0,10.0,1.0,1.0,4.0,1.0,4.875,4.38951673226759
280,280,,,,,,,,,,
281,281,,,,,,,,,,
282,282,,,,,,,,,,
283,283,,,,,,,,,,
284,284,,,,,,,,,,
285,285,,,,,,,,,,
286,286,,,,,,,,,,
287,287,52.0,50.0,73.0,19.0,110.0,21.0,7.0,8.0,42.5,36.051550392656985
288,288,,,,,,,,,,
289,289,,,,,,,,,,
290,290,,,,,,,,,,
291,291,,,,,,,,,,
292,292,,,,,,,,,,
293,293,,,,,,,,,,
294,294,4.0,3.0,20.0,5.0,37.0,8.0,35.0,9.0,15.125,13.932874793092774
295,295,,,,,,,,,,
296,296,,,,,,,,,,
297,297,,,,,,,,,,
298,298,,,,,,,,,,
299,299,,,,,,,,,,
300,300,,,,,,,,,,
301,301,,,,,,,,,,
302,302,,,,,,,,,,
303,303,47.0,7.0,5.0,6.0,7.0,6.0,16.0,5.0,12.375,14.441383985912548
304,304,,,,,,,,,,
305,305,,,,,,,,,,
306,306,,,,,,,,,,
307,307,,,,,,,,,,
308,308,8.0,0.0,49.0,59.0,55.0,7.0,70.0,57.0,38.125,28.134561866653822
309,309,,,,,,,,,,
310,310,,,,,,,,,,
311,311,,,,,,,,,,
312,312,,,,,,,,,,
313,313,,,,,,,,,,
314,314,,,,,,,,,,
315,315,9.0,0.0,100.0,5.0,153.0,3.0,16.0,4.0,36.25,57.67334120470467
316,316,,,,,,,,,,
317,317,,,,,,,,,,
318,318,,,,,,,,,,
319,319,,,,,,,,,,
320,320,,,,,,,,,,
321,321,,,,,,,,,,
322,322,16.0,9.0,44.0,7.0,78.0,4.0,3.0,2.0,20.375,27.02875452973317
323,323,,,,,,,,,,
324,324,,,,,,,,,,
325,325,,,,,,,,,,
326,326,,,,,,,,,,
327,327,,,,,,,,,,
328,328,,,,,,,,,,
329,329,7.0,2.0,5.0,28.0,32.0,3.0,4.0,5.0,10.75,12.020815280171307
330,330,,,,,,,,,,
331,331,,,,,,,,,,
332,332,,,,,,,,,,
333,333,,,,,,,,,,
334,334,,,,,,,,,,
335,335,,,,,,,,,,
336,336,,,,,,,,,,
337,337,,,,,,,,,,
338,338,31.0,1.0,7.0,30.0,5.0,14.0,11.0,69.0,21.0,22.315913604421397
339,339,,,,,,,,,,
340,340,,,,,,,,,,
341,341,,,,,,,,,,
342,342,,,,,,,,,,
343,343,,,,,,,,,,
344,344,,,,,,,,,,
345,345,,,,,,,,,,
346,346,2.0,37.0,140.0,16.0,187.0,1.0,29.0,11.0,52.875,70.50316608898801
347,347,,,,,,,,,,
348,348,,,,,,,,,,
349,349,,,,,,,,,,
350,350,,,,,,,,,,
351,351,,,,,,,,,,
352,352,23.0,139.0,10.0,14.0,34.0,31.0,10.0,36.0,37.125,42.481718757265796
353,353,,,,,,,,,,
354,354,,,,,,,,,,
355,355,,,,,,,,,,
356,356,178.0,11.0,2.0,12.0,3.0,13.0,14.0,48.0,35.125,59.47493469641524
357,357,,,,,,,,,,
358,358,,,,,,,,,,
359,359,,,,,,,,,,
360,360,,,,,,,,,,
361,361,,,,,,,,,,
362,362,,,,,,,,,,
363,363,2.0,8.0,14.0,6.0,1.0,21.0,12.0,6.0,8.75,6.649382355849731
364,364,,,,,,,,,,
365,365,,,,,,,,,,
366,366,,,,,,,,,,
367,367,,,,,,,,,,
368,368,,,,,,,,,,
369,369,,,,,,,,,,
370,370,,,,,,,,,,
371,371,13.0,1.0,11.0,3.0,45.0,24.0,3.0,9.0,13.625,14.66714014387263
372,372,,,,,,,,,,
373,373,,,,,,,,,,
374,374,,,,,,,,,,
375,375,,,,,,,,,,
376,376,,,,,,,,,,
377,377,4.0,1.0,16.0,1.0,5.0,4.0,20.0,4.0,6.875,7.100050301632678
378,378,,,,,,,,,,
379,379,,,,,,,,,,
380,380,,,,,,,,,,
381,381,,,,,,,,,,
382,382,,,,,,,,,,
383,383,,,,,,,,,,
384,384,,,,,,,,,,
385,385,,,,,,,,,,
386,386,0.0,0.0,1.0,3.0,1.0,6.0,1.0,0.0,1.5,2.0701966780270626
387,387,,,,,,,,,,
388,388,,,,,,,,,,
389,389,,,,,,,,,,
390,390,,,,,,,,,,
391,391,,,,,,,,,,
392,392,,,,,,,,,,
393,393,4.0,1.0,10.0,12.0,28.0,3.0,26.0,6.0,11.25,10.37510757259206
394,394,,,,,,,,,,
395,395,,,,,,,,,,
396,396,,,,,,,,,,
397,397,,,,,,,,,,
398,398,18.0,60.0,22.0,0.0,4.0,31.0,43.0,33.0,26.375,19.848983421252154
399,399,,,,,,,,,,
400,400,,,,,,,,,,
401,401,,,,,,,,,,
402,402,,,,,,,,,,
403,403,,,,,,,,,,
404,404,,,,,,,,,,
405,405,,,,,,,,,,
406,406,,,,,,,,,,
407,407,8.0,61.0,58.0,9.0,20.0,5.0,34.0,15.0,26.25,22.435622185648047
408,408,,,,,,,,,,
409,409,,,,,,,,,,
410,410,,,,,,,,,,
411,411,,,,,,,,,,
412,412,,,,,,,,,,
413,413,,,,,,,,,,
414,414,56.0,16.0,19.0,12.0,21.0,3.0,43.0,6.0,22.0,18.361450300639575
415,415,,,,,,,,,,
416,416,,,,,,,,,,
417,417,,,,,,,,,,
418,418,,,,,,,,,,
419,419,,,,,,,,,,
420,420,,,,,,,,,,
421,421,,,,,,,,,,
422,422,31.0,48.0,29.0,4.0,20.0,24.0,42.0,21.0,27.375,13.66891677179599
423,423,,,,,,,,,,
424,424,,,,,,,,,,
425,425,,,,,,,,,,
426,426,,,,,,,,,,
427,427,,,,,,,,,,
428,428,,,,,,,,,,
429,429,5.0,0.0,7.0,37.0,12.0,22.0,19.0,30.0,16.5,12.839670667783611
430,430,,,,,,,,,,
431,431,,,,,,,,,,
432,432,,,,,,,,,,
433,433,,,,,,,,,,
434,434,,,,,,,,,,
435,435,,,,,,,,,,
436,436,1.0,3.0,53.0,6.0,56.0,21.0,12.0,6.0,19.75,22.333511015640024
437,437,,,,,,,,,,
438,438,,,,,,,,,,
439,439,,,,,,,,,,
440,440,,,,,,,,,,
441,441,10.0,11.0,12.0,,48.0,75.0,10.0,11.0,25.285714285714285,25.94683208482483
442,442,,,,,,,,,,
443,443,,,,,,,,,,
444,444,,,,,,,,,,
445,445,,,,,,,,,,
446,446,,,,,,,,,,
447,447,,,,,,,,,,
448,448,,,,,,,,,,
449,449,,,,,,,,,,
450,450,13.0,4.0,38.0,,2.0,2.0,2.0,5.0,9.428571428571429,13.18910083941968
451,451,,,,,,,,,,
452,452,,,,,,,,,,
453,453,,,,,,,,,,
454,454,,,,,,,,,,
455,455,,,,,,,,,,
456,456,,,,,,,,,,
457,457,0.0,26.0,295.0,0.0,89.0,28.0,15.0,9.0,57.75,100.02249746931938
458,458,,,,,,,,,,
459,459,,,,,,,,,,
460,460,,,,,,,,,,
461,461,,,,,,,,,,
462,462,94.0,16.0,56.0,9.0,37.0,12.0,18.0,19.0,32.625,29.25717250277516
463,463,,,,,,,,,,
464,464,,,,,,,,,,
465,465,,,,,,,,,,
466,466,,,,,,,,,,
467,467,,,,,,,,,,
468,468,,,,,,,,,,
469,469,19.0,2.0,13.0,15.0,18.0,4.0,8.0,6.0,10.625,6.5013734812620285
470,470,,,,,,,,,,
471,471,,,,,,,,,,
472,472,,,,,,,,,,
473,473,,,,,,,,,,
474,474,,,,,,,,,,
475,475,,,,,,,,,,
476,476,6.0,11.0,65.0,10.0,38.0,18.0,22.0,6.0,22.0,20.346989949375804
477,477,,,,,,,,,,
478,478,,,,,,,,,,
479,479,,,,,,,,,,
480,480,,,,,,,,,,
481,481,,,,,,,,,,
482,482,,,,,,,,,,
483,483,1.0,57.0,12.0,7.0,14.0,8.0,19.0,7.0,15.625,17.565693024431784
484,484,,,,,,,,,,
485,485,,,,,,,,,,
486,486,,,,,,,,,,
487,487,,,,,,,,,,
488,488,,,,,,,,,,
489,489,0.0,4.0,36.0,13.0,13.0,6.0,17.0,37.0,15.75,13.93607856300637
490,490,,,,,,,,,,
491,491,,,,,,,,,,
492,492,,,,,,,,,,
493,493,,,,,,,,,,
494,494,,,,,,,,,,
495,495,,,,,,,,,,
496,496,9.0,4.0,63.0,13.0,73.0,20.0,7.0,9.0,24.75,27.238365799522033
497,497,,,,,,,,,,
498,498,,,,,,,,,,
499,499,,,,,,,,,,
500,500,,,,,,,,,,
501,501,,,,,,,,,,
502,502,,,,,,,,,,
503,503,0.0,0.0,7.0,1.0,19.0,2.0,1.0,8.0,4.75,6.541078984824621
504,504,,,,,,,,,,
505,505,,,,,,,,,,
506,506,,,,,,,,,,
507,507,,,,,,,,,,
508,508,,,,,,,,,,
509,509,,,,,,,,,,
510,510,,,,,,,,,,
511,511,0.0,4.0,5.0,32.0,34.0,26.0,9.0,12.0,15.25,13.424391446701996
512,512,,,,,,,,,,
513,513,,,,,,,,,,
514,514,,,,,,,,,,
515,515,,,,,,,,,,
516,516,,,,,,,,,,
517,517,,,,,,,,,,
518,518,0.0,29.0,18.0,17.0,2.0,,44.0,18.0,18.285714285714285,15.151614718287572
519,519,,,,,,,,,,
520,520,0.0,8.0,11.0,26.0,0.0,48.0,53.0,38.0,23.0,21.334077367977674
521,521,,,,,,,,,,
522,522,,,,,,,,,,
523,523,,,,,,,,,,
524,524,0.0,44.0,2.0,0.0,0.0,2.0,29.0,66.0,17.875,25.59261891360755
525,525,,,,,,,,,,
526,526,,,,,,,,,,
527,527,,,,,,,,,,
528,528,,,,,,,,,,
529,529,,,,,,,,,,
530,530,,,,,,,,,,
531,531,14.0,1.0,8.0,14.0,1.0,,12.0,20.0,10.0,7.094598884597588
532,532,,,,,,,,,,
533,533,,,,,,,,,,
534,534,,,,,,,,,,
535,535,,,,,,,,,,
536,536,,,,,,,,,,
537,537,,,,,,,,,,
538,538,,,,,,,,,,
539,539,,,,,,,,,,
540,540,,,,,,,,,,
541,541,0.0,94.0,30.0,3.0,12.0,,20.0,2.0,23.0,33.141112433551974
542,542,,,,,,,,,,
543,543,,,,,,,,,,
544,544,,,,,,,,,,
545,545,,,,,,,,,,
