,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.375,1.0606601717798212
21,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.7071067811865476
24,24,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,1.4142135623730951
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
29,29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.25,2.3754698783308417
35,35,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.375,2.669269563007828
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.7071067811865476
37,37,,,,,,,,,,
38,38,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.5175491695067657
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.5175491695067657
42,42,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.375,0.7440238091428449
43,43,0.0,0.0,4.0,1.0,0.0,0.0,3.0,3.0,1.375,1.685018016012207
44,44,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.7525491637693282
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.5,0.7559289460184544
50,50,,,,,,,,,,
51,51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
52,52,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.625,1.0606601717798212
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.5,0.7559289460184544
57,57,1.0,0.0,2.0,0.0,10.0,7.0,0.0,0.0,2.5,3.854496446637726
58,58,5.0,4.0,0.0,3.0,10.0,0.0,3.0,2.0,3.375,3.2043497223082786
59,59,1.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,3.25,5.725881092523166
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.75,1.0350983390135313
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.625,2.9246489410818914
70,70,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.625,0.7440238091428449
71,71,,,,,,,,,,
72,72,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.6035674514745464
73,73,1.0,3.0,0.0,3.0,1.0,6.0,0.0,3.0,2.125,2.03100960115899
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,2.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.125,1.4577379737113252
78,78,,,,,,,,,,
79,79,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.75,1.164964745021435
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,1.125,1.246423454758225
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.3535533905932738
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,1.125,1.5526475085202969
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,1.0,0.0,1.0,0.0,7.0,0.0,1.0,3.0,1.625,2.38671920665766
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,3.0,0.0,7.0,0.0,1.0,0.0,1.0,2.0,1.75,2.3754698783308417
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0690449676496976
126,126,,,,,,,,,,
127,127,,,,,,,,,,
