,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.25,2.187627547301936
10,10,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,13.625,38.53731957466684
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,5.0,17.0,3.0,17.0,0.0,104.0,24.333333333333332,39.68710957813213
14,14,,2.0,5.0,,,0.0,2.0,6.0,3.0,2.449489742783178
15,15,7.0,3.0,0.0,0.0,53.0,6.0,2.0,87.0,19.75,32.415825059463074
16,16,,,,,,,,,,
17,17,1.0,3.0,3.0,0.0,1.0,0.0,2.0,6.0,2.0,2.0
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,2.0,14.0,20.0,5.0,4.0,10.0,6.0,4.0,8.125,6.151364540838538
21,21,3.0,17.0,10.0,3.0,2.0,11.0,3.0,1.0,6.25,5.725881092523166
22,22,2.0,8.0,6.0,0.0,4.0,2.0,0.0,0.0,2.75,3.011881234615431
23,23,0.0,2.0,5.0,1.0,3.0,2.0,1.0,0.0,1.75,1.6690459207925603
24,24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,1.375,2.7222627143085005
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,5.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,2.375,2.8252686345094435
28,28,0.0,17.0,7.0,1.0,0.0,0.0,1.0,2.0,3.5,5.9281411203561225
29,29,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.7559289460184544
30,30,1.0,0.0,0.0,5.0,0.0,2.0,0.0,12.0,2.5,4.20883424647321
31,31,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.875,0.8345229603962802
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,2.0,0.0,0.0,4.0,0.0,8.0,1.0,1.0,2.0,2.7774602993176543
35,35,1.0,0.0,13.0,0.0,1.0,3.0,0.0,6.0,3.0,4.535573676110727
36,36,0.0,1.0,0.0,1.0,0.0,0.0,10.0,3.0,1.875,3.440826312717007
37,37,,,,,,,,,,
38,38,0.0,2.0,10.0,1.0,0.0,1.0,10.0,0.0,3.0,4.375255094603872
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,9.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2.75,4.301162633521313
42,42,0.0,7.0,1.0,2.0,0.0,0.0,3.0,2.0,1.875,2.356601669474803
43,43,0.0,4.0,4.0,0.0,0.0,0.0,12.0,5.0,3.125,4.189698250300543
44,44,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,5.249149590988185
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,10.0,5.0,2.0,2.0,4.0,1.0,5.0,3.75,3.011881234615431
50,50,,,,,,,,,,
51,51,17.0,10.0,0.0,0.0,0.0,4.0,5.0,0.0,4.5,6.187545093630776
52,52,5.0,5.0,1.0,0.0,1.0,0.0,4.0,2.0,2.25,2.1213203435596424
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,1.375,2.38671920665766
57,57,0.0,8.0,8.0,6.0,2.0,11.0,1.0,0.0,4.5,4.27617987059879
58,58,1.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,1.75,1.4880476182856899
59,59,0.0,0.0,2.0,0.0,1.0,18.0,2.0,1.0,3.0,6.117889458675388
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,65.0,3.0,25.0,0.0,2.0,2.0,0.0,3.0,12.5,22.759613353482084
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,2.0,0.0,53.0,5.0,0.0,2.0,2.0,1.0,8.125,18.200765290032646
70,70,25.0,0.0,9.0,3.0,0.0,2.0,1.0,1.0,5.125,8.54295867115971
71,71,,,,,,,,,,
72,72,0.0,1.0,5.0,0.0,21.0,3.0,0.0,1.0,3.875,7.140178069008003
73,73,0.0,3.0,0.0,0.0,21.0,7.0,0.0,1.0,4.0,7.289914755527471
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,2.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,1.25,1.164964745021435
78,78,,,,,,,,,,
79,79,0.0,20.0,1.0,1.0,17.0,5.0,0.0,1.0,5.625,8.14050717970675
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,39.0,3.0,4.0,1.0,0.0,3.0,0.0,0.0,6.25,13.328272849205074
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,2.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,1.625,1.3024701806293193
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,1.0,4.0,2.0,0.0,3.0,0.0,2.0,1.5,1.5118578920369088
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,7.0,1.0,4.0,3.0,2.0,0.0,1.0,0.0,2.25,2.3754698783308417
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,4.0,7.0,1.0,1.0,14.0,23.0,1.0,3.0,6.75,7.905694150420948
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,6.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.875,2.948970764763288
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.5175491695067657
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
