,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,1.4142135623730951
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.5163977794943223
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.25,2.815771906346718
16,16,,,,,,,,,,
17,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,1.0,14.0,7.0,4.0,1.0,0.0,0.0,3.375,4.955156044825574
21,21,2.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,1.5,2.0
22,22,0.0,9.0,0.0,6.0,1.0,3.0,0.0,0.0,2.375,3.420004177106889
23,23,0.0,0.0,7.0,6.0,0.0,1.0,2.0,0.0,2.0,2.878491668515698
24,24,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,1.25,2.1213203435596424
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.625,0.9161253813129043
28,28,6.0,3.0,0.0,5.0,4.0,0.0,0.0,7.0,3.125,2.850438562747845
29,29,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.125,1.1259916264596033
30,30,1.0,1.0,0.0,5.0,0.0,0.0,1.0,16.0,3.0,5.503245795502349
31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,0.0,0.0,0.0,11.0,0.0,1.0,2.0,1.0,1.875,3.758324094593227
35,35,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.625,1.0606601717798212
36,36,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.875,0.8345229603962802
37,37,,,,,,,,,,
38,38,0.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,1.25,1.3887301496588271
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0690449676496976
42,42,0.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,1.25,1.8322507626258087
43,43,0.0,0.0,2.0,0.0,1.0,4.0,3.0,0.0,1.25,1.5811388300841898
44,44,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.125,1.246423454758225
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,6.0,5.0,2.0,1.0,17.0,0.0,1.0,4.125,5.617256574927962
50,50,,,,,,,,,,
51,51,2.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.125,1.4577379737113252
52,52,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.75,1.164964745021435
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
57,57,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,1.25,1.6690459207925603
58,58,1.0,3.0,1.0,0.0,1.0,4.0,0.0,2.0,1.5,1.4142135623730951
59,59,0.0,0.0,0.0,1.0,0.0,5.0,9.0,0.0,1.875,3.3567628964311944
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.875,1.1259916264596033
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.4629100498862757
70,70,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.5,0.7559289460184544
71,71,,,,,,,,,,
72,72,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.75,1.3887301496588271
73,73,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.875,1.7268882005337975
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,1.0,0.0,0.0,10.0,1.0,0.0,2.0,1.75,3.4121631178560534
78,78,,,,,,,,,,
79,79,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.625,0.5175491695067657
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,2.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,1.5,1.6035674514745464
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.5175491695067657
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,0.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0,1.375,1.8468119248354136
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75,0.8864052604279183
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.75,0.8864052604279183
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
